"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-0.01963393145419,0.0166062001647,-0.0518687567059041,0.0134294208971499
"mean_beak_size_pc1",0.0213148904260999,0.0524868675311755,-0.0819780177801957,0.123613175955592
"mean_Tarsus_Length",-0.0568357788859057,0.0581380250432959,-0.171468947360231,0.0574870436420292
"mean_Wing_Length",-0.0167426110120848,0.0593083313558001,-0.132396251421154,0.0997539983944179
"mean_Hand_Wing_Index",-0.012630787552061,0.0304626314449108,-0.0725453271380123,0.0474268526191353
"mean_Tail_Length",-0.0489987668176742,0.0455408294653918,-0.138461122743529,0.0405945742367751
"mean_Mass",0.0330303949260188,0.0433775410683038,-0.0528339603435017,0.118600350125347
"mean_Habitat_Density",0.116959025313044,0.0588089149182628,0.00162473492993326,0.233735118700849
"mean_Migration",0.00153895669671829,0.0542463718505187,-0.105602359992709,0.107795469306092
"mean_Brain_Mass_g",-0.0781861280435644,0.0605627002721032,-0.198134704421463,0.0405523203948127
"mean_clutch_size",-0.0578271112708155,0.0448349177132605,-0.1453160099791,0.0297835715101511
"mean_Maximum_longevity",0.105208178898019,0.104941514259413,-0.100132855269359,0.312055364429847
"mean_GenLength",0.0592763687951909,0.122943780191401,-0.180970000998538,0.299007282899504
"mean_Range_Size",0.019320255048065,0.0142068997470553,-0.00853763585405781,0.0469599212022667
"mean_Annualtemp",-0.000992111200228159,0.00338399664145684,-0.00762227286840079,0.00564906191288109
"mean_AnnualPrecipitation",0.0409064602922328,0.0398640768039803,-0.0372899014987648,0.119559564842964
"mean_Abundance_estimate_1_1_matched",0.0071470919284671,0.00860476820564849,-0.00948115718864521,0.0239812448016281
"mean_Latitude_span",-0.0510580957027382,0.0327411112420494,-0.11436894083783,0.0141890612476076
"mean_Centroid_Latitude",0.0049136228993829,0.0225060163958248,-0.0400194135702847,0.0491395882475102
"mean_Centroid_Longitude",-1.95700015931093e-05,0.000222785074787601,-0.00045091660773524,0.000421749528394991
"mean_devmode",-0.016385423116024,0.0198884616278396,-0.0553450486979537,0.0221907007911608
