"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-0.000545835402528209,0.142892120916468,-0.274203184454375,0.275254133019132
"mean_beak_size_pc1",0.197756247342333,0.456125060010504,-0.700249020498982,1.0887324781027
"mean_Tarsus_Length",-0.401321941375896,0.539844059874718,-1.43642672597286,0.654472426220058
"mean_Wing_Length",-0.239321100516337,0.548199367053619,-1.30080273534775,0.828584036140211
"mean_Hand_Wing_Index",-0.09533089150884,0.305765180574317,-0.697029143637162,0.492357558196524
"mean_Tail_Length",0.276965100666419,0.381286493707506,-0.467873585913243,1.0229928944292
"mean_Mass",-0.126521299949636,0.373350710992123,-0.854918522948287,0.597175358083331
"mean_Habitat_Density",0.025223724278738,0.418473727584439,-0.803777766108736,0.86187624200755
"mean_Migration",0.100973031488213,0.403650842565743,-0.686333662512104,0.899164760838654
"mean_Brain_Mass_g",0.164180935096715,0.478681050351967,-0.782896943629978,1.10498042887524
"mean_clutch_size",0.0189051993457656,0.382113129366703,-0.728260813930837,0.766312296044998
"mean_Maximum_longevity",0.159574609116013,0.810812725199001,-1.42877344577391,1.75510090009946
"mean_GenLength",0.0204524368882594,1.02325898856769,-1.98899166945709,2.02360028523199
"mean_Range_Size",0.048208668391606,0.113880901653828,-0.178628726723541,0.269747794256909
"mean_Annualtemp",-0.00408971303302992,0.0260640137325616,-0.0559383100980844,0.0462995232425218
"mean_AnnualPrecipitation",0.0631479849062656,0.304038280509845,-0.53080086150787,0.664104903560204
"mean_Abundance_estimate_1_1_matched",0.0386019198269409,0.0673908815097581,-0.0936137842299755,0.169559069248196
"mean_Latitude_span",-0.173891235263413,0.259073135686345,-0.686698376337026,0.338364156356678
"mean_Centroid_Latitude",0.00138149954636119,0.174731598672531,-0.334369018445519,0.349219853777098
"mean_Centroid_Longitude",0.000527827923895929,0.00183051409564039,-0.00306140111318044,0.00411993628742877
"mean_devmode",-0.20343697623292,0.214015084036995,-0.624236277239293,0.215639326875613
