"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-0.0261217477365521,0.111508294110504,-0.245041570000702,0.180296549949972
"mean_beak_size_pc1",0.32005036312588,0.376439656228044,-0.358988749379374,1.05083373369966
"mean_Tarsus_Length",0.0102801966403467,0.420585117175222,-0.82662168293536,0.848542852100354
"mean_Wing_Length",0.0955992169267848,0.444042741213477,-0.798316834948172,0.926493212602184
"mean_Hand_Wing_Index",-0.0122270734000305,0.24536681783282,-0.497995619013222,0.480024601423602
"mean_Tail_Length",0.0900831061379016,0.305276513324983,-0.474526018881544,0.696764357705153
"mean_Mass",-0.253315432148407,0.292054855972133,-0.838916139027009,0.320291097893843
"mean_Habitat_Density",0.108872606643793,0.367112837410179,-0.597495473133266,0.757604302619818
"mean_Migration",0.091829610437829,0.324524925458862,-0.54860844277096,0.674166513397484
"mean_Brain_Mass_g",0.34347046325517,0.367104914375857,-0.391773590407685,1.0699493724253
"mean_clutch_size",-0.31638494548186,0.296637971960214,-0.907923385085989,0.264194337678522
"mean_Maximum_longevity",0.142680682233771,0.63957788732401,-1.05473679320079,1.42158945705809
"mean_GenLength",-0.0911778377105958,0.791708737185186,-1.68447094159835,1.38385581885717
"mean_Range_Size",0.0847785722301476,0.0930310565732032,-0.102267559552882,0.258626831033602
"mean_Annualtemp",-0.00928850861435109,0.0201215668095018,-0.0490133195725253,0.0315357416354887
"mean_AnnualPrecipitation",0.290874673878299,0.25162154503704,-0.206875141388682,0.74484749868294
"mean_Abundance_estimate_1_1_matched",0.0728792465509289,0.0516652618207659,-0.0303335245606597,0.174198322165555
"mean_Latitude_span",-0.273910603490144,0.201844963439338,-0.657910587157684,0.134244231123525
"mean_Centroid_Latitude",0.0205231543883324,0.14419179148846,-0.264761313816069,0.280717932901636
"mean_Centroid_Longitude",0.00130464274543516,0.00141723510114,-0.0015753965241916,0.00407999006060612
"mean_devmode",-0.093739553801677,0.169564871325681,-0.432066836284909,0.244469947968084
