"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",0.0366141351540355,0.0487985875286992,0.750311371871208,0.45403079745868,-0.0590310964022148,0.132259366710286
"mean.beak.size.pc1",0.00733816881942883,0.0166690640700847,0.440226805090895,0.660292368632913,-0.0253331967579373,0.0400095343967949
"mean.Tarsus.Length",-0.0124659460493802,0.0208221060898494,-0.598688047961549,0.550121264372765,-0.0532772739854851,0.0283453818867247
"mean.Wing.Length",-0.00412016346704678,0.0216594234936775,-0.190224983054118,0.849343683132858,-0.0465726335146547,0.0383323065805611
"mean.Hand.Wing.Index",-0.00434499205278679,0.0138875886693847,-0.312868717257255,0.754736668316628,-0.0315646658447808,0.0228746817392072
"mean.Tail.Length",0.0070768871250999,0.0150792433763957,0.46931314446305,0.639404491198366,-0.0224784298926357,0.0366322041428355
"mean.Mass",0.000438091129018911,0.0362989716054437,0.012068968062809,0.990383737648116,-0.0707078932176508,0.0715840754756886
"mean.Habitat.Density",0.000825447244178789,0.0123623107819661,0.0667712742979195,0.946836684641574,-0.0234046818884749,0.0250555763768324
"mean.Migration",-0.00291601188197876,0.00856283282020555,-0.340542895465377,0.733838335237049,-0.0196991642095816,0.0138671404456241
"mean.Brain.Mass..g.",0.00381908181156233,0.0256172192954748,0.149082606020278,0.881652613067221,-0.0463906680075683,0.054028831630693
"mean.clutch.size",-0.00302590655309324,0.0108247143493499,-0.279536850159466,0.780148550752132,-0.024242346677819,0.0181905335716325
"mean.Maximum.longevity",0.0118248487036463,0.0205225770578436,0.576187321422525,0.565196530138553,-0.0283994023297273,0.0520490997370198
"mean.GenLength",-0.0200162176123359,0.0272828180790158,-0.733656528968725,0.46409696089127,-0.0734905410472068,0.033458105822535
"mean.Range.Size",0.0144884543686119,0.0167233077011962,0.866362960455219,0.387425613697052,-0.0182892287257326,0.0472661374629565
"mean.Annualtemp",-0.00697172934225391,0.0105752334767681,-0.659250630973733,0.510563557187743,-0.0276991869567194,0.0137557282722115
"mean.AnnualPrecipitation",0.00699341471593792,0.0105762008429125,0.661240725267092,0.509289595042246,-0.0137359389361707,0.0277227683680465
"mean.Abundance.estimate.1.1.matched",0.00430894629678338,0.0104080940196262,0.413999555409293,0.679359241575792,-0.016090917981684,0.0247088105752508
"mode.HabitatDesert",-0.0168635041234121,0.0546902048037153,-0.308345967690845,0.758169799077839,-0.124056305538694,0.09032929729187
"mode.HabitatForest",0.0109457175701002,0.036772589036296,0.297659693183321,0.766300553610208,-0.0611285569410399,0.0830199920812403
"mode.HabitatGrassland",0.0142034940353217,0.0356543870687835,0.398365957264128,0.690824835483285,-0.0556791046194939,0.0840860926901373
"mode.HabitatHuman Modified",0.0150527651429527,0.0392757088932949,0.383258903966529,0.701972653029426,-0.0619276242879054,0.0920331545738107
"mode.HabitatMarine",0.0319781155144437,0.0392945902963517,0.813804528136605,0.416814569647243,-0.0450392814664056,0.108995512495293
"mode.HabitatRiverine",-0.0126734029273139,0.0432381713801264,-0.293106820265276,0.769772608531463,-0.0974202188323616,0.0720734129777338
"mode.HabitatRock",-0.0109860881814227,0.0438926358636816,-0.250294564572117,0.802640331075604,-0.0970156544742386,0.0750434781113933
"mode.HabitatShrubland",0.0278626627387495,0.035917807589864,0.775733949491179,0.438907427568976,-0.042536240137384,0.098261565614883
"mode.HabitatWetland",0.00301305744311555,0.035237660300767,0.085506739590482,0.931952014769596,-0.0660527567463878,0.0720788716326189
"mode.HabitatWoodland",0.0190264188791237,0.0362144793399989,0.525381538707061,0.5999539702881,-0.0519539606272741,0.0900067983855214
"mode.Primary.LifestyleAquatic",-0.0333356949776632,0.0243312776623147,-1.37007581107403,0.172341764109234,-0.0810249991958,0.0143536092404735
"mode.Primary.LifestyleGeneralist",-0.0472893075969195,0.0258905505852218,-1.82650837962141,0.0694031057879989,-0.0980347867439542,0.00345617155011523
"mode.Primary.LifestyleInsessorial",-0.022606999919647,0.0221608468724687,-1.02013249086309,0.309012350858268,-0.0660422597896857,0.0208282599503916
"mode.Primary.LifestyleTerrestrial",-0.0123142427353665,0.022646886127921,-0.543749929496241,0.587275379203307,-0.0567021395460916,0.0320736540753587
"mean.Latitude.span",-0.0166823715555589,0.0154754646310934,-1.07798841283515,0.282457827549945,-0.047014282232502,0.0136495391213841
"mean.Centroid.Latitude",-0.000697496096865328,0.0104015247776978,-0.0670571009320525,0.946609451391602,-0.021084484661153,0.0196894924674224
"mean.Centroid.Longitude",0.00323856645820934,0.0079898424455737,0.405335459399888,0.685704411648521,-0.0124215247351151,0.0188986576515338
"mean.devmode",-0.0122267871739908,0.0154989232068396,-0.788879782860991,0.431203087477952,-0.0426046766593964,0.0181511023114148
