"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",0.0306553614618954,0.0414360077713863,0.739824203891199,0.460354694456137,-0.0505592137700217,0.111869936693812
"mean.beak.size.pc1",0.000755662717786892,0.0146243569486806,0.0516715176221864,0.958846791016695,-0.027908076901627,0.0294194023372008
"mean.Tarsus.Length",-0.0144995404333221,0.018034179442121,-0.804003335990806,0.422438222002156,-0.0498465321398791,0.020847451273235
"mean.Wing.Length",0.00606460812806077,0.0187318501566547,0.323759162994705,0.746490082125618,-0.0306498181789825,0.0427790344351041
"mean.Hand.Wing.Index",-0.0136718199727912,0.0119280637374599,-1.14618937940909,0.253213344540205,-0.0370508248982126,0.00970718495263017
"mean.Tail.Length",0.00133039879745323,0.0133055162535264,0.0999885139444045,0.920462897302001,-0.0247484130594586,0.027409210654365
"mean.Mass",0.00201393783943893,0.0319434133426748,0.0630470456564643,0.949797852161635,-0.0605951523122037,0.0646230279910815
"mean.Habitat.Density",0.000259431482170377,0.0112165472708893,0.0231293530803091,0.981572292104204,-0.0217250011687727,0.0222438641331135
"mean.Migration",0.00401077284136613,0.0077096233427783,0.520229414984724,0.603532470130698,-0.0111000889104793,0.0191216345932116
"mean.Brain.Mass..g.",-0.00189246152727527,0.0228322860532422,-0.0828853283837751,0.934033311783157,-0.0466437421916299,0.0428588191370794
"mean.clutch.size",0.00625528423113649,0.00959322374795429,0.652052364823702,0.515185526891571,-0.0125474343148539,0.0250580027771269
"mean.Maximum.longevity",0.019001109522104,0.0182539476766434,1.04093152115346,0.29928060128826,-0.016776627924117,0.0547788469683251
"mean.GenLength",-0.0198063047297546,0.024164834115792,-0.819633382743186,0.41349134748179,-0.0671693795967069,0.0275567701371978
"mean.Range.Size",-0.020829495691581,0.0148399762134716,-1.40360708076285,0.162130506901909,-0.0499158490699853,0.00825685768682328
"mean.Annualtemp",-0.0134929132049502,0.00941023588980624,-1.43385493870208,0.153320107001251,-0.0319369755489704,0.00495114913907003
"mean.AnnualPrecipitation",0.0103628510759136,0.00940334057443127,1.10203932250326,0.271891846920445,-0.00806769644997165,0.0287933986017989
"mean.Abundance.estimate.1.1.matched",0.00904941980760307,0.00930605730843754,0.972422531655615,0.332123959083442,-0.0091904525169345,0.0272892921321406
"mode.HabitatDesert",-0.0220340722565852,0.0482048401414306,-0.457092528300858,0.648146679613972,-0.116515558933789,0.0724474144206188
"mode.HabitatForest",-0.0158339472719384,0.0320185453576648,-0.494524254461421,0.621529123868201,-0.0785902961729615,0.0469224016290847
"mode.HabitatGrassland",0.0103507679349731,0.0309156988917698,0.334806208690582,0.738154716587284,-0.0502440018928957,0.0709455377628419
"mode.HabitatHuman Modified",0.0155833764528744,0.0343478906248039,0.453692386036103,0.650587808747202,-0.0517384891717413,0.08290524207749
"mode.HabitatMarine",-0.0127207635661118,0.0340457650912267,-0.37363717725321,0.709106769015581,-0.079450463144916,0.0540089360126925
"mode.HabitatRiverine",-0.00840540968022443,0.0380004300702285,-0.221192488208434,0.825189167911085,-0.0828862526178724,0.0660754332574235
"mode.HabitatRock",-0.0326090802984712,0.038569874228771,-0.845454670270784,0.398961090557956,-0.108206033786862,0.04298787318992
"mode.HabitatShrubland",0.00433628891453052,0.0312463695643111,0.138777367578835,0.88977867646779,-0.0569065954315192,0.0655791732605803
"mode.HabitatWetland",-0.026099572949093,0.0305494720985027,-0.854337936345951,0.394034780186966,-0.0859765382621582,0.0337773923639722
"mode.HabitatWoodland",-0.00661308076986761,0.0314735110983255,-0.210115762083482,0.833811075442485,-0.0683011625225857,0.0550750009828504
"mode.Primary.LifestyleAquatic",0.0096195905609467,0.021125600451472,0.455352290839923,0.649395607312305,-0.0317865863239385,0.0510257674458319
"mode.Primary.LifestyleGeneralist",-0.0259886857763988,0.0227998798093455,-1.13986064811387,0.255834076430532,-0.070676450202716,0.0186990786499183
"mode.Primary.LifestyleInsessorial",0.0059755162998831,0.0193472325285882,0.308856385069722,0.757782109015664,-0.0319450594561498,0.043896092055916
"mode.Primary.LifestyleTerrestrial",0.00474380449640138,0.0197204347008596,0.240552734681584,0.81017105973253,-0.0339082475172834,0.0433958565100862
"mean.Latitude.span",0.00439948102064904,0.013846015049891,0.317743481051877,0.75104179503219,-0.0227387084771373,0.0315376705184354
"mean.Centroid.Latitude",-0.00385493700884678,0.00925897633974361,-0.416345918533098,0.677644787857195,-0.0220025306347442,0.0142926566170507
"mean.Centroid.Longitude",0.00965534491134513,0.00703401818525036,1.37266419520942,0.171536644566534,-0.00413133073174557,0.0234420205544358
"mean.devmode",0.0121018335896496,0.0131935761270824,0.917251962097536,0.360217878297684,-0.013757575619432,0.0379612427987312
