"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",0.00786121631031806,0.0131321531954709,0.598623561064553,0.550164183054205,-0.0178778039528049,0.0336002365734411
"mean.beak.size.pc1",0.00299947591907988,0.00470320415678901,0.637751587872318,0.524432562971625,-0.00621880422822658,0.0122177560663863
"mean.Tarsus.Length",-0.000208200553348672,0.00576657231979277,-0.0361047328989632,0.971238201385767,-0.0115106823001425,0.0110942811934452
"mean.Wing.Length",0.00729211411532628,0.00598993904689324,1.21739370939149,0.225021958953829,-0.00444816641658447,0.019032394647237
"mean.Hand.Wing.Index",-0.00253203019331391,0.00379739520093126,-0.666780795607725,0.505751969314558,-0.00997492478713918,0.00491086440051137
"mean.Tail.Length",-0.000318744146557381,0.00429292989109063,-0.0742486261466531,0.94089365213833,-0.00873288673309502,0.00809539843998026
"mean.Mass",-0.00693190535914061,0.010294208850432,-0.673379126055879,0.50155566464347,-0.0271085547059874,0.0132447439877062
"mean.Habitat.Density",-0.00347744957078998,0.00366646138081332,-0.94844843831918,0.344152005273589,-0.0106637138771841,0.00370881473560413
"mean.Migration",-0.00186039990442401,0.00251153264482523,-0.740742871989811,0.459798748025588,-0.00678300388828145,0.00306220407943344
"mean.Brain.Mass..g.",0.0109002687473555,0.00740295416295978,1.47242148302016,0.14262485386393,-0.00360952141204564,0.0254100589067567
"mean.clutch.size",-0.00272931376842464,0.00310025693536659,-0.880350830697173,0.379823943501714,-0.00880581736174315,0.00334718982489386
"mean.Maximum.longevity",-0.000506889255628203,0.00591119450677863,-0.0857507319454521,0.931758318110145,-0.0120928304889143,0.0110790519776579
"mean.GenLength",-0.00291647124760964,0.00781027613509485,-0.37341461392187,0.709272098267144,-0.0182246124723955,0.0123916699771763
"mean.Range.Size",-0.000516832977931781,0.0048013418027303,-0.107643446179541,0.914396456246819,-0.00992746291128316,0.0088937969554196
"mean.Annualtemp",-0.0014546670341675,0.00304895381951468,-0.477103662527447,0.633857576650632,-0.00743061652041627,0.00452128245208127
"mean.AnnualPrecipitation",-0.00211920579873605,0.00304618217062695,-0.695692404469651,0.487504015788829,-0.00808972285316488,0.00385131125569278
"mean.Abundance.estimate.1.1.matched",-0.000205351589078816,0.0030215596875261,-0.0679621157002354,0.945889990216168,-0.00612760857662997,0.00571690539847233
"mode.HabitatDesert",-0.000673282645947967,0.0155709880813049,-0.0432395582369197,0.965557714551383,-0.0311924192853057,0.0298458539934097
"mode.HabitatForest",0.00213351419026209,0.0102792660755919,0.207555108951612,0.835807148862037,-0.018013847317898,0.0222808756984222
"mode.HabitatGrassland",-0.00643815395175745,0.00990487239451024,-0.64999867694669,0.516508194757734,-0.0258517038449975,0.0129753959414826
"mode.HabitatHuman Modified",0.0048081212318121,0.0110463975237273,0.43526599703518,0.663882275410085,-0.0168428179146934,0.0264590603783176
"mode.HabitatMarine",-0.0048946084758498,0.0109026937719013,-0.448935701419432,0.654009212585159,-0.0262638882687764,0.0164746713170768
"mode.HabitatRiverine",0.0015685871764829,0.0122513155720717,0.128034182717379,0.898262511843247,-0.0224439913447777,0.0255811656977435
"mode.HabitatRock",0.00630714164291754,0.0124388228091718,0.507052937378201,0.612728128938297,-0.0180729510630592,0.0306872343488943
"mode.HabitatShrubland",0.00410665912933027,0.0100274310993206,0.409542492853281,0.682620555914758,-0.0155471058253381,0.0237604240839986
"mode.HabitatWetland",0.00311152022198921,0.00978570108475967,0.317965999067263,0.750873271945503,-0.0160684539041398,0.0222914943481182
"mode.HabitatWoodland",0.00392075415102006,0.010095000913726,0.388385715318665,0.698182070259659,-0.0158654476398829,0.0237069559419231
"mode.Primary.LifestyleAquatic",-0.0103025377241658,0.00676944792706504,-1.52191697685938,0.129755943828464,-0.0235706556612133,0.00296558021288163
"mode.Primary.LifestyleGeneralist",-0.0165533097749384,0.00735088191818088,-2.25188078916045,0.0255183373412988,-0.030961038334573,-0.00214558121530391
"mode.Primary.LifestyleInsessorial",-0.0143054835388818,0.00621174012212703,-2.30297521429202,0.0224049407115885,-0.0264804941782508,-0.00213047289951286
"mode.Primary.LifestyleTerrestrial",-0.0140609281708754,0.00632353134796915,-2.2235879601342,0.0273997017673761,-0.026455049612895,-0.00166680672885589
"mean.Latitude.span",-0.00102735029200838,0.00449257259619591,-0.228677504928533,0.819374922804247,-0.00983279258055237,0.00777809199653561
"mean.Centroid.Latitude",-0.00303095908260603,0.00299950440751722,-1.01048662406029,0.313596401904906,-0.00890998772133978,0.00284806955612773
"mean.Centroid.Longitude",0.00265968195429764,0.00226632688827544,1.1735650174991,0.242094428735346,-0.00178231874672222,0.00710168265531749
"mean.devmode",0.00237600315208825,0.00418200565836166,0.568149195909762,0.570630124988889,-0.0058207279383006,0.0105727342424771
