"","Overall"
"mean.beak.size.pc1",80.9941541325145
"mean.Tarsus.Length",95.3906001046649
"mean.Wing.Length",89.7329405306915
"mean.Hand.Wing.Index",91.0865733200855
"mean.Tail.Length",81.4986452012654
"mean.Mass",85.0170281742253
"mean.Habitat.Density",29.4460203741647
"mean.Migration",14.346618278294
"mean.Brain.Mass..g.",76.156996711806
"mean.clutch.size",69.3467538520242
"mean.Maximum.longevity",86.9433843193164
"mean.GenLength",74.8232778982609
"mean.Range.Size",90.7967912882074
"mean.Annualtemp",97.6843553446763
"mean.AnnualPrecipitation",98.4916292196497
"mean.Abundance.estimate.1.1.matched",74.9209876424065
"mode.HabitatDesert",0.333650412066514
"mode.HabitatForest",18.6499563425686
"mode.HabitatGrassland",11.2140801818116
"mode.HabitatHuman Modified",6.61500989364376
"mode.HabitatMarine",2.18918170130421
"mode.HabitatRiverine",0.387040825596587
"mode.HabitatRock",0
"mode.HabitatShrubland",12.4207999335471
"mode.HabitatWetland",37.9304975043184
"mode.HabitatWoodland",9.36509274824644
"mode.Trophic.LevelHerbivore",16.3475863754506
"mode.Trophic.LevelOmnivore",14.7285793482133
"mode.Trophic.LevelScavenger",3.83782462219751
"mode.Primary.LifestyleAquatic",6.84915512713536
"mode.Primary.LifestyleGeneralist",8.38716783848004
"mode.Primary.LifestyleInsessorial",20.0102690830092
"mode.Primary.LifestyleTerrestrial",15.8760159225732
"mean.Latitude.span",92.3211298577134
"mean.Centroid.Latitude",88.423767906812
"mean.Centroid.Longitude",100
