"","Overall"
"mean.beak.size.pc1",43.8959640714832
"mean.Tarsus.Length",58.5304346668411
"mean.Wing.Length",51.058615709795
"mean.Hand.Wing.Index",77.528746538098
"mean.Tail.Length",51.1070326088805
"mean.Mass",51.1602288808662
"mean.Habitat.Density",16.4227924115965
"mean.Migration",8.40539361746305
"mean.Brain.Mass..g.",47.0407729703762
"mean.clutch.size",34.9981334684965
"mean.Maximum.longevity",65.8931656028152
"mean.GenLength",55.6404077820957
"mean.Range.Size",58.4020695960511
"mean.Annualtemp",80.2654973799671
"mean.AnnualPrecipitation",60.0397865609512
"mean.Abundance.estimate.1.1.matched",57.3686935925945
"mode.HabitatDesert",3.10272417082241
"mode.HabitatForest",7.34529326771751
"mode.HabitatGrassland",5.40603401011065
"mode.HabitatHuman Modified",1.13716673238791
"mode.HabitatMarine",1.78437629970796
"mode.HabitatRiverine",0.905773615461607
"mode.HabitatRock",6.38655583505213
"mode.HabitatShrubland",7.87709644548766
"mode.HabitatWetland",2.6120887051062
"mode.HabitatWoodland",3.90141701841369
"mode.Trophic.LevelHerbivore",17.4831284439495
"mode.Trophic.LevelOmnivore",6.3774310053089
"mode.Trophic.LevelScavenger",0
"mode.Primary.LifestyleAquatic",2.32602341152874
"mode.Primary.LifestyleGeneralist",2.72820317445471
"mode.Primary.LifestyleInsessorial",5.20105249576226
"mode.Primary.LifestyleTerrestrial",5.75698345825653
"mean.Latitude.span",57.3468710600556
"mean.Centroid.Latitude",59.1330241033253
"mean.Centroid.Longitude",100
