"","Overall"
"mean.beak.size.pc1",51.072938951887
"mean.Tarsus.Length",51.5565793634484
"mean.Wing.Length",59.8470738399361
"mean.Hand.Wing.Index",65.9053145560272
"mean.Tail.Length",54.7539293680442
"mean.Mass",55.0305405558393
"mean.Habitat.Density",18.5991580551803
"mean.Migration",10.4497628585746
"mean.Brain.Mass..g.",48.3978419842689
"mean.clutch.size",54.7372555675754
"mean.Maximum.longevity",63.0663988097964
"mean.GenLength",54.2960449611039
"mean.Range.Size",61.0758078450871
"mean.Annualtemp",79.0553751805145
"mean.AnnualPrecipitation",72.7825825815681
"mean.Abundance.estimate.1.1.matched",59.0907375448527
"mode.HabitatDesert",0
"mode.HabitatForest",10.8142516848176
"mode.HabitatGrassland",4.74886424097538
"mode.HabitatHuman Modified",3.5268151173152
"mode.HabitatMarine",4.76013529258691
"mode.HabitatRiverine",1.79370512531867
"mode.HabitatRock",1.11289136821468
"mode.HabitatShrubland",4.93546080442574
"mode.HabitatWetland",15.1894964520345
"mode.HabitatWoodland",8.98274331771944
"mode.Trophic.LevelHerbivore",18.4960293809169
"mode.Trophic.LevelOmnivore",5.43148518688618
"mode.Trophic.LevelScavenger",1.85480447746326
"mode.Primary.LifestyleAquatic",6.84045492354143
"mode.Primary.LifestyleGeneralist",7.56896198585713
"mode.Primary.LifestyleInsessorial",9.40725349601963
"mode.Primary.LifestyleTerrestrial",12.4740203210302
"mean.Latitude.span",63.6956899579158
"mean.Centroid.Latitude",78.508435800668
"mean.Centroid.Longitude",100
"mean.devmode",62.2067829615675
