"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-9.20271015956812,0.21530626116931,-42.7424177522241,8.27917014634908e-98,-9.62471043145996,-8.78070988767627
"mean.beak.size.pc1",0.0434720501940922,0.0884563385407962,0.491452064501209,0.623689302165862,-0.129902373345868,0.216846473734053
"mean.Tarsus.Length",-0.19732218021609,0.100693464382846,-1.95963244909176,0.0515410125600978,-0.394681370406468,3.7009974287433e-05
"mean.Wing.Length",0.0780486495458857,0.119292567431451,0.654262467699297,0.513755233258979,-0.155764782619758,0.311862081711529
"mean.Hand.Wing.Index",-0.0292356649404742,0.069530041189246,-0.420475300178536,0.674626267816056,-0.165514545671396,0.107043215790448
"mean.Tail.Length",-0.036896656800875,0.086424119662549,-0.426925457209648,0.669930047891544,-0.206287931339471,0.132494617737721
"mean.Mass",0.207400483272987,0.222024197530041,0.934134592446505,0.351452113865556,-0.227766943885893,0.642567910431866
"mean.Habitat.Density",0.0409512501296048,0.0633880134362533,0.646040913883314,0.519053428587832,-0.0832892562054516,0.165191756464661
"mean.Migration",-0.0559827269071046,0.0492648205206796,-1.1363631556032,0.257274474692043,-0.152541775127637,0.0405763213134275
"mean.Brain.Mass..g.",-0.271456742770964,0.143441034695126,-1.89246224658046,0.0599911443957966,-0.552601170773411,0.00968768523148378
"mean.clutch.size",0.127336379529414,0.0568301788599284,2.2406471716949,0.0262383193461102,0.0159492289639539,0.238723530094873
"mean.Maximum.longevity",-0.0703425187675948,0.120880082564701,-0.581919843824925,0.561329116360802,-0.307267480594409,0.166582443059219
"mean.GenLength",-0.0678072508081778,0.152583498848429,-0.44439438943221,0.657276885839019,-0.366870908551098,0.231256406934742
"mean.Range.Size",0.00802745675248767,0.0723806336353314,0.110906140901331,0.911811003550051,-0.133838585172762,0.149893498677737
"mean.Annualtemp",0.0963459170192399,0.0481887701866569,1.9993437609229,0.0470347211080174,0.00189592745339238,0.190795906585087
"mean.AnnualPrecipitation",-0.0300367485938388,0.0550271163436491,-0.545853582554765,0.585824189748822,-0.137889896627391,0.0778163994397136
"mean.Abundance.estimate.1.1.matched",0.00731305920750877,0.057044268691969,0.128199718835879,0.898130176482452,-0.10449370742875,0.119119825843768
"mode.HabitatForest",0.145520669278543,0.170797963959092,0.852004707230568,0.395313065080031,-0.189243340081277,0.480284678638364
"mode.HabitatGrassland",0.0375574125720786,0.16097983144968,0.233305080728815,0.815782456633583,-0.277963057069293,0.35307788221345
"mode.HabitatHuman Modified",-0.242789377868824,0.324075516004062,-0.749175318340867,0.45470307038791,-0.877977389236786,0.392398633499138
"mode.HabitatMarine",0.0967724563185459,0.163084258341773,0.593389314839582,0.553645409680178,-0.222872690031329,0.41641760266842
"mode.HabitatRiverine",0.172752861925258,0.224187277828378,0.770573886255515,0.441942498040076,-0.266654202618362,0.612159926468878
"mode.HabitatShrubland",0.10567718159054,0.17356852011581,0.608849931543054,0.543370807269353,-0.234517117836447,0.445871481017527
"mode.HabitatWetland",0.0388894673807991,0.162071823350464,0.239952056914326,0.810633088646327,-0.27877130638611,0.356550241147708
"mode.HabitatWoodland",0.0928855108026911,0.177386973893045,0.523632083935861,0.601161156788165,-0.254792958027677,0.440563979633059
"mode.Primary.LifestyleAquatic",0.150394157969197,0.118416580618979,1.27004307321718,0.205664364541062,-0.0817023400440011,0.382490655982395
"mode.Primary.LifestyleGeneralist",0.125534386640487,0.110136959424741,1.13980254490562,0.255842143672579,-0.0903340538320059,0.34140282711298
"mode.Primary.LifestyleInsessorial",0.0639008607418353,0.0925897068540544,0.6901508052354,0.490964241814977,-0.117574964692111,0.245376686175782
"mode.Primary.LifestyleTerrestrial",0.124459269727369,0.0981843716036452,1.26760774341757,0.206531231878249,-0.0679820986157758,0.316900638070513
"mean.Latitude.span",-0.0541701555859599,0.0717699983332154,-0.754774374306899,0.451344125418645,-0.194839352319062,0.0864990411471424
"mean.Centroid.Latitude",0.0300361762164876,0.043090926071981,0.697041789408607,0.486651620211421,-0.0544220388845951,0.11449439131757
"mean.Centroid.Longitude",-0.0552979356006976,0.0402938972476172,-1.37236503237392,0.171611419470212,-0.134273974206027,0.0236781030046321
"mean.devmode",-0.0432789851960584,0.0795249352101185,-0.54421905634639,0.586946057356768,-0.199147858207891,0.112589887815774
