"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-6.47592230919084,0.194942597301714,-33.219636953785,3.92795332125788e-80,-6.8580097999022,-6.09383481847948
"mean.beak.size.pc1",0.0724521931463188,0.0774391480011789,0.935601630653476,0.350691452607589,-0.0793285369359918,0.22423292322863
"mean.Tarsus.Length",-0.0854013440785251,0.089540624851992,-0.95377203609748,0.341436909237621,-0.260900968788429,0.0900982806313793
"mean.Wing.Length",0.0125791578950785,0.107307724416209,0.117225092261656,0.906808166899636,-0.197743981960691,0.222902297750848
"mean.Hand.Wing.Index",0.0304178757790013,0.0632113095526379,0.481209391076946,0.63093329773849,-0.0934762909441691,0.154312042502172
"mean.Tail.Length",0.0615443157569488,0.0757144337034198,0.812847864622794,0.417344492168183,-0.0868559743017539,0.209944605815652
"mean.Mass",-0.0352792543164274,0.18582372793518,-0.189853334170186,0.84963109217726,-0.39949376106938,0.328935252436525
"mean.Habitat.Density",-0.00685021895504702,0.0533632758050244,-0.12836953600967,0.89799523054829,-0.111442239532895,0.0977418016228008
"mean.Migration",-0.0490924231763104,0.0412221885761122,-1.19092228899168,0.235201675113151,-0.12988791278549,0.0317030664328696
"mean.Brain.Mass..g.",-0.19663187553437,0.120810652208104,-1.62760379106023,0.105301690115729,-0.433420753862254,0.0401570027935152
"mean.clutch.size",0.207678619495468,0.0493428899614943,4.20888642026307,3.99014558927256e-05,0.11096655517094,0.304390683819997
"mean.Maximum.longevity",-0.0350064581157035,0.103622530144751,-0.337826706863871,0.735874753925088,-0.238106617199416,0.168093700968009
"mean.GenLength",-0.0935160233566132,0.13227019721398,-0.707007514363405,0.480446620745195,-0.352765609896014,0.165733563182787
"mean.Range.Size",0.0201235770536027,0.0631728899307344,0.318547672516915,0.750426945866253,-0.103695287210637,0.143942441317842
"mean.Annualtemp",0.0441228491206287,0.0413774368840014,1.06635046642265,0.287647429645973,-0.036976927172014,0.125222625413272
"mean.AnnualPrecipitation",0.00488464988143557,0.0470326750126762,0.103856518476125,0.91739511156551,-0.0872993931434097,0.0970686929062809
"mean.Abundance.estimate.1.1.matched",0.0520474407015101,0.0494234206608211,1.05309264323684,0.293664659567565,-0.0448224637936992,0.14891734519672
"mode.HabitatForest",0.0151307220928522,0.147689449647007,0.102449580041203,0.918510197842363,-0.274340599215281,0.304602043400985
"mode.HabitatGrassland",0.0513791658557513,0.139071149017148,0.369445181253347,0.712216185045285,-0.221200286217858,0.323958617929361
"mode.HabitatHuman Modified",-0.431555825797336,0.297312595270337,-1.45152217787792,0.148319081365311,-1.0142885125272,0.151176860932524
"mode.HabitatMarine",0.0455252390724465,0.141572635691746,0.321568068928033,0.748141016660647,-0.231957126883375,0.323007605028268
"mode.HabitatRiverine",0.140760805636192,0.191971519738383,0.733237960651762,0.464336429661033,-0.235503373051039,0.517024984323423
"mode.HabitatShrubland",0.0515675793293614,0.14964869008354,0.344590916903947,0.730791243875322,-0.241743853234376,0.344879011893099
"mode.HabitatWetland",-0.0403864110943145,0.139947002666797,-0.2885836089714,0.773221393409589,-0.314682536321236,0.233909714132608
"mode.HabitatWoodland",-0.0752656236700564,0.152772824756226,-0.49266369061484,0.62283130143744,-0.374700360192259,0.224169112852146
"mode.Primary.LifestyleAquatic",0.11026659226539,0.10491749768547,1.05098381774178,0.294629567181161,-0.095371703198132,0.315904887728912
"mode.Primary.LifestyleGeneralist",0.0441173466880867,0.0946474939121861,0.466122713497505,0.641673075250808,-0.141391741379798,0.229626434755971
"mode.Primary.LifestyleInsessorial",0.0425776430909189,0.0807943145111644,0.526988109850667,0.598829795340428,-0.115779213350963,0.200934499532801
"mode.Primary.LifestyleTerrestrial",0.0796904336384223,0.0850331042313008,0.937169521903542,0.34988663068707,-0.0869744506549273,0.246355317931772
"mean.Latitude.span",-0.119110305494844,0.0614676465255548,-1.93777234411155,0.0541652758277943,-0.239586892684932,0.00136628169524314
"mean.Centroid.Latitude",0.0227421527682635,0.0367311371449652,0.619151884095175,0.536573914943308,-0.0492508760358683,0.0947351815723952
"mean.Centroid.Longitude",-0.026352146413238,0.0343258567797607,-0.767705423416433,0.443635700421072,-0.0936308257015689,0.0409265328750929
