"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-10.3942979690165,0.851268747748213,-12.0658358763569,-8.73356736923578
"mean_beak_size_pc1",0.248459766964846,2.04877640077143,-3.68674322614529,4.27248973190613
"mean_Tarsus_Length",-3.67829610978079,2.15554676398073,-7.95093838961072,0.568062453363093
"mean_Wing_Length",0.997966236179897,2.29157066377431,-3.50048210603118,5.47214260739338
"mean_Hand_Wing_Index",-0.733661679134925,1.31307683460897,-3.32075344199078,1.84654485095032
"mean_Tail_Length",-0.685775076790154,1.8425345923677,-4.1683787512667,2.89739841691868
"mean_Mass",1.26371810853066,1.82483747904878,-2.31221582425929,4.81181425642369
"mean_Habitat_Density",0.551564929925325,2.29158815536964,-3.89648166256084,5.05000063839446
"mean_Migration",-2.95326962587957,2.37343054869956,-7.60170945837411,1.67852856790247
"mean_Brain_Mass_g",-3.45451186730131,2.12670726840137,-7.59135816114377,0.684187506867665
"mean_clutch_size",4.85798057321846,1.88089614294457,1.18665276828635,8.56595128784052
"mean_Maximum_longevity",-2.95668713017033,3.29654168402099,-9.63565102439641,3.45448095398302
"mean_GenLength",-2.86768565163044,3.39603434334782,-9.54424650764879,3.75272400090588
"mean_Range_Size",0.15281657986854,0.720823172327584,-1.2525500900834,1.57212216448998
"mean_Annualtemp",0.282943859669859,0.146224781122824,-0.00609962960887113,0.566760870007812
"mean_AnnualPrecipitation",-0.785707766863403,1.80631328457343,-4.33835848358269,2.73951197667182
"mean_Abundance_estimate_1_1_matched",-0.0372826269296717,0.480450168706277,-0.992205873530444,0.883032370799488
"mean_Latitude_span",-1.41317718025864,1.88485425076433,-5.14269374734933,2.28296982175286
"mean_Centroid_Latitude",0.40046097353694,0.637057776831852,-0.829122481366708,1.6292358438062
"mean_Centroid_Longitude",-0.0125507468815523,0.00978765508363597,-0.0316301261689183,0.00678069145398893
"mean_devmode",-0.6972365553271,0.904256305024494,-2.4790990768659,1.05563284891597
