"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-7.82489193840695,0.767337612275333,-9.33035028951682,-6.32364073294177
"mean_beak_size_pc1",-0.172453572816422,1.82639232024338,-3.76123420139208,3.42202257192745
"mean_Tarsus_Length",-2.65407606374376,1.93169419157003,-6.42471383902164,1.09405010191516
"mean_Wing_Length",0.115120450408417,2.05255690660956,-3.90705077938022,4.1415637393782
"mean_Hand_Wing_Index",-0.299856629554024,1.18118476897571,-2.63789609535041,2.0258334529369
"mean_Tail_Length",1.34295405307963,1.63538276085616,-1.85654958138188,4.54903936279313
"mean_Mass",0.192633770469501,1.65150446600718,-3.08242057714569,3.46796563830231
"mean_Habitat_Density",-0.263755237168257,1.99171415529536,-4.21216654930122,3.61607232518804
"mean_Migration",-1.95732667181518,2.03767345614852,-5.92256146971748,2.0119642525
"mean_Brain_Mass_g",-2.43109070123548,1.89167454691576,-6.2526658195875,1.25224756047213
"mean_clutch_size",6.82611544245283,1.64465216873412,3.56819476975682,10.0339131731113
"mean_Maximum_longevity",-2.63527553511907,3.02772221085771,-8.63535335635283,3.28334176671648
"mean_GenLength",-5.96753912218573,3.17427569591961,-12.2517455536122,0.180074569144934
"mean_Range_Size",0.255839216871388,0.61622313096146,-0.962289508983344,1.45775240196851
"mean_Annualtemp",0.112184752986924,0.125970196527991,-0.134214627731954,0.364618051737654
"mean_AnnualPrecipitation",1.00659551033383,1.58172603491257,-2.07963945322407,4.08984094703808
"mean_Abundance_estimate_1_1_matched",0.188263159909608,0.415437380877194,-0.632501707274368,1.00769317492367
"mean_Latitude_span",-2.02345281227229,1.66382019703148,-5.2170683798306,1.25126844124407
"mean_Centroid_Latitude",0.332016054542992,0.531673861571991,-0.700295145161867,1.37259266100722
"mean_Centroid_Longitude",-0.0139659427166508,0.00824587142077883,-0.0299775984253644,0.00219820818613398
"mean_devmode",0.10450020551665,0.814473033091188,-1.4819730615147,1.70319904671703
