"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-6.77112035540284,0.255874368803657,-26.4626753631529,8.44878838631424e-65,-7.272634118258,-6.26960659254767
"mean.beak.size.pc1",0.0158563721204275,0.101715599336233,0.155889285654332,0.876290261889843,-0.183506202578588,0.215218946819443
"mean.Tarsus.Length",-0.0915536003463663,0.117510026899213,-0.779113091556783,0.436908578726158,-0.321873253068823,0.13876605237609
"mean.Wing.Length",0.045408438038983,0.139794162918128,0.32482356266604,0.745681627787415,-0.228588121280547,0.319404997358513
"mean.Hand.Wing.Index",-0.0388910224623938,0.0823466452081073,-0.472284236523637,0.637280549069352,-0.200290447070284,0.122508402145496
"mean.Tail.Length",-0.0900343837438367,0.099322195280207,-0.906488056268112,0.365856738149769,-0.284705886493042,0.104637119005369
"mean.Mass",0.161318407876948,0.252973607277644,0.637688688606543,0.524464814198627,-0.334509862387235,0.657146678141131
"mean.Habitat.Density",0.175638903652103,0.0695460424786857,2.52550536870495,0.0123926129910436,0.0393286603938792,0.311949146910327
"mean.Migration",-0.00760473639773518,0.0538749745591209,-0.141155266614371,0.887900868727848,-0.113199686533612,0.0979902137381418
"mean.Brain.Mass..g.",-0.030650267741967,0.162406268132746,-0.188725891521098,0.850514529841716,-0.348966553282149,0.287666017798215
"mean.clutch.size",-0.0746417853370988,0.0646238781562041,-1.15501866286452,0.249572460738053,-0.201304586523259,0.0520210158490612
"mean.Maximum.longevity",0.0712461176606307,0.135161022787884,0.527120290976501,0.598741581223886,-0.193669487003621,0.336161722324882
"mean.GenLength",-0.175101344944115,0.172325263129546,-1.01610954635527,0.310904254510169,-0.512858860678025,0.162656170789795
"mean.Range.Size",-0.0438600128334672,0.0824263013171244,-0.53211186396344,0.595286970616574,-0.205415563415031,0.117695537748097
"mean.Annualtemp",0.0636230398330627,0.053937073076216,1.17957902059609,0.239682357078496,-0.0420936233963207,0.169339703062446
"mean.AnnualPrecipitation",0.0102301254782183,0.0617929545583485,0.165554884878639,0.86868802980649,-0.110884065456145,0.131344316412581
"mean.Abundance.estimate.1.1.matched",-0.0101918824401906,0.0645576112314375,-0.157872669787191,0.874729318820751,-0.136724800453808,0.116341035573427
"mode.HabitatForest",0.0547125414951587,0.192758601987128,0.283839688248062,0.776850650395498,-0.323094318399613,0.43251940138993
"mode.HabitatGrassland",-0.246921029365206,0.181988529035934,-1.35679446761422,0.176499776649713,-0.603618546275637,0.109776487545225
"mode.HabitatHuman Modified",-0.303482961088458,0.387752580302451,-0.78267167391056,0.434820636687625,-1.06347801848126,0.456512096304346
"mode.HabitatMarine",-0.0296552506555291,0.184430858721312,-0.16079332309752,0.872431631642472,-0.391139733749301,0.331829232438243
"mode.HabitatRiverine",-0.266447750080528,0.250112398587002,-1.06531204204914,0.288123136922127,-0.756668051311053,0.223772551149996
"mode.HabitatShrubland",-0.0532395499677741,0.195167209553622,-0.272789420361859,0.785319346616653,-0.435767280692874,0.329288180757325
"mode.HabitatWetland",-0.0685195272811284,0.183514698496446,-0.373373510909566,0.709297964356282,-0.428208336334162,0.291169281771905
"mode.HabitatWoodland",0.115165474574096,0.19964017767751,0.576865217782611,0.564731779005961,-0.276129273673824,0.506460222822016
"mode.Primary.LifestyleAquatic",0.13541203778326,0.13679850923695,0.989864864307195,0.323533063365571,-0.132713040321162,0.403537115887681
"mode.Primary.LifestyleGeneralist",0.135836161166157,0.123306081344875,1.10161769545037,0.27205907530303,-0.105843758269798,0.377516080602113
"mode.Primary.LifestyleInsessorial",0.0910788259695468,0.10527210726675,0.865175290343163,0.388063098410687,-0.115254504273283,0.297412156212376
"mode.Primary.LifestyleTerrestrial",0.141830846087895,0.110823631932012,1.27978882856777,0.20222198850039,-0.0753834724988484,0.359045164674639
"mean.Latitude.span",0.093478302383197,0.080151158842352,1.16627511982775,0.245004516258947,-0.0636179689478128,0.250574573714207
"mean.Centroid.Latitude",0.0309314184499285,0.0480092549503575,0.644280326406068,0.520191686269379,-0.0631667212527722,0.125029558152629
"mean.Centroid.Longitude",-0.108153898863056,0.0450817876923744,-2.39905967352201,0.017430358706274,-0.19651420274011,-0.0197935949860024
"mean.devmode",-0.00428139117982385,0.0942884840718854,-0.0454073604212336,0.963831590516372,-0.189086819960719,0.180524037601072
