"","Overall"
"mean.beak.size.pc1",44.7499532070589
"mean.Tarsus.Length",51.4074661740215
"mean.Wing.Length",73.5432968071204
"mean.Hand.Wing.Index",35.6350820085885
"mean.Tail.Length",29.3124175683842
"mean.Mass",73.6396975649892
"mean.Habitat.Density",22.9778011946365
"mean.Migration",19.9405176551568
"mean.Brain.Mass..g.",72.8825877261096
"mean.clutch.size",33.9967736386231
"mean.Maximum.longevity",81.8630348852584
"mean.GenLength",100
"mean.Range.Size",23.5267250770326
"mean.Annualtemp",13.5785311455183
"mean.AnnualPrecipitation",16.7496834685098
"mean.Abundance.estimate.1.1.matched",21.5928445110285
"mode.HabitatForest",3.12153382126448
"mode.HabitatGrassland",0.989751389719534
"mode.HabitatHuman Modified",0.399891629348333
"mode.HabitatMarine",6.44259494914448
"mode.HabitatRiverine",0
"mode.HabitatShrubland",1.00606246106127
"mode.HabitatWetland",1.81894753600358
"mode.HabitatWoodland",0.432569656974968
"mode.Trophic.LevelHerbivore",2.90397953281274
"mode.Trophic.LevelOmnivore",2.42132397788251
"mode.Trophic.LevelScavenger",0.202095040974099
"mode.Primary.LifestyleAquatic",1.45866662291546
"mode.Primary.LifestyleGeneralist",0.543061027462736
"mode.Primary.LifestyleInsessorial",4.40599055911127
"mode.Primary.LifestyleTerrestrial",3.25202966420956
"mean.Latitude.span",23.462760195787
"mean.Centroid.Latitude",13.9382935067018
"mean.Centroid.Longitude",28.4437392384391
"mean.devmode",41.2052821502573
