"","Overall"
"mean.beak.size.pc1",46.6989139963771
"mean.Tarsus.Length",37.4028391829334
"mean.Wing.Length",89.5059001900487
"mean.Hand.Wing.Index",33.0396412288059
"mean.Tail.Length",25.1915110307213
"mean.Mass",66.4958778918829
"mean.Habitat.Density",17.9477056563555
"mean.Migration",14.1738472685042
"mean.Brain.Mass..g.",76.6045591456711
"mean.clutch.size",35.9730346906207
"mean.Maximum.longevity",94.041474070977
"mean.GenLength",100
"mean.Range.Size",17.4126209565768
"mean.Annualtemp",10.0544555483953
"mean.AnnualPrecipitation",12.07675835749
"mean.Abundance.estimate.1.1.matched",19.5382304597456
"mode.HabitatForest",1.21589498495324
"mode.HabitatGrassland",0.918484522995521
"mode.HabitatHuman Modified",0.308452120429052
"mode.HabitatMarine",5.50124999862137
"mode.HabitatRiverine",0
"mode.HabitatShrubland",0.139189802267448
"mode.HabitatWetland",0.825207059490324
"mode.HabitatWoodland",0.382984592622334
"mode.Trophic.LevelHerbivore",2.23589531420036
"mode.Trophic.LevelOmnivore",0.970421726609976
"mode.Trophic.LevelScavenger",0.262248415489769
"mode.Primary.LifestyleAquatic",2.12822617013152
"mode.Primary.LifestyleGeneralist",0.494490763491653
"mode.Primary.LifestyleInsessorial",2.39449812959964
"mode.Primary.LifestyleTerrestrial",1.16753534232965
"mean.Latitude.span",18.1071244777661
"mean.Centroid.Latitude",11.5536615016929
"mean.Centroid.Longitude",23.4741366567943
"mean.devmode",41.2018977776403
