"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-6.9415103903613,0.272488391745793,-25.4745178166602,4.45381946550063e-62,-7.47558763818305,-6.40743314253955
"mean.beak.size.pc1",0.118241099689054,0.0879741405925696,1.34404381665583,0.180598117346879,-0.0541882158723828,0.29067041525049
"mean.Tarsus.Length",-0.150437394988157,0.112343777610648,-1.33908079457263,0.182205273830044,-0.370631199105026,0.0697564091287124
"mean.Wing.Length",0.0230754970421855,0.117599535162652,0.196220988546169,0.84465492889559,-0.207419591876612,0.253570585960983
"mean.Hand.Wing.Index",-0.0435652466056003,0.0757652843502047,-0.575002746696385,0.565995698912848,-0.192065203932002,0.104934710720801
"mean.Tail.Length",-0.0589942710165012,0.079105042759487,-0.745771305577432,0.456762434828604,-0.214040154825096,0.0960516127920933
"mean.Mass",-0.127272534683179,0.191379320513171,-0.665027623370727,0.506870049625668,-0.502376002888993,0.247830933522636
"mean.Habitat.Density",0.110177565549212,0.0619146076025228,1.77950841999235,0.0768161273864546,-0.011175065351733,0.231530196450156
"mean.Migration",0.000672030045252759,0.0435246909344245,0.0154402025798473,0.987697810568176,-0.0846363641862194,0.0859804242767249
"mean.Brain.Mass..g.",0.0960379115944436,0.132297152485284,0.725925764767512,0.468811660672652,-0.163264507276712,0.355340330465599
"mean.clutch.size",0.013658548143872,0.0563044632427155,0.242583755482992,0.808599531529853,-0.0966981998118504,0.124015296099594
"mean.Maximum.longevity",0.216007783444519,0.106154071159054,2.03485161789855,0.043308446922147,0.00794580397277317,0.424069762916264
"mean.GenLength",-0.144196223040448,0.142165929006986,-1.0142811575716,0.311787751976942,-0.422841443894141,0.134448997813246
"mean.Range.Size",-0.0930327564137375,0.0869297485013279,-1.07020620693866,0.285936005927354,-0.26341506347634,0.0773495506488652
"mean.Annualtemp",0.0370342265588479,0.0548257428868097,0.67548973545706,0.500217325785952,-0.0704242294992992,0.144492682616995
"mean.AnnualPrecipitation",0.0167846699981706,0.0549683896316476,0.305351313921465,0.760445635603168,-0.0909533736798586,0.1245227136762
"mean.Abundance.estimate.1.1.matched",0.0986857461055565,0.0534370740391125,1.84676552524797,0.0663959457286485,-0.00605091901110401,0.203422411222217
"mode.HabitatDesert",0.280084625093934,0.290411256892997,0.964441351518037,0.336097430323749,-0.28912143841634,0.849290688604208
"mode.HabitatForest",0.214998328772451,0.198506573406645,1.08307913981278,0.280198287592816,-0.174074555104572,0.604071212649474
"mode.HabitatGrassland",0.0890635764093567,0.193658217329597,0.45990083786517,0.646133326234929,-0.290506529556653,0.468633682375367
"mode.HabitatHuman Modified",-0.0229313361744972,0.210292828563853,-0.109044784508827,0.913286446190013,-0.43510528015965,0.389242607810655
"mode.HabitatMarine",0.115263147349175,0.21363075025196,0.539543802627811,0.590167557935107,-0.303453123144667,0.533979417843016
"mode.HabitatRiverine",0.165971733584361,0.22988111432211,0.721989425159132,0.471222514045587,-0.284595250486975,0.616538717655698
"mode.HabitatRock",0.0350845399053134,0.233894619073323,0.15000148376357,0.880928640316021,-0.423348913478399,0.493517993289026
"mode.HabitatShrubland",0.167570631933568,0.194234430871548,0.862723623106689,0.389418630707643,-0.213128852574666,0.548270116441802
"mode.HabitatWetland",0.202575146171147,0.191371964130822,1.05854139654786,0.291203920420596,-0.172513903525265,0.577664195867559
"mode.HabitatWoodland",0.191384326689303,0.196082233178154,0.976041141450167,0.330332539315301,-0.192936850339879,0.575705503718486
"mode.Primary.LifestyleAquatic",0.11472317216777,0.131560132046875,0.872020804348953,0.384339676206749,-0.143134686644105,0.372581030979645
"mode.Primary.LifestyleGeneralist",0.170065309826709,0.136321528160509,1.24753083479573,0.213796993379636,-0.097124885367888,0.437255505021307
"mode.Primary.LifestyleInsessorial",0.0669317103955763,0.118284908093792,0.565851649836036,0.572187813017913,-0.164906709468257,0.298770130259409
"mode.Primary.LifestyleTerrestrial",0.0953354222967293,0.121324884404104,0.785786219908442,0.433008975015526,-0.142461351135314,0.333132195728772
"mean.Latitude.span",-0.0118132038530897,0.0787390197656953,-0.150029856711988,0.880906287203784,-0.166141682593853,0.142515274887673
"mean.Centroid.Latitude",-0.090057804095849,0.0537374425500473,-1.6758855617659,0.0954682768312795,-0.195383191493942,0.0152675833022437
"mean.Centroid.Longitude",-0.107367018521834,0.0420156427512732,-2.55540583200005,0.0114195330573083,-0.18971767831433,-0.0250163587293389
"mean.devmode",0.0636356311176571,0.0857858006783028,0.741796784718384,0.459161423144536,-0.104504538211816,0.231775800447131
