"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-7.00765129653655,0.201995240221671,-34.6921605125265,1.19112409301221e-82,-7.40356196737102,-6.61174062570208
"mean.beak.size.pc1",0.031030982015169,0.0659375343971183,0.470611804018641,0.638475367061021,-0.0982065854031828,0.160268549433521
"mean.Tarsus.Length",-0.177618107698321,0.0842573426455695,-2.10804307519495,0.0363813558076611,-0.342762499283637,-0.0124737161130048
"mean.Wing.Length",0.109619883759848,0.0892970392966328,1.22758699082626,0.221170222111879,-0.0654023132615523,0.284642080781248
"mean.Hand.Wing.Index",-0.0531969460320645,0.0575492569264178,-0.924372422394295,0.356503114632939,-0.165993489607843,0.0595995975437144
"mean.Tail.Length",-0.0504766486253965,0.0601151900796107,-0.839665458240259,0.402185638473533,-0.168302421181433,0.0673491239306404
"mean.Mass",-0.114471668772576,0.144006127456583,-0.794908319488619,0.427690978735988,-0.396723678587479,0.167780341042327
"mean.Habitat.Density",-0.0678851693926943,0.0471457226375944,-1.43990091984638,0.151594656015135,-0.160290785762379,0.0245204469769908
"mean.Migration",-0.0109027710429354,0.0331596152461144,-0.328796669141478,0.742683296108156,-0.0758956169253196,0.0540900748394488
"mean.Brain.Mass..g.",-0.143915099211334,0.100300294634836,-1.4348422378547,0.153029580398016,-0.340503676695613,0.052673478272945
"mean.clutch.size",0.139649669223634,0.0427773127106629,3.26457321356758,0.00130726807077522,0.0558061363107348,0.223493202136533
"mean.Maximum.longevity",0.226674246674419,0.0808195442218927,2.80469592914404,0.00557748243111286,0.0682679399995091,0.385080553349328
"mean.GenLength",-0.246843750248985,0.108178356703352,-2.28182196301874,0.0236447541349526,-0.458873329387555,-0.0348141711104145
"mean.Range.Size",-0.0714453055777525,0.066157491308287,-1.07992767205795,0.2815879021255,-0.201113988541995,0.05822337738649
"mean.Annualtemp",0.0487133084433646,0.0416449408179257,1.16972932333707,0.243622876847112,-0.0329107755597697,0.130337392446499
"mean.AnnualPrecipitation",-0.00967024531098493,0.0417860313682652,-0.231422918002428,0.817243413183741,-0.0915708667927847,0.0722303761708148
"mean.Abundance.estimate.1.1.matched",0.0536595947611812,0.0406830129346028,1.3189680628482,0.188818927125409,-0.0260791105906402,0.133398300113003
"mode.HabitatDesert",0.526373178580814,0.21993978971026,2.39326035218201,0.0177051776468106,0.095291190748704,0.957455166412925
"mode.HabitatForest",0.268699362033238,0.150701157373705,1.78299468110204,0.0762357661363142,-0.0266749064192247,0.564073630485701
"mode.HabitatGrassland",0.426110461930348,0.147093244226426,2.89687309686651,0.00422627273410818,0.137807703246554,0.714413220614143
"mode.HabitatHuman Modified",0.302762591200407,0.159832685498276,1.89424703874899,0.0597609682913681,-0.0105094723762127,0.616034654777027
"mode.HabitatMarine",0.201974205969842,0.162211753294672,1.24512682877509,0.21466852643893,-0.115960830487715,0.519909242427399
"mode.HabitatRiverine",0.513941928803405,0.174748364792082,2.94103998864254,0.00369138617557583,0.171435133810926,0.856448723795885
"mode.HabitatRock",0.411090523716011,0.177783189763514,2.31231380347513,0.0218672825439736,0.0626354717795248,0.759545575652498
"mode.HabitatShrubland",0.34494970975975,0.147546759405674,2.33790095525802,0.020467295130324,0.0557580613246295,0.634141358194871
"mode.HabitatWetland",0.314174168917021,0.145220694947513,2.16342559874522,0.0317979531008467,0.0295416068198955,0.598806731014147
"mode.HabitatWoodland",0.201549066720696,0.148953964301243,1.3530963587722,0.177684984223635,-0.0904007033097399,0.493498836751132
"mode.Primary.LifestyleAquatic",0.129310795085498,0.0999445903806095,1.29382485428232,0.197347633312857,-0.0665806020604967,0.325202192231492
"mode.Primary.LifestyleGeneralist",0.0952600276286173,0.103303610529097,0.922136478490129,0.357664934030318,-0.107215049008413,0.297735104265647
"mode.Primary.LifestyleInsessorial",0.0595709167442763,0.0896777548290369,0.664277521865297,0.507344284753551,-0.116197482720636,0.235339316209189
"mode.Primary.LifestyleTerrestrial",0.0710198546244262,0.0920270882357438,0.771727716110025,0.441265703539206,-0.109353238317632,0.251392947566484
"mean.Latitude.span",-0.00681612673401274,0.0600074426512524,-0.113588022299605,0.909688222699185,-0.124430714330467,0.110798460862442
"mean.Centroid.Latitude",-0.00637548586180877,0.0409110978797493,-0.155837564676175,0.876331896128032,-0.0865612377061175,0.0738102659824999
"mean.Centroid.Longitude",-0.0741487193675997,0.0318877180227535,-2.32530654324937,0.0211462272949616,-0.136648646692197,-0.0116487920430028
