"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-9.49933845576184,0.586305563651194,-10.638242950827,-8.34346328483509
"mean_beak_size_pc1",1.46119261894818,1.96070371205256,-2.38707152811731,5.2815706936476
"mean_Tarsus_Length",-5.47160922734958,2.23362920565825,-9.8765453978621,-1.13376493941033
"mean_Wing_Length",2.01591891812104,2.16312176784112,-2.2613135446162,6.22242181729353
"mean_Hand_Wing_Index",-1.15719273992676,1.32092569599367,-3.76509684945906,1.43767962918644
"mean_Tail_Length",-1.3451488035615,1.61573904683662,-4.50285531022845,1.8809136658824
"mean_Mass",-0.936712367121227,1.55975992350071,-4.01826077865173,2.12988725734495
"mean_Habitat_Density",-0.412001025596031,2.02567062169431,-4.35259523024021,3.60572033402921
"mean_Migration",-1.56030264846323,1.77060327717457,-5.04705494697823,1.94395453664197
"mean_Brain_Mass_g",-2.36486720544724,1.99154678323286,-6.31051876400395,1.51578719673265
"mean_clutch_size",4.26427187878578,1.5929262223976,1.1565156445306,7.40476485532147
"mean_Maximum_longevity",3.93919649404282,2.89856208791202,-1.68357519854781,9.59248004794797
"mean_GenLength",-3.45390261122478,3.23755876310315,-9.77802737169493,2.96861639064144
"mean_Range_Size",-0.443440659428954,0.538760882260542,-1.50178932862113,0.611334544142644
"mean_Annualtemp",0.221219686001296,0.126082819295854,-0.0267341907724326,0.467032532831475
"mean_AnnualPrecipitation",-1.01460940219955,1.42406999552845,-3.82962176574989,1.78376373649123
"mean_Abundance_estimate_1_1_matched",0.113075904156472,0.336751780973013,-0.549890531495173,0.785437905212163
"mean_Latitude_span",0.112447555633361,1.19898626181089,-2.24988993355218,2.47605797490381
"mean_Centroid_Latitude",0.281805673018946,0.805135333746432,-1.2872366303826,1.87009766842639
"mean_Centroid_Longitude",-0.0176110369236281,0.00860110247088055,-0.0346241639841697,-0.000818624582668227
"mean_devmode",-1.09474202446901,0.94989812731685,-2.9564932426677,0.772154723026996
