"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-9.48071196692177,0.212397471421316,-44.6366517618076,2.61740720716059e-100,-9.89701101090755,-9.06441292293599
"mean.beak.size.pc1",0.0831059513390543,0.0746672761777012,1.11301704834217,0.267160978583634,-0.06324190996924,0.229453812647349
"mean.Tarsus.Length",-0.253265612386156,0.0922200671261341,-2.74631780564366,0.0066288469097452,-0.434016943953379,-0.0725142808189331
"mean.Wing.Length",0.126897841698724,0.095794457752883,1.32468876253861,0.186926239412478,-0.0608592954969269,0.314654978894375
"mean.Hand.Wing.Index",-0.066511028455859,0.0610633709533037,-1.08921317997202,0.277492156644158,-0.186195235524334,0.0531731786126162
"mean.Tail.Length",-0.0909813104627751,0.0678795206098214,-1.34033519455367,0.181798059889938,-0.224025170858025,0.0420625499324749
"mean.Mass",-0.120965104110215,0.16301424955179,-0.742052332497375,0.459006962815357,-0.440473033231723,0.198542825011293
"mean.Habitat.Density",-0.0125631277934707,0.0570249582647806,-0.220309285192933,0.825875871150031,-0.124332045992441,0.0992057904054993
"mean.Migration",-0.0297917440539874,0.0392318674634397,-0.759376139352797,0.448604646946819,-0.106686204282329,0.0471027161743544
"mean.Brain.Mass..g.",-0.123640613543331,0.116332264396733,-1.06282306275474,0.289262695698818,-0.351651851760928,0.104370624674266
"mean.clutch.size",0.0983905438949783,0.0489171764180869,2.01137005648181,0.045753652316013,0.00251287811552799,0.194268209674429
"mean.Maximum.longevity",0.234754562991265,0.0930332412273617,2.52334068870667,0.0124758795555124,0.0524094101856359,0.417099715796894
"mean.GenLength",-0.179072282283244,0.123222158590185,-1.45324740559696,0.14786773652309,-0.420587713120007,0.0624431485535188
"mean.Range.Size",-0.1161384236279,0.0756532547441981,-1.53514113861449,0.12647625490896,-0.264418802926529,0.0321419556707279
"mean.Annualtemp",0.106445018809518,0.0479550169619835,2.21968472858435,0.0276684990509379,0.0124531855640306,0.200436852055006
"mean.AnnualPrecipitation",-0.0444532119306021,0.0479232469145105,-0.927591822188123,0.354841130053405,-0.138382775883043,0.0494763520218385
"mean.Abundance.estimate.1.1.matched",0.0607486753849239,0.0473971373893497,1.28169502908786,0.201571167558138,-0.0321497138982014,0.153647064668049
"mode.HabitatDesert",0.448125416074882,0.245889893007456,1.8224637482814,0.0700168376749808,-0.0338187742197322,0.930069606369496
"mode.HabitatForest",0.433811806915243,0.163583900990588,2.65192237309588,0.00870605586311054,0.11318736097369,0.754436252856796
"mode.HabitatGrassland",0.56087373324029,0.158033784881985,3.54907486180335,0.00049132422635576,0.2511275148716,0.870619951608981
"mode.HabitatHuman Modified",0.302047403736219,0.175397054021482,1.72207797571803,0.0867450088074842,-0.0417308221458856,0.645825629618323
"mode.HabitatMarine",0.26528011966059,0.174053034518571,1.52413383882879,0.129201548154663,-0.0758638279958093,0.60642406731699
"mode.HabitatRiverine",0.570414638265095,0.193924947053104,2.94141959006901,0.00368943706594956,0.190321742041011,0.950507534489178
"mode.HabitatRock",0.450257065104523,0.196822823252871,2.28762629080901,0.0233032327743047,0.0644843315288958,0.83602979868015
"mode.HabitatShrubland",0.442923553415315,0.159655793144652,2.77424041239779,0.00610696540368681,0.129998198851797,0.755848907978833
"mode.HabitatWetland",0.422493534969866,0.156167278320325,2.70539090847996,0.00746700531826632,0.11640566946203,0.728581400477702
"mode.HabitatWoodland",0.336288807777642,0.160837684731796,2.0908582981558,0.0379218707341197,0.0210469457033226,0.651530669851962
"mode.Primary.LifestyleAquatic",0.163819979338679,0.107978811626404,1.51714930800942,0.130954555770876,-0.0478184914490735,0.375458450126432
"mode.Primary.LifestyleGeneralist",0.242183452559658,0.116341318939569,2.08166328839246,0.0387646896541062,0.0141544674381037,0.470212437681213
"mode.Primary.LifestyleInsessorial",0.10250922282609,0.098831370937718,1.03721340555611,0.301004983343791,-0.0912002642118372,0.296218709864017
"mode.Primary.LifestyleTerrestrial",0.139525911560414,0.100771144042942,1.38458199403748,0.167866192393979,-0.0579855307637517,0.337037353884579
"mean.Latitude.span",0.0327818282579323,0.070525731365027,0.464820819627664,0.642612356550937,-0.105448605217521,0.171012261733385
"mean.Centroid.Latitude",0.00116769792060123,0.0471847047849961,0.0247473821426246,0.980283425647039,-0.0913143234579912,0.0936497192991936
"mean.Centroid.Longitude",-0.0752747674741979,0.035896566774124,-2.09699072192217,0.0373685460094002,-0.145632038351481,-0.00491749659691477
"mean.devmode",-0.0798632773600256,0.0676183987994415,-1.18108796981281,0.239100483747483,-0.212395339006931,0.0526687842868797
