"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-6.7402919200684,0.211067368440099,-31.934315426789,9.5962247564002e-77,-7.15398396221099,-6.32659987792581
"mean.beak.size.pc1",0.0394005258941444,0.06866564008829,0.573802644866972,0.566805900291517,-0.0951841286789041,0.173985180467193
"mean.Tarsus.Length",-0.152614906643418,0.0874296517277449,-1.74557376848142,0.0825633890198008,-0.323977024029798,0.018747210742962
"mean.Wing.Length",0.107385299793422,0.0914203926730827,1.17463179333991,0.241668268285934,-0.0717986698458199,0.286569269432664
"mean.Hand.Wing.Index",-0.02517590079577,0.0588862609988973,-0.427534375059769,0.669492805300806,-0.140592972353609,0.0902411707620687
"mean.Tail.Length",-0.0473035078166133,0.0617788157697479,-0.765691398050027,0.444846385640715,-0.168389986725319,0.0737829710920925
"mean.Mass",-0.129864664332719,0.149363332282738,-0.869454787517004,0.385737366413433,-0.422616795606885,0.162887466941447
"mean.Habitat.Density",-0.0476271572436026,0.0486586340606776,-0.978801772039292,0.32897011680979,-0.142998080002531,0.0477437655153254
"mean.Migration",-0.0301458963769387,0.0341309225423126,-0.883242940168594,0.378263844342903,-0.0970425045598714,0.036750711805994
"mean.Brain.Mass..g.",-0.207625071761513,0.103539578106127,-2.00527253016909,0.0464074583233407,-0.410562644849522,-0.00468749867350399
"mean.clutch.size",0.154419538066669,0.0440239047456367,3.50762929728475,0.000568861390558703,0.0681326847652206,0.240706391368117
"mean.Maximum.longevity",0.130342288155011,0.0830694939228708,1.56907526457344,0.118357868322579,-0.0324739199338162,0.293158496243837
"mean.GenLength",-0.0578731932181185,0.111135097136524,-0.520746323252177,0.60317300590324,-0.275697983605706,0.159951597169469
"mean.Range.Size",-0.0630991297322482,0.0679747864515819,-0.928272570259465,0.354488940916005,-0.196329711177349,0.0701314517128523
"mean.Annualtemp",0.0360824647925779,0.0428789757881232,0.84149549119063,0.40116868525839,-0.0479603277521436,0.120125257337299
"mean.AnnualPrecipitation",-0.00285529666324469,0.0429727456836194,-0.0664443618349732,0.947096586624603,-0.0870818782031387,0.0813712848766493
"mean.Abundance.estimate.1.1.matched",0.0329487084419458,0.0418551943194839,0.787207154993615,0.432178947600768,-0.0490874724242426,0.114984889308134
"mode.HabitatDesert",0.396232522432419,0.226277246338819,1.75109308975378,0.0816053759470447,-0.0472708803916664,0.839735925256505
"mode.HabitatForest",0.265550301961108,0.154376496096304,1.72014722885957,0.0870961616670376,-0.0370276303876482,0.568128234309865
"mode.HabitatGrassland",0.45599647195318,0.150488872657413,3.03010092308455,0.00279870075541892,0.161038281544651,0.75095466236171
"mode.HabitatHuman Modified",0.276133293336702,0.163723488352932,1.68658325152133,0.0933874944076891,-0.0447647438350446,0.597031330508448
"mode.HabitatMarine",0.184725213157336,0.165990100174665,1.11286885761836,0.267224459245163,-0.140615383185007,0.51006580949968
"mode.HabitatRiverine",0.387181436896768,0.179128066270831,2.16147834874392,0.031957307258573,0.036090427005939,0.738272446787596
"mode.HabitatRock",0.342740050521169,0.182178397300165,1.88134298907272,0.0615132373515201,-0.0143296081871542,0.699809709229493
"mode.HabitatShrubland",0.337062355797076,0.151013397987379,2.23200298972974,0.0268279147770326,0.0410760957418136,0.633048615852338
"mode.HabitatWetland",0.30715373713041,0.148717051460171,2.06535655538243,0.0402988567151529,0.0156683162684747,0.598639157992346
"mode.HabitatWoodland",0.222958851939102,0.152428084889746,1.46271503772006,0.145260679249824,-0.0758001944448004,0.521717898323004
"mode.Primary.LifestyleAquatic",0.105840634728664,0.102308190378059,1.03452748345516,0.302254799507649,-0.0946834184123307,0.306364687869659
"mode.Primary.LifestyleGeneralist",0.162674005162329,0.106413433581326,1.52869801948459,0.128065974494597,-0.045896324657071,0.371244334981729
"mode.Primary.LifestyleInsessorial",0.0880301504839557,0.0921681269331714,0.955104040985709,0.34078504351536,-0.0926193783050602,0.268679679272972
"mode.Primary.LifestyleTerrestrial",0.111698222235692,0.094495911899698,1.18204290524497,0.238722335215137,-0.0735137650877165,0.2969102095591
"mean.Latitude.span",0.00503272939751049,0.0617874246146444,0.0814523251114381,0.935171252952869,-0.116070622847192,0.126136081642213
"mean.Centroid.Latitude",0.0339490424976507,0.042057382804913,0.80720768230221,0.420594743372358,-0.0484834277999789,0.11638151279528
"mean.Centroid.Longitude",-0.0609077737977836,0.0328048625706224,-1.85666907357594,0.0649656247765232,-0.125205304436204,0.0033897568406364
"mean.devmode",-0.0995413102067182,0.0665440806414358,-1.49587024491455,0.136410035584027,-0.229967708263932,0.030885087850496
