"","Overall"
"mean.beak.size.pc1",48.0386113132482
"mean.Tarsus.Length",53.0625907682069
"mean.Wing.Length",80.0704270832862
"mean.Hand.Wing.Index",34.0611662566431
"mean.Tail.Length",24.8656172628863
"mean.Mass",70.5116784820687
"mean.Habitat.Density",6.7368658961541
"mean.Migration",6.56535777555668
"mean.Brain.Mass..g.",80.5289086016859
"mean.clutch.size",23.426603879275
"mean.Maximum.longevity",61.494779652352
"mean.GenLength",100
"mean.Range.Size",17.098345477714
"mean.Annualtemp",14.9593449181217
"mean.AnnualPrecipitation",25.5814471782084
"mean.Abundance.estimate.1.1.matched",22.9687193905035
"mode.HabitatDesert",0.00439829336551366
"mode.HabitatForest",2.4593925580583
"mode.HabitatGrassland",2.2603222668503
"mode.HabitatHuman Modified",0.412144910299995
"mode.HabitatMarine",11.0194176236792
"mode.HabitatRiverine",0
"mode.HabitatRock",0.158671863240208
"mode.HabitatShrubland",1.22274578438007
"mode.HabitatWetland",1.70139406342541
"mode.HabitatWoodland",1.00545190835293
"mode.Trophic.LevelHerbivore",2.07045387985681
"mode.Trophic.LevelOmnivore",1.98651527993004
"mode.Trophic.LevelScavenger",0.121158992419594
"mode.Primary.LifestyleAquatic",1.34234982056307
"mode.Primary.LifestyleGeneralist",1.68672061180162
"mode.Primary.LifestyleInsessorial",2.85428381627576
"mode.Primary.LifestyleTerrestrial",1.69170703288874
"mean.Latitude.span",20.4762707199524
"mean.Centroid.Latitude",18.3215887723776
"mean.Centroid.Longitude",26.0381252575319
"mean.devmode",60.7898606540848
