"","Overall"
"mean.beak.size.pc1",45.5171642063766
"mean.Tarsus.Length",59.6619867223753
"mean.Wing.Length",91.7669788770304
"mean.Hand.Wing.Index",40.0219884326313
"mean.Tail.Length",39.9188101807211
"mean.Mass",77.0494475310835
"mean.Habitat.Density",9.47122870136943
"mean.Migration",6.3368351477519
"mean.Brain.Mass..g.",99.6294397782948
"mean.clutch.size",32.5418838152043
"mean.Maximum.longevity",61.0093231655455
"mean.GenLength",100
"mean.Range.Size",17.0142423909558
"mean.Annualtemp",16.6837253724447
"mean.AnnualPrecipitation",26.3754001666268
"mean.Abundance.estimate.1.1.matched",22.049884594514
"mode.HabitatDesert",0.153389350064309
"mode.HabitatForest",3.73919037914372
"mode.HabitatGrassland",2.58315249503553
"mode.HabitatHuman Modified",1.18364564931682
"mode.HabitatMarine",11.283668460283
"mode.HabitatRiverine",0
"mode.HabitatRock",0.0821981164274468
"mode.HabitatShrubland",2.33744531415686
"mode.HabitatWetland",1.49955729339441
"mode.HabitatWoodland",1.44229447878264
"mode.Trophic.LevelHerbivore",1.48794787065952
"mode.Trophic.LevelOmnivore",2.19803404814359
"mode.Trophic.LevelScavenger",1.4195524559176
"mode.Primary.LifestyleAquatic",3.8656273077351
"mode.Primary.LifestyleGeneralist",1.40365717673555
"mode.Primary.LifestyleInsessorial",3.66199507598749
"mode.Primary.LifestyleTerrestrial",1.71947015221626
"mean.Latitude.span",21.1755424918039
"mean.Centroid.Latitude",19.9848217602921
"mean.Centroid.Longitude",21.0376320111378
