"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-0.0582007041484459,0.0316514744079492,-1.83879914718377,0.0675392247177482,-0.120237593988026,0.00383618569113457
"mean.beak.size.pc1",0.000384890967448654,0.00308233724760773,0.124869842762136,0.900761446656574,-0.0056564900378625,0.00642627197275981
"mean.Tarsus.Length",0.00507042784642692,0.0034181186666218,1.4833972547355,0.139661385865472,-0.0016290847401518,0.0117699404330056
"mean.Wing.Length",0.00256819775546889,0.00351737339249852,0.730146466947771,0.466219266153988,-0.00432585409382821,0.009462249604766
"mean.Hand.Wing.Index",5.43647118468308e-05,0.00178049779048388,0.0305334340415307,0.975674367203869,-0.00343541095750158,0.00354414038119524
"mean.Tail.Length",-0.00421942324816106,0.00281602115419711,-1.49836347708974,0.135734062727548,-0.0097388247103874,0.00129997821406528
"mean.Mass",-0.00181304339845989,0.00271368259232765,-0.668111813660844,0.504890427946322,-0.00713186127942209,0.00350577448250231
"mean.Habitat.Density",0.0041819431552018,0.00423271347989602,0.988005253619136,0.324433581847319,-0.00411417526539439,0.012478061575798
"mean.Migration",-0.00223997285739161,0.00410838699521062,-0.545219537498018,0.586255723914693,-0.0102924113680044,0.00581246565322121
"mean.Brain.Mass..g.",-0.000176660105602994,0.00322824254839488,-0.0547233062431542,0.956417635984788,-0.00650401550045696,0.00615069528925098
"mean.clutch.size",0.00292343469462307,0.00293558066637552,0.995862497702219,0.32061074518904,-0.00283030341147295,0.00867717280071908
"mean.Maximum.longevity",-0.00191174061272282,0.00673983581494875,-0.283647950070629,0.776995666049817,-0.0151218188100224,0.0112983375845767
"mean.GenLength",0.0105337228231165,0.00743665124810065,1.41646051047598,0.158313294323078,-0.0040421136231608,0.0251095592693937
"mean.Range.Size",0.000781522720890386,0.00099957915367399,0.781851760331205,0.435295824840798,-0.00117765242031063,0.00274069786209141
"mean.Annualtemp",0.000313686140595704,0.000217503242496632,1.4422136286109,0.15092383709862,-0.000112620214697694,0.000739992495889103
"mean.AnnualPrecipitation",0.00544248778142635,0.0029012937041102,1.8758830840587,0.0622379868889435,-0.000244047878629652,0.0111290234414823
"mean.Abundance.estimate.1.1.matched",-0.000155746309276561,0.000667410859178818,-0.233358967919987,0.815739291855534,-0.00146387159326704,0.00115237897471392
"mode.HabitatForest",-0.003830839824936,0.00871898793151972,-0.439367487949749,0.660905301132341,-0.0209200561707147,0.0132583765208427
"mode.HabitatGrassland",0.00459134300305445,0.00821289428451291,0.559040801451975,0.576806341183014,-0.0115059297945909,0.0206886158006998
"mode.HabitatHuman Modified",0.00145678815060713,0.0151825350862287,0.0959515747754477,0.923662333730938,-0.0283009806184011,0.0312145569196154
"mode.HabitatMarine",-0.0014636153392042,0.00833797179443543,-0.175536134600622,0.860849331373981,-0.0178060400562976,0.0148788093778892
"mode.HabitatRiverine",-0.0123334087294173,0.0115582147196449,-1.06706866316083,0.287323878507948,-0.0349875095799213,0.0103206921210867
"mode.HabitatShrubland",0.00100210369855461,0.0088969397992676,0.112634649796901,0.910441681554641,-0.0164358983080099,0.0184401057051191
"mode.HabitatWetland",-0.00068746912720993,0.0081619637735346,-0.0842283972686902,0.9329654264246,-0.0166849181233377,0.0153099798689179
"mode.HabitatWoodland",0.00829750491916427,0.00908184717595306,0.913636263461296,0.362090789793588,-0.00950291554570372,0.0260979253840323
"mode.Primary.LifestyleAquatic",-0.00510832279350049,0.00586462544308829,-0.871039905800099,0.384855210562231,-0.0166029886619535,0.00638634307495256
"mode.Primary.LifestyleGeneralist",-0.000766175080503084,0.0056221522246025,-0.136277896772397,0.891748981810834,-0.011785593440724,0.0102532432797178
"mode.Primary.LifestyleInsessorial",-0.00459530790589067,0.00463922126107103,-0.990534326192017,0.32319984358817,-0.0136881815775899,0.00449756576580854
"mode.Primary.LifestyleTerrestrial",-0.00908176945804631,0.00496727281449304,-1.82832105205665,0.0691032223763344,-0.0188176241744527,0.000654085258360053
"mean.Latitude.span",-0.00230405312598181,0.00288736627125881,-0.797977433246566,0.425901194929785,-0.00796329101764907,0.00335518476568545
"mean.Centroid.Latitude",0.00107480351462029,0.000905284407822795,1.18725508285865,0.236641060197187,-0.000699553924712385,0.00284916095395297
"mean.Centroid.Longitude",2.61377499857425e-05,1.32983992143287e-05,1.96548092477023,0.0508472401556515,7.28875256582269e-08,5.22026124458268e-05
