"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-0.0124081479153882,0.0279768786053347,-0.443514378084413,0.657909190279969,-0.0672428299818442,0.0424265341510679
"mean.beak.size.pc1",-0.00300702922457196,0.00289011350872694,-1.04045367612448,0.299479733437905,-0.00867165170167677,0.00265759325253285
"mean.Tarsus.Length",-0.00359896366971197,0.00326887944363339,-1.10097779124937,0.27232907297394,-0.0100059673792334,0.00280804003980947
"mean.Wing.Length",-0.00129504623801599,0.00338062551559816,-0.383078880532809,0.702098726895035,-0.00792107224858838,0.0053309797725564
"mean.Hand.Wing.Index",-0.000480146232901408,0.00178466395555432,-0.269040135767338,0.788196995987836,-0.00397808758578788,0.00301779511998506
"mean.Tail.Length",0.00212118588991528,0.00260135706846984,0.815415121447745,0.415877655905019,-0.0029774739642856,0.00721984574411616
"mean.Mass",-0.000703338807749984,0.00252321090194406,-0.278747530461319,0.78074824859412,-0.00564883217556034,0.00424215456006037
"mean.Habitat.Density",-0.00381232951524935,0.00348561300200581,-1.09373287081943,0.275486587847856,-0.0106441309991807,0.00301947196868204
"mean.Migration",-5.64152129161242e-05,0.0033624714099948,-0.0167779011439123,0.986631783152425,-0.00664685917650593,0.00653402875067368
"mean.Brain.Mass..g.",0.00276867014022899,0.00292247403350392,0.947372024007165,0.344678426319618,-0.00295937896543869,0.00849671924589667
"mean.clutch.size",-0.00150771194464397,0.00264014374863996,-0.571071914330668,0.568640240966819,-0.00668239369197829,0.00366696980269035
"mean.Maximum.longevity",0.00900395114595228,0.00578625212385641,1.55609381568934,0.121385652862433,-0.00233710301680628,0.0203450053087108
"mean.GenLength",-0.00353446910047307,0.00654626097088025,-0.539921814329654,0.589896784627607,-0.0163651406033984,0.00929620240245222
"mean.Range.Size",0.000415065476075081,0.000901346181989798,0.460495073223464,0.645698825828575,-0.00135157304062492,0.00218170399277508
"mean.Annualtemp",0.000196113903177282,0.000187936124134515,1.04351360910749,0.298064830684038,-0.000172240900126368,0.000564468706480931
"mean.AnnualPrecipitation",0.00221362888611104,0.00250558836331224,0.883476678980404,0.378119258897144,-0.00269732430598094,0.00712458207820302
"mean.Abundance.estimate.1.1.matched",0.000983075597494732,0.000590837054704057,1.66386923377232,0.0978224188127603,-0.00017496502972522,0.00214111622471468
"mode.HabitatForest",0.0160696446790065,0.00760644868541422,2.11263433746959,0.0359663546186439,0.0011610052555946,0.0309782841024184
"mode.HabitatGrassland",0.0165854139529604,0.00716144236817771,2.31593205674023,0.0216523986391518,0.00254898691133213,0.0306218409945888
"mode.HabitatHuman Modified",0.0136787804766075,0.0152315599951397,0.898055122454451,0.370317179989458,-0.0161750771138663,0.0435326380670814
"mode.HabitatMarine",0.00427053482429184,0.00728859177068268,0.585920429988885,0.558639281709157,-0.0100151050462462,0.0185561746948299
"mode.HabitatRiverine",0.0212691469450273,0.00989840154551684,2.14874561788822,0.0329473155770473,0.00186827991581432,0.0406700139742403
"mode.HabitatShrubland",0.0241923378089432,0.00771021128302257,3.13770102023188,0.00198018726098744,0.009080323694219,0.0393043519236675
"mode.HabitatWetland",0.0185664440310628,0.00720596853007462,2.57653692957087,0.01075497848169,0.0044427457121165,0.032690142350009
"mode.HabitatWoodland",0.0175682736408692,0.00787073418361943,2.23210099985746,0.0268016321641139,0.00214163464097517,0.0329949126407633
"mode.Primary.LifestyleAquatic",-0.00193484690412858,0.00539135309262619,-0.358879648742519,0.720092165732163,-0.0125018989656759,0.00863220515741875
"mode.Primary.LifestyleGeneralist",-0.00618867865237918,0.00487999466036291,-1.26817324261559,0.206321146192941,-0.0157534681866905,0.00337611088193213
"mode.Primary.LifestyleInsessorial",-0.00483550355387294,0.00415899351149139,-1.16266196148475,0.246456229690357,-0.0129871308363961,0.00331612372865019
"mode.Primary.LifestyleTerrestrial",-0.00831928402086793,0.00438033382506933,-1.89923516177132,0.0590812838795634,-0.0169047383180038,0.000266170276267958
"mean.Latitude.span",-0.00480275072900612,0.00250091734110026,-1.92039562846694,0.0563376287794142,-0.00970454871756263,9.90472595503999e-05
"mean.Centroid.Latitude",-5.50694835758268e-05,0.000768901109278712,-0.0716210224062314,0.942980461750314,-0.0015621156577621,0.00145197669061045
"mean.Centroid.Longitude",1.37340694101971e-05,1.16528047532794e-05,1.1786063270589,0.240060545312652,-9.10542790623041e-06,3.65735667266247e-05
