"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",0.0334726109115159,0.0464097786580802,0.721240477316693,0.47166716471955,-0.0574905552583214,0.124435777081353
"mean.beak.size.pc1",-0.00456876534662867,0.00469520694866025,-0.973070068388005,0.33178223764286,-0.0137713709660028,0.00463384027274542
"mean.Tarsus.Length",0.00407513104007728,0.00524677686846946,0.776692270747553,0.438326950845999,-0.00620855162212285,0.0143588137022774
"mean.Wing.Length",0.000739229574363285,0.00540000852404037,0.136894149531857,0.891262526905679,-0.00984478713275585,0.0113232462814824
"mean.Hand.Wing.Index",0.00127056433956795,0.00281412805480148,0.451494855537971,0.652158923130618,-0.00424512664784296,0.00678625532697885
"mean.Tail.Length",-0.00403470372594531,0.00423617193915096,-0.952440973572469,0.34210944876371,-0.0123376007266812,0.00426819327479056
"mean.Mass",0.00682194707725593,0.00411835225061372,1.65647488658585,0.0993116419207933,-0.00125002333394696,0.0148939174884588
"mean.Habitat.Density",0.00694760559144023,0.00598897535900394,1.16006581676698,0.247508899805261,-0.0047907861122075,0.0186859972950879
"mean.Migration",0.00573146154072253,0.00579631017296456,0.988812083841803,0.324039656660108,-0.00562930639828801,0.0170922294797331
"mean.Brain.Mass..g.",-0.00364239216182604,0.00482280638222865,-0.755243290555419,0.451058302232672,-0.0130950926709942,0.00581030834734212
"mean.clutch.size",0.00431819102094693,0.00436508696315217,0.989256584668045,0.32382276868497,-0.00423737942683133,0.0128737614687252
"mean.Maximum.longevity",-0.00928906267152398,0.00973930870859871,-0.953770226353209,0.341437823058828,-0.0283781077403775,0.0097999823973295
"mean.GenLength",0.00802040992815281,0.0108942458965585,0.736206067341151,0.462532761698393,-0.0133323120291019,0.0293731318854075
"mean.Range.Size",-0.000318393901023146,0.00148588539543086,-0.21427890872487,0.83056429466335,-0.00323072927606763,0.00259394147402133
"mean.Annualtemp",0.00038047278312997,0.000315774488400651,1.20488765592498,0.229777469944852,-0.000238445214135306,0.000999390780395246
"mean.AnnualPrecipitation",0.000645590967310699,0.00419991255746922,0.153715335373487,0.878000839447654,-0.00758623764532897,0.00887741957995037
"mean.Abundance.estimate.1.1.matched",-0.0011728486598861,0.000981610567105338,-1.19482073562503,0.233678390556664,-0.00309680537141256,0.000751108051640362
"mode.HabitatForest",-0.00498111252364839,0.0126898514449494,-0.392527252604747,0.695118129351528,-0.0298532213557493,0.0198909963084525
"mode.HabitatGrassland",-0.0146882886817546,0.0119343206111118,-1.23076035581603,0.219966620820521,-0.0380795570795338,0.0087029797160246
"mode.HabitatHuman Modified",-0.0130997839106206,0.0237970878662883,-0.550478444430934,0.582651766663156,-0.0597420761285456,0.0335425083073044
"mode.HabitatMarine",0.00135303298172532,0.0121245954603447,0.111594072243533,0.911265604745008,-0.0224111741205503,0.0251172400840009
"mode.HabitatRiverine",0.00267459800400473,0.0167017805659583,0.16013849502107,0.872945754643842,-0.0300608919052736,0.0354100879132831
"mode.HabitatShrubland",-0.0139765021786495,0.0129115099208854,-1.08248394372849,0.28043888696839,-0.0392830616235849,0.0113300572662859
"mode.HabitatWetland",-0.00465613018605296,0.0119752401710919,-0.388813094312113,0.697859137397881,-0.0281276009213931,0.0188153405492872
"mode.HabitatWoodland",-0.00701637961627788,0.0131752838226119,-0.532541060271969,0.594986924609923,-0.0328399359085973,0.0188071766760415
"mode.Primary.LifestyleAquatic",0.00204410192247409,0.00875776035467476,0.233404642247715,0.815703880766909,-0.0151211083726884,0.0192093122176366
"mode.Primary.LifestyleGeneralist",0.00996040765954682,0.00819445720533059,1.21550548254343,0.225713909034691,-0.00610072846290113,0.0260215437819948
"mode.Primary.LifestyleInsessorial",0.00424711993442985,0.00686998486359733,0.618213870737108,0.537190633793726,-0.00921805039822092,0.0177122902670806
"mode.Primary.LifestyleTerrestrial",0.00493302662481289,0.00729564583114332,0.676160375515353,0.499778717976402,-0.00936643920422802,0.0192324924538538
"mean.Latitude.span",0.00342996861323017,0.00420798135590466,0.815110221060562,0.41605170404357,-0.00481767484434296,0.0116776120708033
"mean.Centroid.Latitude",0.000308505685842458,0.00129959166481432,0.237386630120113,0.812618130759424,-0.00223869397719361,0.00285570534887852
"mean.Centroid.Longitude",-1.20793173322402e-05,1.95562775135981e-05,-0.617669560264784,0.53754866804889,-5.04096212588925e-05,2.62509865944121e-05
