"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",0.267125433995375,0.0957870300874349,2.78874325419153,0.0058416519680116,0.0793828550240025,0.454868012966747
"mean.beak.size.pc1",-0.0126248124910094,0.00988029412742034,-1.27777699005663,0.202920520629541,-0.0319901889807533,0.00674056399873447
"mean.Tarsus.Length",-0.0461678863850585,0.0111607435739111,-4.13663176465934,5.33231273339321e-05,-0.0680429437899243,-0.0242928289801926
"mean.Wing.Length",0.00780690607835955,0.0115349395961299,0.676805111400745,0.499370442060919,-0.014801575530055,0.0304153876867741
"mean.Hand.Wing.Index",-0.0151009936389759,0.00608407422176272,-2.48205282982244,0.0139494094124179,-0.0270257791136309,-0.003176208164321
"mean.Tail.Length",-0.00571348424746807,0.00889228666792098,-0.642521373954297,0.521325908453065,-0.0231423661165932,0.011715397621657
"mean.Mass",0.012282577898834,0.00862884609287418,1.42343226042439,0.15628611960737,-0.00462996044319934,0.0291951162408674
"mean.Habitat.Density",-0.00717434073416401,0.0119766034216637,-0.599029664887024,0.549881994177289,-0.0306484834406249,0.0162998019722969
"mean.Migration",-0.00291434155801809,0.011556855030332,-0.252174276684196,0.801184796402967,-0.0255657774174688,0.0197370943014326
"mean.Brain.Mass..g.",-0.0131119682348809,0.0100050151232734,-1.31053957173739,0.191629304380833,-0.0327217978764967,0.006497861406735
"mean.clutch.size",0.00636340025720403,0.00903849102851517,0.704033476066789,0.482292400230592,-0.0113520421586857,0.0240788426730938
"mean.Maximum.longevity",-0.00699119893152611,0.0198391080787525,-0.352394820562201,0.724941158696065,-0.045875850765881,0.0318934529028288
"mean.GenLength",0.0118389654308458,0.0224219887840395,0.528006928594714,0.598123881360255,-0.0321081325858716,0.0557860634475632
"mean.Range.Size",-0.0027689015728689,0.00308506342493755,-0.897518524412492,0.37060255721973,-0.0088156258857465,0.0032778227400087
"mean.Annualtemp",0.0013308078640227,0.000644352802373286,2.06534038359274,0.0402775926387249,6.78763713710603e-05,0.00259373935667434
"mean.AnnualPrecipitation",-0.0232068694896579,0.00858661766973237,-2.70267879417311,0.00751514771588184,-0.0400366401223333,-0.0063770988569824
"mean.Abundance.estimate.1.1.matched",0.000613588253342224,0.00202380173086587,0.303185951461611,0.762086992432019,-0.00335306313915487,0.00458023964583932
"mode.HabitatForest",0.0542727989643612,0.0260533183509177,2.08314343045862,0.0386054488438948,0.00320829499656244,0.10533730293216
"mode.HabitatGrassland",0.0312259586096144,0.024524939704948,1.27323283911334,0.204524411054178,-0.0168429232120836,0.0792948404313124
"mode.HabitatHuman Modified",0.040680230304411,0.0518565321908982,0.784476488991896,0.433758525166071,-0.0609585727897494,0.142319033398571
"mode.HabitatMarine",0.00956585170273818,0.0249543441316304,0.383334126205832,0.701909811015857,-0.0393446627952575,0.0584763662007338
"mode.HabitatRiverine",0.0551815257869594,0.033946411008489,1.6255481550954,0.105738976751299,-0.011353439789679,0.121716491363598
"mode.HabitatShrubland",0.0412446037216807,0.0264195029122159,1.56114230683008,0.120190007662715,-0.0105376219862625,0.093026829429624
"mode.HabitatWetland",0.0543542957475423,0.0246746488077108,2.20283969069325,0.0288347458805435,0.00599198408442905,0.102716607410655
"mode.HabitatWoodland",0.0410935785739813,0.0269679602958331,1.52379260882889,0.129258948023263,-0.0117636236058516,0.0939507807538142
"mode.Primary.LifestyleAquatic",0.015674222504141,0.0184190702999025,0.850977940196254,0.395875805641965,-0.0204271552836678,0.0517756002919499
"mode.Primary.LifestyleGeneralist",0.03183932904861,0.0167335696527415,1.90272187640452,0.0586216507786607,-0.000958467470763301,0.0646371255679833
"mode.Primary.LifestyleInsessorial",0.0118495399758131,0.0142360492111028,0.832361549198043,0.40627232456694,-0.0160531164779484,0.0397521964295746
"mode.Primary.LifestyleTerrestrial",0.0343366440543475,0.0150057976506007,2.28822518161659,0.0232490280152528,0.00492528065917021,0.0637480074495248
"mean.Latitude.span",0.00788529268148071,0.00857739347570082,0.91931105921854,0.359123557752113,-0.00892639853089289,0.0246969838938543
"mean.Centroid.Latitude",0.00119341916672098,0.00263724148292554,0.452525555375802,0.651417769180975,-0.00397557413981307,0.00636241247325504
"mean.Centroid.Longitude",-2.88297985302322e-05,3.99640467145232e-05,-0.72139337480444,0.471573337999456,-0.000107159330090698,4.94997330302332e-05
