"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",0.112266102916506,0.0709086422197967,-0.0282834582244639,0.249602236960899
"mean_beak_size_pc1",-0.125704845693498,0.151274230385895,-0.421714298686265,0.170953284276187
"mean_Tarsus_Length",0.288337217089075,0.162038776911308,-0.028955764738912,0.60883407746887
"mean_Wing_Length",0.0975700535446578,0.174898728285306,-0.249092862364755,0.436942867977024
"mean_Hand_Wing_Index",0.127003352785692,0.0911637415269601,-0.0495834916238216,0.307242351620052
"mean_Tail_Length",-0.105693140289486,0.136383094052099,-0.370630521994545,0.163858179361234
"mean_Mass",-0.074410785511392,0.135854425613477,-0.337717927002603,0.191370386326675
"mean_Habitat_Density",0.296000887876972,0.190495020395672,-0.0805641008986153,0.6631224682799
"mean_Migration",-0.0525878472500982,0.189948780500555,-0.423691966218709,0.317521395398906
"mean_Brain_Mass_g",0.0370473756632352,0.157918060434963,-0.270425691134718,0.352753420940273
"mean_clutch_size",-0.0546376334296985,0.145662839126546,-0.340741729505468,0.22568506881808
"mean_Maximum_longevity",0.486427430743482,0.33211530143271,-0.160129502927132,1.13213497194911
"mean_GenLength",0.0418465636524356,0.365981171933668,-0.672815377834751,0.756377121144553
"mean_Range_Size",-0.00340696588306534,0.0490846518443672,-0.0996745224520609,0.0920592164123527
"mean_Annualtemp",-0.00273570272943734,0.0104031977599982,-0.0230596625388412,0.0175051147911814
"mean_AnnualPrecipitation",0.0779919953284506,0.136720596291506,-0.190795570882656,0.347133198769571
"mean_Abundance_estimate_1_1_matched",-0.0404943113229317,0.0334886253161681,-0.105690182960078,0.0250799729610075
"mean_Latitude_span",0.0165207788056724,0.143431067737253,-0.265330219528347,0.297467397367455
"mean_Centroid_Latitude",-0.0396260116245934,0.0441659585189907,-0.126896120418679,0.0459145933010737
"mean_Centroid_Longitude",0.00032705217766758,0.00065546412146948,-0.000965344991739993,0.00160896219352578
