"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-0.392084950466978,0.145467341155371,-0.675274151537757,-0.106155756731095
"mean_beak_size_pc1",-0.125300081754864,0.32377787485436,-0.769011898684059,0.504274839450087
"mean_Tarsus_Length",-1.24753318527559,0.348624653142944,-1.93293816484788,-0.564400447858513
"mean_Wing_Length",0.172807409343081,0.381275578459343,-0.56803235773601,0.92275131867492
"mean_Hand_Wing_Index",-0.456230950125039,0.202178862382256,-0.851881073334867,-0.0563203929954477
"mean_Tail_Length",0.00802627557357075,0.291455244356271,-0.565390343852976,0.570338841963063
"mean_Mass",0.460137499613676,0.285753311202393,-0.102770325349689,1.02005163937691
"mean_Habitat_Density",-0.605064627198877,0.367702534598521,-1.33993505410857,0.115217170085381
"mean_Migration",-0.41398760873768,0.372948357928564,-1.15218073761313,0.322505310596104
"mean_Brain_Mass_g",-0.491329332703784,0.334900565114427,-1.16020900362402,0.16190662036679
"mean_clutch_size",0.343724393687161,0.306186850689063,-0.257603052931208,0.951673388668023
"mean_Maximum_longevity",-0.493843188801294,0.67675121007537,-1.84126010734236,0.816059291308923
"mean_GenLength",-0.144090864642223,0.760928799372602,-1.60955653167065,1.35854995940192
"mean_Range_Size",0.0779469348960434,0.102683463774004,-0.12011818171951,0.278903982643576
"mean_Annualtemp",-0.00461961255246544,0.0209069820724997,-0.0455573834206166,0.036389447839336
"mean_AnnualPrecipitation",-0.261512828366848,0.276219984559321,-0.804157987292231,0.283048223342136
"mean_Abundance_estimate_1_1_matched",0.00539806909406937,0.0691621605426804,-0.131661942301878,0.140846410586633
"mean_Latitude_span",-0.267509345617455,0.287336436608323,-0.834517697443851,0.290186113339319
"mean_Centroid_Latitude",-0.0975291864358845,0.0889852881483936,-0.271239498215463,0.0763773678610565
"mean_Centroid_Longitude",-0.000336040130717359,0.00137110563963179,-0.00302882262176107,0.00236095372043352
