"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-0.136370175339293,0.215734951002932,-0.564909293172125,0.286723982827112
"mean_beak_size_pc1",0.286117801373133,0.483859112992569,-0.645200108783858,1.24010257828871
"mean_Tarsus_Length",0.0388989750056931,0.552724662166295,-1.03890446057442,1.12848645485791
"mean_Wing_Length",-0.911304299616126,0.559407427546277,-2.02219617008432,0.180780915832767
"mean_Hand_Wing_Index",0.0588548862913844,0.297953983189601,-0.529110571308212,0.636549250004971
"mean_Tail_Length",0.875522824434067,0.434896338006362,0.0165769903508922,1.72792827188143
"mean_Mass",-0.301789897875173,0.425137537776421,-1.143822395014,0.529954131681108
"mean_Habitat_Density",-0.249157428751033,0.564991353874259,-1.37991403415405,0.84074607360499
"mean_Migration",-0.403565133063051,0.580444367508908,-1.52148318448862,0.750693262525919
"mean_Brain_Mass_g",0.312689543331756,0.498088249523876,-0.667606269142214,1.28953979783289
"mean_clutch_size",-0.00810857685397026,0.460131668066851,-0.914582142470889,0.901979061927521
"mean_Maximum_longevity",0.631978505153731,1.01110429757307,-1.33599243427515,2.61005125412695
"mean_GenLength",-0.675119128797096,1.11650911404148,-2.8686395578654,1.51525358017551
"mean_Range_Size",0.252136680559221,0.152548175873143,-0.0465086272598866,0.55359200322486
"mean_Annualtemp",-0.0305404834504397,0.0322118708776877,-0.0949057823710291,0.031316061647031
"mean_AnnualPrecipitation",0.43669542809305,0.414771476808937,-0.381255656007502,1.24295657050323
"mean_Abundance_estimate_1_1_matched",0.0194431226462858,0.103125892880809,-0.184422823782093,0.218646332608527
"mean_Latitude_span",-0.52177878349733,0.436953399467038,-1.39042733176864,0.327482986507011
"mean_Centroid_Latitude",-0.122034971547965,0.132702603200637,-0.379670242799456,0.139668791339761
"mean_Centroid_Longitude",-0.00121739762276389,0.00199952231560326,-0.00507479641786144,0.00274221152365547
