"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-0.0773656256028239,0.087252067031184,-0.247866955553627,0.0936028132483367
"mean_beak_size_pc1",0.203768847417558,0.190886019776931,-0.171398326332589,0.582954479682746
"mean_Tarsus_Length",-0.0880312577881505,0.198092610401698,-0.474071892192611,0.29974518893255
"mean_Wing_Length",0.327850482183967,0.213150240147875,-0.0931157321666684,0.744694908979528
"mean_Hand_Wing_Index",-0.0524993755887385,0.111778795085487,-0.270072987671278,0.16642209252292
"mean_Tail_Length",-0.187367878120014,0.165724958260057,-0.513967174385221,0.138606136096407
"mean_Mass",0.127148535713944,0.163139430627853,-0.191549192455075,0.447706937415683
"mean_Habitat_Density",-0.0735249193746562,0.233256555912321,-0.52393745343713,0.384789267680057
"mean_Migration",-0.212087133435324,0.227775715282623,-0.662970178199675,0.227732801112271
"mean_Brain_Mass_g",-0.41113278105557,0.19193153734537,-0.783636053819808,-0.0377495185718621
"mean_clutch_size",0.391208330328478,0.179526735575851,0.0397917301254738,0.740810226591782
"mean_Maximum_longevity",-0.681618040617664,0.397677536322023,-1.45717601062472,0.100397898310976
"mean_GenLength",0.596897324578938,0.444089101324477,-0.264976146841787,1.46553862435123
"mean_Range_Size",-0.0148220194869774,0.0594160899500291,-0.13122783445747,0.101102474892899
"mean_Annualtemp",0.00166128093163809,0.0124249826961729,-0.02226110890128,0.0261442289313354
"mean_AnnualPrecipitation",-0.0557086648903131,0.165162660837243,-0.37892624577199,0.270617671728207
"mean_Abundance_estimate_1_1_matched",0.0957001232689132,0.0400444140034054,0.0169883274795714,0.175072610817708
"mean_Latitude_span",-0.283225423244609,0.173660279644485,-0.620895053921444,0.0595419434343961
"mean_Centroid_Latitude",0.000556432357541176,0.0523613971954005,-0.101869371155162,0.105380342317628
"mean_Centroid_Longitude",0.00157807222389261,0.000784943908620009,5.2431970244041e-05,0.00313260919984826
