"","Overall"
"mean.Beak.Length_Culmen",94.7175056805516
"mean.Beak.Length_Nares",100
"mean.Beak.Width",88.5908312635944
"mean.Beak.Depth",87.0698413925168
"mean.Tarsus.Length",82.225783388277
"mean.Wing.Length",89.5261856834235
"mean.Kipps.Distance",85.0041390641907
"mean.Secondary1",84.5651283617483
"mean.Hand.Wing.Index",70.7346787380666
"mean.Tail.Length",94.9130687161545
"mean.Mass",81.5036143169672
"mean.Habitat.Density",62.2532117458724
"mean.Migration",45.2273276549037
"mean.Brain.Mass..g.",74.1590669708033
"mean.clutch.size",55.5292163663781
"mean.Maximum.longevity",83.181891996566
"mean.GenLength",79.521142224678
"mean.Range.Size",99.593942398099
"mean.Annualtemp",75.6658374049657
"mean.AnnualPrecipitation",70.3896532468084
"mean.Abundance.estimate.1.1.matched",74.1842799369403
"mode.HabitatForest",9.84162343181663
"mode.HabitatGrassland",3.01626999232102
"mode.HabitatHuman Modified",1.90764948743533
"mode.HabitatMarine",1.43989978978456
"mode.HabitatRiverine",0
"mode.HabitatShrubland",24.3055104881119
"mode.HabitatWetland",14.7141143698936
"mode.HabitatWoodland",11.1094067940745
"mode.Trophic.LevelHerbivore",14.4250405730194
"mode.Trophic.LevelOmnivore",12.4913006562247
"mode.Trophic.LevelScavenger",1.85474753295422
"mode.Primary.LifestyleAquatic",2.08733397911069
"mode.Primary.LifestyleGeneralist",7.90145713502649
"mode.Primary.LifestyleInsessorial",12.6753016098738
"mode.Primary.LifestyleTerrestrial",7.99725182274224
"mean.Min.Latitude",73.7797198348846
"mean.Max.Latitude",75.6880927655656
"mean.Centroid.Latitude",65.0577063875708
"mean.Centroid.Longitude",74.8988990608532
