"","Overall"
"mean.Beak.Length_Culmen",58.6489424364826
"mean.Beak.Length_Nares",51.3105717737704
"mean.Beak.Width",30.3501871079376
"mean.Beak.Depth",47.6417503838685
"mean.Tarsus.Length",27.9143666632407
"mean.Wing.Length",100
"mean.Kipps.Distance",72.1860088633209
"mean.Secondary1",41.1171434679543
"mean.Hand.Wing.Index",49.6291224420567
"mean.Tail.Length",33.9430805814377
"mean.Mass",83.5480502618097
"mean.Habitat.Density",15.9075736078931
"mean.Migration",12.2594103622259
"mean.Brain.Mass..g.",26.3755754757985
"mean.clutch.size",11.6298658087025
"mean.Maximum.longevity",51.0776965124944
"mean.GenLength",54.5712409569763
"mean.Range.Size",18.052007482856
"mean.Annualtemp",16.4291820756577
"mean.AnnualPrecipitation",14.2846201029268
"mean.Abundance.estimate.1.1.matched",17.9287687630563
"mode.HabitatForest",2.63803239227407
"mode.HabitatGrassland",1.13359457058243
"mode.HabitatHuman Modified",0
"mode.HabitatMarine",0.869959205016956
"mode.HabitatRiverine",0.0119018652795223
"mode.HabitatShrubland",0.871322726046174
"mode.HabitatWetland",0.661008593519027
"mode.HabitatWoodland",3.30676538374638
"mode.Trophic.LevelHerbivore",1.163321845528
"mode.Trophic.LevelOmnivore",4.65249787611996
"mode.Trophic.LevelScavenger",0.00607493880508135
"mode.Primary.LifestyleAquatic",0.296174296228892
"mode.Primary.LifestyleGeneralist",0.835084159554077
"mode.Primary.LifestyleInsessorial",3.42235251733456
"mode.Primary.LifestyleTerrestrial",2.27613391708894
"mean.Min.Latitude",20.1125621242922
"mean.Max.Latitude",14.689431401122
"mean.Centroid.Latitude",16.0717170027734
"mean.Centroid.Longitude",41.1043972444185
