"","Overall"
"mean.Beak.Length_Culmen",50.7421323827779
"mean.Beak.Length_Nares",76.1353244286188
"mean.Beak.Width",35.3557673843876
"mean.Beak.Depth",38.5387277066527
"mean.Tarsus.Length",60.2405855204169
"mean.Wing.Length",43.8706677311299
"mean.Kipps.Distance",100
"mean.Secondary1",26.2930522659896
"mean.Hand.Wing.Index",56.6472537752298
"mean.Tail.Length",36.7404902996481
"mean.Mass",33.1147112112187
"mean.Habitat.Density",57.2370602626693
"mean.Migration",45.5448720821955
"mean.Brain.Mass..g.",34.0358211811646
"mean.clutch.size",53.3683888048831
"mean.Maximum.longevity",60.2000150907439
"mean.GenLength",61.6786822711428
"mean.Range.Size",79.4040277562798
"mean.Annualtemp",34.7111264789647
"mean.AnnualPrecipitation",49.271489015002
"mean.Abundance.estimate.1.1.matched",64.759911142592
"mode.HabitatForest",8.01231202101759
"mode.HabitatGrassland",3.28082233128062
"mode.HabitatHuman Modified",0.0153457228718927
"mode.HabitatMarine",5.1941550486207
"mode.HabitatRiverine",0.140630874170232
"mode.HabitatShrubland",0.768102576077108
"mode.HabitatWetland",4.58989647101335
"mode.HabitatWoodland",2.10659508542447
"mode.Trophic.LevelHerbivore",25.6258237163504
"mode.Trophic.LevelOmnivore",4.66502433147469
"mode.Trophic.LevelScavenger",0
"mode.Primary.LifestyleAquatic",0.838247685010359
"mode.Primary.LifestyleGeneralist",0.85148461217579
"mode.Primary.LifestyleInsessorial",4.63882256073089
"mode.Primary.LifestyleTerrestrial",5.12206311569325
"mean.Min.Latitude",39.9232988974507
"mean.Max.Latitude",55.1966252528603
"mean.Centroid.Latitude",37.8651616942966
"mean.Centroid.Longitude",99.2263759414928
