"","Overall"
"mean.Beak.Length_Culmen",63.707100717624
"mean.Beak.Length_Nares",62.6534475706801
"mean.Beak.Width",36.1579791452091
"mean.Beak.Depth",33.3393616512464
"mean.Tarsus.Length",42.9208892436322
"mean.Wing.Length",56.1056757289472
"mean.Kipps.Distance",53.2401359978366
"mean.Secondary1",46.2071498979852
"mean.Hand.Wing.Index",39.2942309406718
"mean.Tail.Length",30.6064924639358
"mean.Mass",57.6014902354076
"mean.Habitat.Density",22.9175474697869
"mean.Migration",23.9772224983434
"mean.Brain.Mass..g.",35.7344293074182
"mean.clutch.size",38.4169837540536
"mean.Maximum.longevity",45.380167208854
"mean.GenLength",67.2474460391408
"mean.Range.Size",30.9098056323621
"mean.Annualtemp",30.6374809513479
"mean.AnnualPrecipitation",26.9562902309144
"mean.Abundance.estimate.1.1.matched",34.3479031710971
"mode.HabitatForest",2.93580312139117
"mode.HabitatGrassland",4.2780726599242
"mode.HabitatHuman Modified",0.0029460027195211
"mode.HabitatMarine",0.504493909313403
"mode.HabitatRiverine",0.045346691646541
"mode.HabitatShrubland",2.94463153757219
"mode.HabitatWetland",1.16417572971792
"mode.HabitatWoodland",1.51986297657091
"mode.Trophic.LevelHerbivore",4.73568825972262
"mode.Trophic.LevelOmnivore",2.97561574227677
"mode.Trophic.LevelScavenger",0
"mode.Primary.LifestyleAquatic",0.198054181239673
"mode.Primary.LifestyleGeneralist",4.41711521421139
"mode.Primary.LifestyleInsessorial",4.04717201135543
"mode.Primary.LifestyleTerrestrial",3.29135089039305
"mean.Min.Latitude",76.6166660077507
"mean.Max.Latitude",53.582572480359
"mean.Centroid.Latitude",69.4058260188517
"mean.Centroid.Longitude",100
