"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-8.84330287342883,0.623585624415472,-14.1813770670519,2.00743719971488e-31,-10.0655306972832,-7.6210750495745
"mean.beak.size.pc1",0.0366608326406161,0.0633856894396991,0.578377122102502,0.563709172123908,-0.0875751186611942,0.160896783942426
"mean.Tarsus.Length",-0.144725506833167,0.0709707099494083,-2.03922867527089,0.0428419180325834,-0.283828098334007,-0.00562291533232639
"mean.Wing.Length",0.0479272518398196,0.0730860435870998,0.655764760103652,0.51278581369168,-0.095321393590896,0.191175897270535
"mean.Hand.Wing.Index",-0.0162358497306382,0.0382051206517208,-0.424965278310329,0.671353194067373,-0.091117886208011,0.0586461867467346
"mean.Tail.Length",-0.0205063766547626,0.0571317123275562,-0.358931595419237,0.720053368386666,-0.132484532816773,0.0914717795072475
"mean.Mass",0.0448238615949544,0.0555438649064156,0.806999326936953,0.420697589080716,-0.0640421136216201,0.153689836811529
"mean.Habitat.Density",0.0528376369326314,0.0799769852721614,0.660660523184577,0.509647452239053,-0.103917254200805,0.209592528066068
"mean.Migration",-0.0918224949490455,0.0773573287638814,-1.18699154193026,0.236744741757896,-0.243442859326253,0.0597978694281621
"mean.Brain.Mass..g.",-0.118008182959364,0.0649108592847882,-1.81800370938887,0.0706724123410001,-0.245233467157549,0.00921710123882104
"mean.clutch.size",0.135208542032261,0.0587150664762402,2.30279126205154,0.0223972425976511,0.0201270117388306,0.250290072325692
"mean.Maximum.longevity",-0.072702799811321,0.13052251693635,-0.557013468003953,0.57818785859675,-0.328526933006567,0.183121333383925
"mean.GenLength",-0.0664379509803618,0.146318709125134,-0.454063266260387,0.650312679924781,-0.353222620865624,0.220346718904901
"mean.Range.Size",0.0016862492290714,0.0199976671132848,0.0843222971719135,0.932890872421859,-0.0375091783129667,0.0408816767711095
"mean.Annualtemp",0.00840121792527437,0.00423420998959286,1.98412878575306,0.0487121782754696,0.000102166345672363,0.0167002695048764
"mean.AnnualPrecipitation",-0.0270783497830039,0.0563192639959892,-0.480800846135565,0.631223110147718,-0.137464107215143,0.083307407649135
"mean.Abundance.estimate.1.1.matched",0.00210497076882856,0.0131914581050233,0.159570742829937,0.873392373265691,-0.0237502871170171,0.0279602286546742
"mode.HabitatForest",0.14123822899229,0.170295673563419,0.829370623674075,0.407957828790341,-0.192541291192012,0.475017749176592
"mode.HabitatGrassland",0.0303962225028284,0.160167827878217,0.189777328602721,0.849690567479073,-0.283532720138476,0.344325165144133
"mode.HabitatHuman Modified",-0.249206912514692,0.32333213385498,-0.770745887652681,0.441835492667604,-0.882937894870454,0.384524069841069
"mode.HabitatMarine",0.0979287374469004,0.162756521072684,0.601688564006399,0.548114138302856,-0.22107404385556,0.416931518749361
"mode.HabitatRiverine",0.172356055769139,0.223745943776144,0.770320359155116,0.442087186939898,-0.266185994032102,0.610898105570381
"mode.HabitatShrubland",0.102945234723067,0.173164748695876,0.594493021809346,0.552904853363898,-0.23645767272085,0.442348142166984
"mode.HabitatWetland",0.0293964146016554,0.160849621281713,0.182757126609396,0.855187637281431,-0.285868843110503,0.344661672313814
"mode.HabitatWoodland",0.0868177056611531,0.17670737659398,0.491307761648423,0.623788020746338,-0.259528752463047,0.433164163785353
"mode.Primary.LifestyleAquatic",0.153088104933146,0.118096426383152,1.29629752247089,0.196479063892613,-0.0783808907778318,0.384557100644124
"mode.Primary.LifestyleGeneralist",0.125795927424167,0.109922018766814,1.14441063615314,0.253923939133459,-0.0896512293587877,0.341243084207122
"mode.Primary.LifestyleInsessorial",0.0644825628942317,0.0924098630209031,0.697788750965313,0.486180683000356,-0.116640768626738,0.245605894415202
"mode.Primary.LifestyleTerrestrial",0.125097323636966,0.0979902723373428,1.27663002309356,0.203324476790363,-0.0669636101442261,0.317158257418158
"mean.Latitude.span",-0.041088691612627,0.0564294100095955,-0.728143207693294,0.467441604779563,-0.151690335231434,0.0695129520061803
"mean.Centroid.Latitude",0.0114480406621887,0.0174017977272708,0.657865402276695,0.511437983618982,-0.0226594828832621,0.0455555642076395
"mean.Centroid.Longitude",-0.000344856989804769,0.000262459642006563,-1.31394292535134,0.190483632725891,-0.000859277888137633,0.000169563908528095
