"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-6.77803968548993,0.705975718244553,-9.60095299360139,5.55322486283971e-18,-8.16175209324926,-5.39432727773061
"mean.beak.size.pc1",0.0119365942064425,0.0730207780327671,0.163468461005525,0.870327084603187,-0.131184130737781,0.155057319150666
"mean.Tarsus.Length",-0.0655333213061393,0.0826869995696309,-0.792546853159832,0.429051591411244,-0.227599840462616,0.0965331978503372
"mean.Wing.Length",0.0278909593815347,0.0855645055809794,0.325964127206208,0.744817933709179,-0.139815471557185,0.195597390320254
"mean.Hand.Wing.Index",-0.021407972873649,0.0452029525529343,-0.473596782169915,0.636342865830807,-0.1100057598774,0.0671898141301022
"mean.Tail.Length",-0.0598106909861292,0.065734693061776,-0.909880128746026,0.364063285866997,-0.18865068938721,0.0690293074149517
"mean.Mass",0.0417060149948827,0.0637340463682181,0.65437575944778,0.51367805866145,-0.0832127158868246,0.16662474587659
"mean.Habitat.Density",0.222227818912523,0.087675626532009,2.53465903470209,0.0120797433866989,0.0503835909097854,0.39407204691526
"mean.Migration",-0.0123167981870632,0.0845571167379077,-0.145662466534192,0.884345587425187,-0.178048746993362,0.153415150619236
"mean.Brain.Mass..g.",-0.0135458613414423,0.0737473255162835,-0.183679357137519,0.854465087313284,-0.158090619353358,0.130998896670473
"mean.clutch.size",-0.0772594497036166,0.0666253692666185,-1.15961007877409,0.247694016805198,-0.207845173466189,0.0533262740589556
"mean.Maximum.longevity",0.0775060336767914,0.145827685197214,0.531490529881029,0.595713063907254,-0.208316229309749,0.363328296663332
"mean.GenLength",-0.168351816308094,0.165128980337376,-1.01951708273214,0.309281794886118,-0.49200461776935,0.155300985153163
"mean.Range.Size",-0.0122153791803221,0.0227498298314081,-0.536943760496076,0.591948166218926,-0.056805045649882,0.0323742872892379
"mean.Annualtemp",0.00559790759212669,0.00473642291757255,1.1818850828033,0.238760104517726,-0.0036854813263155,0.0148812965105689
"mean.AnnualPrecipitation",0.0109530678318662,0.0631753441416752,0.17337567338459,0.862544679509437,-0.112870606685817,0.13477674234955
"mean.Abundance.estimate.1.1.matched",-0.00231561999283377,0.0149024547751051,-0.155385138071485,0.876686198476802,-0.0315244313520399,0.0268931913663723
"mode.HabitatForest",0.0541773698650648,0.191881116765965,0.282348626994621,0.777990138662197,-0.321909618996226,0.430264358726356
"mode.HabitatGrassland",-0.247703561798824,0.180684046471271,-1.37092104497565,0.172051496708261,-0.601844292882515,0.106437169284867
"mode.HabitatHuman Modified",-0.304319236945154,0.386274530411017,-0.787831485087411,0.431798123111819,-1.06141731655075,0.452778842660439
"mode.HabitatMarine",-0.0296225163997878,0.183934028496691,-0.16104967983301,0.872229062331248,-0.390133212253302,0.330888179453726
"mode.HabitatRiverine",-0.266615648843766,0.249413276863726,-1.06897135628204,0.286467903165387,-0.75546567149667,0.222234373809138
"mode.HabitatShrubland",-0.0536572639878641,0.194426601523837,-0.275976968003967,0.782872141986438,-0.434733402974585,0.327418874998857
"mode.HabitatWetland",-0.0694720937373642,0.181821973227853,-0.382088547957316,0.702831880819551,-0.425843161263955,0.286898973789227
"mode.HabitatWoodland",0.114451584610077,0.198485540407793,0.576624294016247,0.56489044797047,-0.274580074589198,0.503483243809352
"mode.Primary.LifestyleAquatic",0.135672621885944,0.136310932651555,0.995317244529151,0.320875068658563,-0.131496806111103,0.402842049882992
"mode.Primary.LifestyleGeneralist",0.135895539586114,0.122967936263401,1.10512987137575,0.270530791699294,-0.105121615490152,0.37691269466238
"mode.Primary.LifestyleInsessorial",0.0911714593548616,0.104969605708439,0.868551031887242,0.386212053208227,-0.114568967833679,0.296911886543402
"mode.Primary.LifestyleTerrestrial",0.141980988699742,0.110476726949528,1.28516650176111,0.200332091544152,-0.074553396121333,0.358515373520817
"mean.Latitude.span",0.0738781843280314,0.0630084748133859,1.17251186521874,0.242491123388099,-0.049618426306205,0.197374794962268
"mean.Centroid.Latitude",0.0124843479432094,0.0193721762106644,0.644447366545055,0.520079347992957,-0.0254851174296927,0.0504538133161115
"mean.Centroid.Longitude",-0.000710259956066324,0.00029357845431467,-2.41931908022458,0.016512440441418,-0.00128567372652308,-0.00013484618560957
