"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-6.6816977005633,0.543384190424846,-12.2964521572466,8.10589348254786e-26,-7.746730713796,-5.61666468733061
"mean.beak.size.pc1",0.0525841261058822,0.0562035426008558,0.935601630653821,0.350691452607412,-0.0575748173917953,0.16274306960356
"mean.Tarsus.Length",-0.0607014482611976,0.0636435604775846,-0.953772036097458,0.341436909237632,-0.185442826797263,0.0640399302748683
"mean.Wing.Length",0.00772025176114797,0.0658583551709591,0.117225092262133,0.906808166899259,-0.121362124373932,0.136802627896228
"mean.Hand.Wing.Index",0.0167424161208367,0.0347923719513542,0.48120939107703,0.630933297738431,-0.0514506329038176,0.084935465145491
"mean.Tail.Length",0.0411264424301724,0.0505954979032658,0.812847864622315,0.417344492168457,-0.0580407334602286,0.140293618320573
"mean.Mass",-0.00931337210911448,0.0490556152191867,-0.189853334169822,0.849631092177545,-0.10546237793872,0.0868356337204914
"mean.Habitat.Density",-0.00866279593746076,0.067483269058531,-0.128369536009691,0.897995230548273,-0.140930003292181,0.12360441141726
"mean.Migration",-0.0775087662398248,0.0650829755696653,-1.19092228899182,0.235201675113095,-0.205071398356369,0.0500538658767191
"mean.Brain.Mass..g.",-0.0923872845454479,0.056762760723991,-1.62760379106085,0.105301690115596,-0.20364229556447,0.0188677264735745
"mean.clutch.size",0.21583609251336,0.0512810446664073,4.20888642026336,3.990145589268e-05,0.115325244967202,0.316346940059519
"mean.Maximum.longevity",-0.0379185041475436,0.112242470405998,-0.337826706864047,0.735874753924956,-0.2579137461433,0.182076737848213
"mean.GenLength",-0.0898596170681278,0.127098531829706,-0.707007514363161,0.480446620745346,-0.338972739454352,0.159253505318097
"mean.Range.Size",0.0055778884331289,0.0175103725889911,0.318547672517018,0.750426945866175,-0.0287424418412936,0.0398982187075514
"mean.Annualtemp",0.00388747556055757,0.0036455890281531,1.06635046642298,0.287647429645823,-0.00325787893462251,0.0110328300557376
"mean.AnnualPrecipitation",0.0050500841046167,0.0486255863255395,0.103856518475835,0.91739511156574,-0.0902560650934406,0.100356233302674
"mean.Abundance.estimate.1.1.matched",0.0120792960672861,0.0114703071423602,1.05309264323681,0.293664659567579,-0.0104025059317399,0.0345610980663122
"mode.HabitatForest",0.0151307220928431,0.147689449647008,0.10244958004114,0.918510197842413,-0.274340599215292,0.304602043400979
"mode.HabitatGrassland",0.0513791658557345,0.139071149017149,0.369445181253223,0.712216185045378,-0.221200286217877,0.323958617929346
"mode.HabitatHuman Modified",-0.431555825797355,0.297312595270336,-1.45152217787799,0.148319081365293,-1.01428851252721,0.151176860932504
"mode.HabitatMarine",0.045525239072455,0.141572635691746,0.321568068928092,0.748141016660602,-0.231957126883367,0.323007605028277
"mode.HabitatRiverine",0.140760805636171,0.191971519738384,0.73323796065165,0.464336429661101,-0.235503373051062,0.517024984323403
"mode.HabitatShrubland",0.0515675793293534,0.149648690083541,0.344590916903889,0.730791243875365,-0.241743853234387,0.344879011893094
"mode.HabitatWetland",-0.0403864110943302,0.139947002666797,-0.288583608971512,0.773221393409504,-0.314682536321253,0.233909714132593
"mode.HabitatWoodland",-0.0752656236700768,0.152772824756227,-0.492663690614969,0.622831301437349,-0.374700360192282,0.224169112852129
"mode.Primary.LifestyleAquatic",0.11026659226539,0.10491749768547,1.05098381774179,0.294629567181156,-0.0953717031981304,0.315904887728911
"mode.Primary.LifestyleGeneralist",0.0441173466880962,0.0946474939121857,0.466122713497607,0.641673075250736,-0.141391741379788,0.22962643475598
"mode.Primary.LifestyleInsessorial",0.0425776430909301,0.0807943145111641,0.526988109850809,0.59882979534033,-0.115779213350951,0.200934499532812
"mode.Primary.LifestyleTerrestrial",0.0796904336384281,0.0850331042313002,0.937169521903618,0.349886630687032,-0.0869744506549203,0.246355317931777
"mean.Latitude.span",-0.0939764326684678,0.0484971482610056,-1.93777234411183,0.0541652758277594,-0.189030843260039,0.00107797792310318
"mean.Centroid.Latitude",0.00923193725840296,0.0149106180495472,0.619151884095327,0.536573914943209,-0.0199928741187096,0.0384567486355155
"mean.Centroid.Longitude",-0.000173474651208468,0.000225965124013931,-0.767705423416459,0.443635700421057,-0.000616366294275773,0.000269416991858838
