"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-6.65525270562796,0.5317181414945,-12.5165048665108,1.8026635460636e-26,-7.69742026295718,-5.61308514829874
"mean.beak.size.pc1",-0.0056413606446976,0.0549968949110736,-0.10257598458639,0.918410007733355,-0.113435274670402,0.102152553381007
"mean.Tarsus.Length",-0.0779423662360985,0.0622771812127547,-1.25153972479627,0.21230934376352,-0.200005641413098,0.0441209089409008
"mean.Wing.Length",-0.0121887364124574,0.0644444259337176,-0.189135619347339,0.850192747294425,-0.138499811242544,0.114122338417629
"mean.Hand.Wing.Index",-0.00203429297176126,0.0340454059542943,-0.0597523488041906,0.952417028361883,-0.0687632886421781,0.0646947026986556
"mean.Tail.Length",0.0558143791107342,0.0495092507054348,1.12735253140495,0.261045671381246,-0.0412237522719179,0.152852510493386
"mean.Mass",0.0111919214981573,0.0480024281417198,0.233153236855328,0.815898798871147,-0.0828928376596136,0.105276680655928
"mean.Habitat.Density",-0.0328226739408741,0.0660344541450883,-0.497053763309035,0.619738151898551,-0.162250204065247,0.096604856183499
"mean.Migration",-0.0510156085774156,0.0636856931479324,-0.801052890464958,0.424123107497556,-0.175839567147363,0.0738083499925319
"mean.Brain.Mass..g.",-0.0586136119299206,0.0555441070426798,-1.05526247608738,0.292674070570979,-0.167480061733573,0.0502528378737317
"mean.clutch.size",0.189640154564027,0.050180079296381,3.77919200653205,0.000211755948015881,0.0912871991431208,0.287993109984934
"mean.Maximum.longevity",-0.0074410912425989,0.109832709182,-0.0677493189234592,0.946057961495053,-0.22271320123932,0.207831018754122
"mean.GenLength",-0.22760697367557,0.1243698221664,-1.83008200631697,0.068838298636968,-0.471371825121713,0.0161578777705735
"mean.Range.Size",0.00766914810183929,0.0171344380899545,0.447586787589814,0.654972272184057,-0.0259143505544716,0.0412526467581502
"mean.Annualtemp",0.00427510048860655,0.00356732097999897,1.198406454753,0.232283537462435,-0.00271684863219143,0.0112670496094045
"mean.AnnualPrecipitation",0.0306769889539253,0.0475816316442357,0.64472335003757,0.519900850152673,-0.0625830090687766,0.123936986976627
"mean.Abundance.estimate.1.1.matched",0.00773572444869351,0.0112240482950716,0.689209832791809,0.491550100074033,-0.0142634102096469,0.0297348591070339
"mode.HabitatForest",-0.080370549252091,0.144518668500927,-0.556125724695392,0.578793300815952,-0.363627139513907,0.202886041009725
"mode.HabitatGrassland",-0.0239417413615274,0.136085396288559,-0.175931745907259,0.860538958683019,-0.290669118087103,0.242785635364048
"mode.HabitatHuman Modified",-0.4943626847795,0.290929517983307,-1.69925241070886,0.0909434603629036,-1.06458454002678,0.0758591704677816
"mode.HabitatMarine",-0.0234619570794127,0.138533177930035,-0.169359841663793,0.865697656741917,-0.294986985822281,0.248063071663456
"mode.HabitatRiverine",0.126642494414678,0.187850035930123,0.674168060642727,0.501041469739248,-0.241543576008364,0.49482856483772
"mode.HabitatShrubland",-0.0579824128582516,0.146435845522289,-0.395957783775189,0.692589997852137,-0.344996670081938,0.229031844365435
"mode.HabitatWetland",-0.0971740340865561,0.136942446020625,-0.709597622288131,0.47884228695986,-0.365581228286981,0.171233160113869
"mode.HabitatWoodland",-0.126881428859836,0.149492907378727,-0.84874547618766,0.397113932333842,-0.419887527322141,0.16612466960247
"mode.Primary.LifestyleAquatic",0.137666120465982,0.102664998103745,1.34092556381162,0.181579875160775,-0.063557275817357,0.338889516749322
"mode.Primary.LifestyleGeneralist",0.033312368699471,0.092615483569281,0.359684659796131,0.719491009877536,-0.14821397909632,0.214838716495262
"mode.Primary.LifestyleInsessorial",0.00325818029294391,0.0790597214865786,0.0412116338342657,0.967171383024602,-0.15169887382075,0.158215234406638
"mode.Primary.LifestyleTerrestrial",0.0456643860166142,0.0832075075868967,0.548801272155942,0.583800009486451,-0.117422328853703,0.208751100886932
"mean.Latitude.span",-0.0638307374053009,0.0474559510481225,-1.34505232737984,0.180246026924832,-0.156844401459621,0.0291829266490191
"mean.Centroid.Latitude",0.00521834047560653,0.0145904983206098,0.357653341300577,0.721008267206419,-0.0233790362327886,0.0338157171840017
"mean.Centroid.Longitude",-0.00032870482830426,0.000221113823148448,-1.48658651740456,0.138817175653881,-0.000762087921675218,0.000104678265066698
