"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-10.289867541422,0.867940491559667,-11.9812519258029,-8.5779773274541
"mean_beak_size_pc1",0.44536897989323,2.05799873874433,-3.61482373601661,4.45360433789893
"mean_Tarsus_Length",-3.99792288632776,2.18729483982294,-8.35003308125412,0.317009171605396
"mean_Wing_Length",0.901717032793842,2.25884355012501,-3.53373108883379,5.30657576771375
"mean_Hand_Wing_Index",-0.685877543431231,1.30557625404583,-3.23888389930271,1.8782164962788
"mean_Tail_Length",-0.384654325383764,1.82151262887542,-3.93568597566942,3.21026217548464
"mean_Mass",0.838150691557323,1.80050664900282,-2.69245568501977,4.39579529160453
"mean_Habitat_Density",0.64567832100492,2.30087374020312,-3.87539398087954,5.19557583390859
"mean_Migration",-3.08699925485866,2.36262333645648,-7.78144115336164,1.54633833601253
"mean_Brain_Mass_g",-3.1016221965819,2.11269457486039,-7.23883062774753,1.02597151735803
"mean_clutch_size",5.08107661964003,1.86797853236076,1.44127077662768,8.70592215045498
"mean_Maximum_longevity",-2.87142311378043,3.33472932144177,-9.45286684393588,3.59775412495422
"mean_GenLength",-2.84691797636056,3.48048461269439,-9.66784011703443,4.03042903582881
"mean_Range_Size",0.112318073046145,0.72189098734551,-1.29503816621936,1.53874568303654
"mean_Annualtemp",0.289754673691401,0.149184378625772,0.00291014538162575,0.58217921013499
"mean_AnnualPrecipitation",-0.632289644432873,1.80256153239751,-4.17045243590782,2.86648605143839
"mean_Abundance_estimate_1_1_matched",-0.0229466261369939,0.485163552476298,-0.983729077463278,0.927288352019192
"mean_Latitude_span",-1.39321466468294,1.90996381411843,-5.15734224934437,2.27744581470681
"mean_Centroid_Latitude",0.377901455907844,0.637451176194459,-0.872183945077954,1.64185200316411
"mean_Centroid_Longitude",-0.0119773564907728,0.00990028164490176,-0.0315057352174834,0.00739498566845684
