"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-6.41418572344992,0.940789475290243,-8.27328314163809,-4.56304146942438
"mean_beak_size_pc1",0.516030184542113,2.37109089231324,-3.9913338422248,5.22723340034989
"mean_Tarsus_Length",-1.27273330523827,2.40723350696564,-6.09640807648452,3.42175620033597
"mean_Wing_Length",-0.327304902778879,2.52718364143959,-5.42360320489604,4.58332087743131
"mean_Hand_Wing_Index",-0.490878605294196,1.50778559839018,-3.50215453896745,2.55881264353824
"mean_Tail_Length",-1.66307164129572,2.0159485099565,-5.56546591854904,2.38083113750891
"mean_Mass",0.70955687618624,1.97528353610162,-3.18272837352173,4.44678969602276
"mean_Habitat_Density",4.60389381377227,2.80002899590292,-0.736082105473546,9.49493246051151
"mean_Migration",-1.14409239681331,2.55962993605707,-6.20732642592332,3.9655791878501
"mean_Brain_Mass_g",0.0452345735737349,2.56084459987714,-5.22242477425683,4.78954206273037
"mean_clutch_size",-1.30171014752488,2.1142094600655,-5.29841692059691,2.83398200611314
"mean_Maximum_longevity",-0.494764437696072,3.61771918275003,-6.96011768850336,6.57053474441533
"mean_GenLength",-1.21635058124454,3.87084797435,-8.61831908106748,5.94931537750841
"mean_Range_Size",-0.541602040064724,0.818564403659344,-2.10430599120475,1.10790689439424
"mean_Annualtemp",0.240709685971898,0.16231898450108,-0.0816983827125524,0.560278721480185
"mean_AnnualPrecipitation",-0.484546338542075,1.98301647408957,-4.47912067967806,3.41496833947452
"mean_Abundance_estimate_1_1_matched",0.113264030370441,0.543567862172608,-0.957200637733203,1.1867965225793
"mean_Latitude_span",2.5085722248526,2.1471976390754,-1.74922928886301,6.49268733143679
"mean_Centroid_Latitude",0.244995693257702,0.700932896814263,-1.14611688977734,1.61650870526721
"mean_Centroid_Longitude",-0.0234192306681514,0.0108298116858639,-0.0448147536340236,-0.00210153471108598
