"","Overall"
"mean.Beak.Length_Culmen",25.9122856820876
"mean.Beak.Length_Nares",14.2485922585207
"mean.Beak.Width",21.5064008117097
"mean.Beak.Depth",35.8630088283007
"mean.Tarsus.Length",34.5874882808316
"mean.Wing.Length",69.5047675745554
"mean.Kipps.Distance",41.5928438260039
"mean.Secondary1",26.7090379692265
"mean.Hand.Wing.Index",26.6881512335006
"mean.Tail.Length",15.2607440021431
"mean.Mass",53.9137010999429
"mean.Habitat.Density",16.0500253690399
"mean.Migration",14.7213966824252
"mean.Brain.Mass..g.",58.9236203931364
"mean.clutch.size",22.757748380296
"mean.Maximum.longevity",83.17121313382
"mean.GenLength",100
"mean.Range.Size",13.8495677405275
"mean.Annualtemp",9.79378709620074
"mean.AnnualPrecipitation",13.905139911528
"mean.Abundance.estimate.1.1.matched",15.4759538333488
"mode.HabitatForest",1.65025314814093
"mode.HabitatGrassland",0.572592993532254
"mode.HabitatHuman Modified",0.0550992354685138
"mode.HabitatMarine",3.11907335943368
"mode.HabitatRiverine",0
"mode.HabitatShrubland",0.342123895478089
"mode.HabitatWetland",0.518334432099172
"mode.HabitatWoodland",0.212137223399917
"mode.Trophic.LevelHerbivore",2.62185094019725
"mode.Trophic.LevelOmnivore",1.2489180079911
"mode.Trophic.LevelScavenger",0.123910515231174
"mode.Primary.LifestyleAquatic",1.1893623814059
"mode.Primary.LifestyleGeneralist",0.32303238897899
"mode.Primary.LifestyleInsessorial",3.23315449585061
"mode.Primary.LifestyleTerrestrial",1.50498460611579
"mean.Min.Latitude",16.7354366996972
"mean.Max.Latitude",21.0774240955522
"mean.Centroid.Latitude",14.583542723219
"mean.Centroid.Longitude",22.3763764667142
