"","Overall"
"mean.Beak.Length_Culmen",61.7609225450135
"mean.Beak.Length_Nares",42.4319046008657
"mean.Beak.Width",52.5958190850031
"mean.Beak.Depth",60.1664790351362
"mean.Tarsus.Length",60.3341386503311
"mean.Wing.Length",100
"mean.Kipps.Distance",58.3817021654132
"mean.Secondary1",61.0033737011703
"mean.Hand.Wing.Index",48.1331277800939
"mean.Tail.Length",53.1108142138466
"mean.Mass",99.1113879207407
"mean.Habitat.Density",23.8516783521105
"mean.Migration",22.0360139430454
"mean.Brain.Mass..g.",49.5788137078528
"mean.clutch.size",27.8636188706397
"mean.Maximum.longevity",72.4663444601377
"mean.GenLength",71.3798943163156
"mean.Range.Size",34.0925768919973
"mean.Annualtemp",28.2343196140192
"mean.AnnualPrecipitation",26.1595809333939
"mean.Abundance.estimate.1.1.matched",34.3159136206394
"mode.HabitatForest",4.77294571102559
"mode.HabitatGrassland",1.86013397448263
"mode.HabitatHuman Modified",0
"mode.HabitatMarine",2.45894925048262
"mode.HabitatRiverine",0.0916619799239911
"mode.HabitatShrubland",4.25319402550457
"mode.HabitatWetland",2.7259189791497
"mode.HabitatWoodland",3.86202172624506
"mode.Trophic.LevelHerbivore",5.76685906180717
"mode.Trophic.LevelOmnivore",7.0618068660749
"mode.Trophic.LevelScavenger",0.0135020405188153
"mode.Primary.LifestyleAquatic",1.27740682603136
"mode.Primary.LifestyleGeneralist",2.19924143206737
"mode.Primary.LifestyleInsessorial",8.15246700571901
"mode.Primary.LifestyleTerrestrial",7.41139577399556
"mean.Min.Latitude",39.3366293068727
"mean.Max.Latitude",34.9683308355691
"mean.Centroid.Latitude",42.7574115397127
"mean.Centroid.Longitude",44.1445365238063
