"","Overall"
"mean.Beak.Length_Culmen",38.6896897723552
"mean.Beak.Length_Nares",20.3900368151877
"mean.Beak.Width",28.9381522564709
"mean.Beak.Depth",38.3453088535053
"mean.Tarsus.Length",27.2075538794911
"mean.Wing.Length",77.6466760798252
"mean.Kipps.Distance",52.8042349166271
"mean.Secondary1",38.2340915660086
"mean.Hand.Wing.Index",28.3356138136812
"mean.Tail.Length",20.7811064470529
"mean.Mass",69.1218779712845
"mean.Habitat.Density",17.2340957718997
"mean.Migration",12.5605432383207
"mean.Brain.Mass..g.",67.6100464832475
"mean.clutch.size",29.4865954294166
"mean.Maximum.longevity",94.5985452251538
"mean.GenLength",100
"mean.Range.Size",15.0565190328491
"mean.Annualtemp",9.51754212894377
"mean.AnnualPrecipitation",11.0361708594066
"mean.Abundance.estimate.1.1.matched",16.1744780043893
"mode.HabitatForest",1.95428124855052
"mode.HabitatGrassland",0.659977768621059
"mode.HabitatHuman Modified",0.505927295206037
"mode.HabitatMarine",5.27304308580879
"mode.HabitatRiverine",0
"mode.HabitatShrubland",0.242897134672685
"mode.HabitatWetland",0.830573512499759
"mode.HabitatWoodland",0.392977174199695
"mode.Trophic.LevelHerbivore",2.13009504872394
"mode.Trophic.LevelOmnivore",0.737432961083901
"mode.Trophic.LevelScavenger",0.203255951254892
"mode.Primary.LifestyleAquatic",0.999090628377521
"mode.Primary.LifestyleGeneralist",0.35371352259665
"mode.Primary.LifestyleInsessorial",2.01361685225891
"mode.Primary.LifestyleTerrestrial",1.10190396204968
"mean.Min.Latitude",28.0701883491085
"mean.Max.Latitude",17.1986259194483
"mean.Centroid.Latitude",19.4561841386099
"mean.Centroid.Longitude",19.1513631869918
