"","Overall"
"mean.Beak.Length_Culmen",40.8005752783121
"mean.Beak.Length_Nares",18.5527676251841
"mean.Beak.Width",24.3365549896074
"mean.Beak.Depth",32.1348867015534
"mean.Tarsus.Length",32.5238166859136
"mean.Wing.Length",56.8649945124413
"mean.Kipps.Distance",57.166139222468
"mean.Secondary1",34.6815474951795
"mean.Hand.Wing.Index",26.1595453174004
"mean.Tail.Length",15.2691250613064
"mean.Mass",52.989954531624
"mean.Habitat.Density",15.740725652343
"mean.Migration",8.95027071341801
"mean.Brain.Mass..g.",63.9907901899961
"mean.clutch.size",23.7871589085813
"mean.Maximum.longevity",81.0931575286367
"mean.GenLength",100
"mean.Range.Size",13.3797188256475
"mean.Annualtemp",7.65092206951118
"mean.AnnualPrecipitation",8.98322313898084
"mean.Abundance.estimate.1.1.matched",14.0633540595917
"mode.HabitatForest",1.26174456873528
"mode.HabitatGrassland",0.566881114974963
"mode.HabitatHuman Modified",0.181616439539753
"mode.HabitatMarine",6.95917639499066
"mode.HabitatRiverine",0
"mode.HabitatShrubland",0.171257724067781
"mode.HabitatWetland",0.65537260439334
"mode.HabitatWoodland",0.079721709255166
"mode.Trophic.LevelHerbivore",1.9431332053554
"mode.Trophic.LevelOmnivore",0.51656045442621
"mode.Trophic.LevelScavenger",0.0359155100183421
"mode.Primary.LifestyleAquatic",0.79002864041619
"mode.Primary.LifestyleGeneralist",0.0821289408043568
"mode.Primary.LifestyleInsessorial",2.2256603672689
"mode.Primary.LifestyleTerrestrial",1.2541931414999
"mean.Min.Latitude",22.9100506373462
"mean.Max.Latitude",15.7663890680681
"mean.Centroid.Latitude",16.0603063584339
"mean.Centroid.Longitude",15.6669484087424
