"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-9.21242208794465,0.466675854814515,-19.7405158053575,2.61153922315456e-47,-10.1271067633811,-8.2977374125082
"mean.beak.size.pc1",0.0673684058218118,0.0496748083448814,1.35618854035807,0.176701071101742,-0.0299942185341558,0.164731030177779
"mean.Tarsus.Length",-0.181304924414302,0.0610677314084522,-2.96891533765423,0.00338651737909768,-0.300997677974869,-0.0616121708537361
"mean.Wing.Length",0.0774690101488633,0.0575696613036271,1.34565686847254,0.180069025637938,-0.0353675260062457,0.190305546303972
"mean.Hand.Wing.Index",-0.0354028962744331,0.0328205568722669,-1.07868054805457,0.282142186104546,-0.0997311877440763,0.02892539519521
"mean.Tail.Length",-0.0522737990170098,0.0418828320831774,-1.24809609133395,0.213581765703751,-0.134364149900038,0.0298165518660178
"mean.Mass",-0.0389959579176962,0.0406654540057912,-0.958945593282758,0.338844512217189,-0.118700247769047,0.0407083319336546
"mean.Habitat.Density",-0.00827164966901426,0.0588424990084585,-0.140572712043131,0.88836127598043,-0.123602947725593,0.107059648387564
"mean.Migration",-0.0357434205862093,0.0462030927963861,-0.773615323626236,0.440151084196145,-0.126301482467126,0.0548146412947076
"mean.Brain.Mass..g.",-0.0496847190764365,0.0531963985629265,-0.933986518235139,0.35153489496065,-0.153949660259772,0.0545802221068995
"mean.clutch.size",0.0872212777265913,0.0423319249658343,2.0604136900693,0.0407663085889368,0.00425070479355598,0.170191850659627
"mean.Maximum.longevity",0.233539750975779,0.0922885073726042,2.53053990821294,0.0122267509343379,0.0526542765254745,0.414425225426083
"mean.GenLength",-0.158230400055706,0.11150970477797,-1.41898322097403,0.157595628637551,-0.376789421420527,0.0603286213091145
"mean.Range.Size",-0.0200148777451614,0.0130456026905624,-1.53422407687157,0.126692195889255,-0.0455842590186638,0.00555450352834096
"mean.Annualtemp",0.00703431861522061,0.00307860613950987,2.28490371825885,0.0234595399546017,0.00100025058178127,0.0130683866486599
"mean.AnnualPrecipitation",-0.0308009030806186,0.0353680915715266,-0.870866979586061,0.384961575666342,-0.100122362560811,0.0385205563995735
"mean.Abundance.estimate.1.1.matched",0.00995991681763342,0.00770993732772353,1.2918285057674,0.198036795168731,-0.0051515603447047,0.0250713939799715
"mode.HabitatDesert",0.427896628380373,0.245540556151793,1.74267190351987,0.0830616239363695,-0.0533628616771423,0.909156118437888
"mode.HabitatForest",0.443847998382525,0.163695090048507,2.71143134623648,0.00733401730223414,0.123005621887452,0.764690374877598
"mode.HabitatGrassland",0.55967483815486,0.158453142009704,3.53211574763587,0.000521126905829734,0.24910667981584,0.87024299649388
"mode.HabitatHuman Modified",0.305117038868609,0.175699500821141,1.73658455170691,0.0841342019651743,-0.039253982740828,0.649488060478045
"mode.HabitatMarine",0.271150532413096,0.174457523032841,1.55424958293173,0.121843217809037,-0.0707862127312717,0.613087277557464
"mode.HabitatRiverine",0.564480007715055,0.194148749180262,2.90746147012748,0.00409194680732785,0.183948459321742,0.945011556108367
"mode.HabitatRock",0.454379154947806,0.197037367326788,2.30605575537463,0.022222216411634,0.0681859149873007,0.840572394908311
"mode.HabitatShrubland",0.445677255610157,0.15999142463374,2.78563214641299,0.00590185439705925,0.132094063328027,0.759260447892288
"mode.HabitatWetland",0.413613985711353,0.156414095024526,2.64435238810478,0.00889177713587343,0.107042359463282,0.720185611959424
"mode.HabitatWoodland",0.338853764043996,0.161206854791295,2.10198111291663,0.0369159266121664,0.0228883286530581,0.654819199434935
"mode.Primary.LifestyleAquatic",0.165944204877163,0.108232773195215,1.53321586408819,0.126940272861622,-0.0461920305854583,0.378080440339785
"mode.Primary.LifestyleGeneralist",0.254361078562321,0.116061054146165,2.19161440875753,0.0296630759150869,0.026881412435839,0.481840744688804
"mode.Primary.LifestyleInsessorial",0.112237883258789,0.0987426047198788,1.13667128365911,0.257153905287609,-0.0812976219921736,0.305773388509751
"mode.Primary.LifestyleTerrestrial",0.145156482377801,0.100885365164254,1.43882595995433,0.151898706923991,-0.0525788333441374,0.34289179809974
"mean.Latitude.span",0.0133658949987643,0.0291863764396329,0.45794979128051,0.647528858243862,-0.0438394028229162,0.0705711928204447
"mean.Centroid.Latitude",0.000589204180185638,0.0197553248720566,0.0298250817944813,0.976238880359525,-0.0381312325690453,0.0393096409294166
"mean.Centroid.Longitude",-0.00040241490364333,0.000200469731409378,-2.00735991819913,0.0461747342169436,-0.00079533557720571,-9.49423008094965e-06
