"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-6.96125128993665,0.545565768300826,-12.7596922211919,4.0307599946853e-27,-8.03056019580627,-5.89194238406703
"mean.beak.size.pc1",0.072559801292604,0.0586498820712039,1.23716875004988,0.217601019100737,-0.0423939675669557,0.187513570152164
"mean.Tarsus.Length",-0.091645874701974,0.0740847230172226,-1.23704147048871,0.217648155457609,-0.23685193181573,0.0535601824117823
"mean.Wing.Length",0.0122514854417039,0.0703607889719884,0.174123764396408,0.861959624919398,-0.125655660943393,0.150158631826801
"mean.Hand.Wing.Index",-0.0236811084926631,0.0405193864325587,-0.584438970517938,0.559640903264906,-0.103099105900478,0.055736888915152
"mean.Tail.Length",-0.038254208561659,0.048817639550258,-0.783614466288894,0.434273882749826,-0.133936782080165,0.0574283649568466
"mean.Mass",-0.0269896726128013,0.0478943406034967,-0.563525299079508,0.573763356457584,-0.120862580195655,0.0668832349700522
"mean.Habitat.Density",0.111568122163954,0.063939688748102,1.74489623500499,0.0826724986218098,-0.0137536677823255,0.236889912110234
"mean.Migration",0.00137602295084385,0.0512449784893966,0.0268518592729738,0.978606990578724,-0.0990641348883735,0.101816180790061
"mean.Brain.Mass..g.",0.0400135267087479,0.0605329456894873,0.661020643436107,0.50942588463181,-0.0786310468426473,0.158658100260143
"mean.clutch.size",0.00957703570244237,0.0485736009839892,0.197165446012519,0.843915695096621,-0.0856272222261765,0.104781293631061
"mean.Maximum.longevity",0.213195621324625,0.105139638649224,2.02773781671351,0.0440292912110549,0.00712192957214586,0.419269313077105
"mean.GenLength",-0.13263352708466,0.128406416513704,-1.03291977679717,0.30299716445799,-0.38431010345152,0.1190430492822
"mean.Range.Size",-0.0158016944754427,0.0149614257267341,-1.05616234468933,0.292278788703071,-0.0451260888998415,0.0135226999489561
"mean.Annualtemp",0.00220688656938239,0.0035119089786491,0.628400844896411,0.530520627294369,-0.00467645502876986,0.00909022816753463
"mean.AnnualPrecipitation",0.0108723920119219,0.0404825348757003,0.268569941217986,0.788561524290255,-0.0684733763444508,0.0902181603682946
"mean.Abundance.estimate.1.1.matched",0.0158657857024509,0.00868043781331484,1.82776330453224,0.0692047348714175,-0.00114787241164618,0.032879443816548
"mode.HabitatDesert",0.299014398040438,0.288934139963275,1.03488773627943,0.302079552906273,-0.267296516287582,0.865325312368457
"mode.HabitatForest",0.209269054318729,0.19811370099332,1.05630783368075,0.292212514818588,-0.179033799628179,0.597571908265637
"mode.HabitatGrassland",0.0897668541773244,0.193419082465458,0.464105470014084,0.643120798618066,-0.289334547454974,0.468868255809623
"mode.HabitatHuman Modified",-0.0223596485613753,0.210034259292247,-0.106457149594169,0.915335628571224,-0.43402679677418,0.389307499651429
"mode.HabitatMarine",0.111468152675308,0.213308318352649,0.522568240826993,0.601903365404726,-0.306616151295883,0.529552456646499
"mode.HabitatRiverine",0.168824658072898,0.229567866920774,0.73540195471329,0.463031075292127,-0.281128361091819,0.618777677237614
"mode.HabitatRock",0.0328992360016285,0.233590067975572,0.140841758756066,0.888149022240374,-0.424937297230492,0.490735769233749
"mode.HabitatShrubland",0.165812689225521,0.193982469219375,0.854781825866975,0.393783527313419,-0.214392950444453,0.546018328895496
"mode.HabitatWetland",0.208774719746408,0.190955586406153,1.09331559068586,0.27568455976691,-0.165498229609652,0.583047669102468
"mode.HabitatWoodland",0.191871002188536,0.19584135569848,0.979726684919105,0.328507457449751,-0.191978054980486,0.575720059357557
"mode.Primary.LifestyleAquatic",0.113455894589464,0.131388173207529,0.863516797742968,0.388977592282973,-0.144064924897293,0.37097671407622
"mode.Primary.LifestyleGeneralist",0.161153384714972,0.135625048995144,1.18822729214824,0.236275299208361,-0.10467171131551,0.426978480745453
"mode.Primary.LifestyleInsessorial",0.0603755536625701,0.11781001013928,0.512482373876307,0.608928088967728,-0.170532066210419,0.291283173535559
"mode.Primary.LifestyleTerrestrial",0.0893695935121136,0.120909995798989,0.739141482236831,0.460762958401265,-0.147613998253905,0.326353185278132
"mean.Latitude.span",-0.00516256252061753,0.0325502480464483,-0.158602862664846,0.874155712714497,-0.0689610486916562,0.0586359236504211
"mean.Centroid.Latitude",-0.038009306030111,0.0224627819034043,-1.69210145891817,0.0923193436514491,-0.0820363585607835,0.0060177465005614
"mean.Centroid.Longitude",-0.000612787063669444,0.000234188353498852,-2.61664192311104,0.00961799232761164,-0.00107179623652719,-0.000153777890811694
