"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-6.83903724978768,0.427699485443186,-15.9902863635691,1.19898642222256e-36,-7.67732824125633,-6.00074625831904
"mean.beak.size.pc1",0.0387709935134316,0.0459725358442092,0.843351205267813,0.400127063707134,-0.0513351767412185,0.128877163768082
"mean.Tarsus.Length",-0.116281203842179,0.0579063155631375,-2.00809191037881,0.0460961585161919,-0.229777582345928,-0.00278482533842929
"mean.Wing.Length",0.0667943846874196,0.0549314890094485,1.21595802138061,0.225558598775119,-0.0408713337710995,0.174460103145939
"mean.Hand.Wing.Index",-0.0129049291146475,0.0316254091785868,-0.408055720062756,0.683707198360675,-0.0748907311046778,0.0490808728753827
"mean.Tail.Length",-0.0262578904476235,0.0382964452353175,-0.685648244537541,0.493797906661984,-0.101318923108846,0.0488031422135987
"mean.Mass",-0.0414065329316827,0.0375349882690942,-1.10314495464426,0.271404909385209,-0.114975109939107,0.0321620440757419
"mean.Habitat.Density",-0.0453937421646293,0.0505117207096668,-0.898677406488391,0.369999018321691,-0.144396714755576,0.0536092304263176
"mean.Migration",-0.0365400218082957,0.0403871667181079,-0.904743382058359,0.366784443001618,-0.115698868575787,0.0426188249591957
"mean.Brain.Mass..g.",-0.0888100484045794,0.0475976561489477,-1.8658491948987,0.0636540571183846,-0.182101454456517,0.00448135764735812
"mean.clutch.size",0.13706378105014,0.0381655046274404,3.59130011218541,0.000422073564705492,0.0622593919803565,0.211868170119923
"mean.Maximum.longevity",0.130963275778949,0.0826745506599931,1.58408209943042,0.114892253317657,-0.0310788435146377,0.293005395072535
"mean.GenLength",-0.048999591712944,0.100855539181677,-0.485839370950944,0.627659113343847,-0.24667644850903,0.148677265083142
"mean.Range.Size",-0.0112437857468068,0.0117552883339926,-0.956487448656903,0.340081030189791,-0.0342841508814322,0.0117965793878186
"mean.Annualtemp",0.00259500848064614,0.00276000451062947,0.940218927415557,0.348337949490398,-0.00281460036018762,0.0080046173214799
"mean.AnnualPrecipitation",0.000141315976866379,0.0318005743678983,0.00444381837986653,0.996459171810638,-0.0621878097842143,0.0624704417379471
"mean.Abundance.estimate.1.1.matched",0.00565711317415033,0.00683293175220563,0.82791887571894,0.408788976926621,-0.00773543306017271,0.0190496594084734
"mode.HabitatDesert",0.366945409722845,0.226159898911112,1.62250430553591,0.106407545859793,-0.0763279921429342,0.810218811588625
"mode.HabitatForest",0.275048424179652,0.154723115499236,1.77768152672062,0.0771079036342481,-0.0282088821988503,0.578305730558154
"mode.HabitatGrassland",0.455105428107354,0.150936959107444,3.01520204725597,0.00293090561245279,0.159268988256764,0.750941867957943
"mode.HabitatHuman Modified",0.275526466064554,0.164240460818635,1.67757971873208,0.0951270032271396,-0.0463848371399715,0.597437769269079
"mode.HabitatMarine",0.190839631545099,0.166434847266104,1.14663265944526,0.253022366881454,-0.135372669096465,0.517051932186663
"mode.HabitatRiverine",0.382890375701266,0.179682496975579,2.13092750905673,0.034422830607736,0.03071268162913,0.735068069773401
"mode.HabitatRock",0.346483057757806,0.182745542919764,1.89598636564248,0.0595291380792582,-0.0116982063649315,0.704664321880543
"mode.HabitatShrubland",0.340168202411231,0.151459310010455,2.24593788515047,0.0258973522295357,0.0433079547907388,0.637028450031723
"mode.HabitatWetland",0.297574841185544,0.149017219461043,1.99691580786298,0.0473082996321784,0.00550109104189955,0.589648591329189
"mode.HabitatWoodland",0.222745647914329,0.152888554716533,1.45691512570916,0.146844225839324,-0.0769159193300753,0.522407215158734
"mode.Primary.LifestyleAquatic",0.108075550197517,0.102610886918499,1.05325617430204,0.293604754656906,-0.093041788162741,0.309192888557776
"mode.Primary.LifestyleGeneralist",0.176722880910723,0.106358777816325,1.66157306937009,0.098301230739224,-0.031740323609274,0.38518608543072
"mode.Primary.LifestyleInsessorial",0.0981522524623971,0.0922045453566662,1.06450557380576,0.288494676675695,-0.0825686564366687,0.278873161361463
"mode.Primary.LifestyleTerrestrial",0.120969478322456,0.0945962461309249,1.27879787275099,0.202578759290061,-0.0644391640941568,0.306378120739069
"mean.Latitude.span",0.0025168580615224,0.0256726009221998,0.0980367384336971,0.922009834264566,-0.0478014397459893,0.0528351558690341
"mean.Centroid.Latitude",0.0146452609676808,0.0176661670954456,0.829000478063879,0.408178248154125,-0.0199804265393926,0.0492709484747542
"mean.Centroid.Longitude",-0.000321473769931982,0.000183686181009895,-1.75012495858175,0.0817636485813917,-0.000681498684711376,3.85511448474119e-05
