"","Estimate","StdErr","t.value","p.value","Q2.5","Q97.5"
"(Intercept)",-6.86340715450816,0.415504017076818,-16.5182690718469,3.49211859620201e-38,-7.67779502797873,-6.0490192810376
"mean.beak.size.pc1",0.0210206324398561,0.0446666068726109,0.470611804021893,0.638475367058702,-0.0665259170304613,0.108567181910173
"mean.Tarsus.Length",-0.118831964182637,0.0563707476288232,-2.10804307519733,0.0363813558074527,-0.229318629535131,-0.00834529883014354
"mean.Wing.Length",0.0656967293083524,0.0535169644181938,1.22758699082749,0.22117022211142,-0.0391965209513075,0.170589979568012
"mean.Hand.Wing.Index",-0.0284865893421351,0.030817221124344,-0.924372422393145,0.356503114633536,-0.0888883427458493,0.0319151640615792
"mean.Tail.Length",-0.0312252232850874,0.0371876953836359,-0.839665458237236,0.402185638475224,-0.104113106237014,0.041662659666839
"mean.Mass",-0.0289927569392399,0.0364730827798212,-0.794908319493088,0.427690978733395,-0.100479999187689,0.0424944853092095
"mean.Habitat.Density",-0.070289471586813,0.0488154918285402,-1.43990091984934,0.151594656014296,-0.165967835570752,0.0253888923971257
"mean.Migration",-0.0128539021824267,0.0390937725004587,-0.328796669144067,0.742683296106203,-0.0894776962833257,0.0637698919184723
"mean.Brain.Mass..g.",-0.0662126154279808,0.0461462686845094,-1.43484223785589,0.153029580397676,-0.156659302049619,0.0242340711936577
"mean.clutch.size",0.120855621479928,0.0370203434181514,3.26457321356644,0.00130726807078021,0.0482957483803508,0.193415494579504
"mean.Maximum.longevity",0.224802469280599,0.0801521715579094,2.80469592914498,0.00557748243109717,0.0677042130270963,0.381900725534101
"mean.GenLength",-0.223285325558992,0.0978539645852343,-2.28182196301819,0.0236447541349859,-0.415079096146051,-0.0314915549719326
"mean.Range.Size",-0.0123141750369756,0.0114027775707219,-1.0799276720607,0.28158790212428,-0.0346636190755905,0.0100352690016393
"mean.Annualtemp",0.0031310985599055,0.0026767718799857,1.16972932333787,0.243622876846792,-0.00211537432486647,0.00837757144467747
"mean.AnnualPrecipitation",-0.00713966455323169,0.0308511560339142,-0.231422918006157,0.817243413180849,-0.0676079303797036,0.0533286012732402
"mean.Abundance.estimate.1.1.matched",0.00873111271327435,0.00661965437920876,1.31896806284892,0.188818927125167,-0.00424340986997481,0.0217056352965235
"mode.HabitatDesert",0.5263731785807,0.219939789710228,2.39326035218184,0.0177051776468186,0.0952911907486523,0.957455166412747
"mode.HabitatForest",0.268699362033465,0.150701157373634,1.78299468110439,0.0762357661359303,-0.026674906418858,0.564073630485788
"mode.HabitatGrassland",0.426110461930721,0.147093244226338,2.89687309687078,0.0042262727340533,0.137807703247099,0.714413220614343
"mode.HabitatHuman Modified",0.30276259120035,0.159832685498231,1.89424703874917,0.0597609682913444,-0.0105094723761815,0.616034654776882
"mode.HabitatMarine",0.201974205969951,0.162211753294571,1.24512682877654,0.2146685264384,-0.115960830487408,0.51990924242731
"mode.HabitatRiverine",0.513941928803841,0.174748364792056,2.94103998864545,0.00369138617554268,0.17143513381141,0.856448723796271
"mode.HabitatRock",0.411090523716295,0.177783189763475,2.31231380347723,0.0218672825438557,0.0626354717798837,0.759545575652707
"mode.HabitatShrubland",0.344949709760239,0.147546759405598,2.33790095526253,0.0204672951300844,0.0557580613252663,0.634141358195212
"mode.HabitatWetland",0.314174168917229,0.145220694947427,2.16342559874794,0.0317979531006346,0.0295416068202726,0.598806731014186
"mode.HabitatWoodland",0.20154906672105,0.148953964301163,1.3530963587753,0.177684984222646,-0.0904007033092294,0.49349883675133
"mode.Primary.LifestyleAquatic",0.129310795085878,0.0999445903805604,1.29382485428675,0.197347633311327,-0.0665806020600205,0.325202192231776
"mode.Primary.LifestyleGeneralist",0.0952600276287594,0.103303610529112,0.922136478491366,0.357664934029674,-0.107215049008301,0.29773510426582
"mode.Primary.LifestyleInsessorial",0.059570916744092,0.0896777548290229,0.664277521863346,0.507344284754796,-0.116197482720793,0.235339316208977
"mode.Primary.LifestyleTerrestrial",0.0710198546247568,0.0920270882357242,0.77172771611378,0.441265703536987,-0.109353238317263,0.251392947566776
"mean.Latitude.span",-0.00282137622969641,0.0248386772888039,-0.113588022296507,0.909688222701637,-0.0515051837157521,0.0458624312563592
"mean.Centroid.Latitude",-0.0026687443522371,0.0171251672068509,-0.155837564679045,0.876331896125772,-0.0362340720776649,0.0308965833731907
"mean.Centroid.Longitude",-0.000414807006289962,0.000178388095751921,-2.32530654325063,0.0211462272948929,-0.000764447673963728,-6.51663386161964e-05
