"","Overall"
"mean.beak.size.pc1",52.0188800578858
"mean.Tarsus.Length",67.700825720589
"mean.Wing.Length",87.9884075841992
"mean.Hand.Wing.Index",42.72363482129
"mean.Tail.Length",43.8847547312752
"mean.Mass",76.6284276764447
"mean.Habitat.Density",12.8258427760174
"mean.Migration",7.19303894174249
"mean.Brain.Mass..g.",88.106361886522
"mean.clutch.size",26.5638089326247
"mean.Maximum.longevity",65.8759343242654
"mean.GenLength",100
"mean.Range.Size",22.6631721228784
"mean.Annualtemp",20.8488850354661
"mean.AnnualPrecipitation",27.7842060046006
"mean.Abundance.estimate.1.1.matched",26.0518350213957
"mode.HabitatDesert",0
"mode.HabitatForest",4.44397915005574
"mode.HabitatGrassland",3.88294337197915
"mode.HabitatHuman Modified",0.826816437568072
"mode.HabitatMarine",15.7135256837618
"mode.HabitatRiverine",0.156838326342651
"mode.HabitatRock",0.12939426950003
"mode.HabitatShrubland",3.99662343580486
"mode.HabitatWetland",4.30049632165388
"mode.HabitatWoodland",1.73587319755658
"mode.Trophic.LevelHerbivore",3.8959258462304
"mode.Trophic.LevelOmnivore",3.540747629898
"mode.Trophic.LevelScavenger",1.08828167371911
"mode.Primary.LifestyleAquatic",4.91582249855867
"mode.Primary.LifestyleGeneralist",4.48966967301573
"mode.Primary.LifestyleInsessorial",8.62918419729589
"mode.Primary.LifestyleTerrestrial",4.06130586650238
"mean.Latitude.span",30.9117293279248
"mean.Centroid.Latitude",25.4763251023752
"mean.Centroid.Longitude",27.2892317623487
