"","Overall"
"mean.beak.size.pc1",40.5073480915756
"mean.Tarsus.Length",45.1429365237097
"mean.Wing.Length",99.5730580924221
"mean.Hand.Wing.Index",44.925836095225
"mean.Tail.Length",49.1517536680718
"mean.Mass",100
"mean.Habitat.Density",5.26450673953523
"mean.Migration",3.4342426267134
"mean.Brain.Mass..g.",62.171682179062
"mean.clutch.size",20.2746605205643
"mean.Maximum.longevity",33.7240726832188
"mean.GenLength",56.8200395643319
"mean.Range.Size",24.0216799022649
"mean.Annualtemp",26.0441074299965
"mean.AnnualPrecipitation",23.4203425688866
"mean.Abundance.estimate.1.1.matched",39.598651241362
"mode.HabitatDesert",0.11709494339155
"mode.HabitatForest",2.39495869185326
"mode.HabitatGrassland",1.56066267564194
"mode.HabitatHuman Modified",1.18730091125602
"mode.HabitatMarine",1.1720589774339
"mode.HabitatRiverine",0.43673986596113
"mode.HabitatRock",0.0323720891535774
"mode.HabitatShrubland",5.18875647735631
"mode.HabitatWetland",1.7748397599048
"mode.HabitatWoodland",2.50059171833981
"mode.Trophic.LevelHerbivore",4.51338418884845
"mode.Trophic.LevelOmnivore",4.95855636073313
"mode.Trophic.LevelScavenger",0
"mode.Primary.LifestyleAquatic",0.802819699071164
"mode.Primary.LifestyleGeneralist",5.9900256959691
"mode.Primary.LifestyleInsessorial",4.12773558834483
"mode.Primary.LifestyleTerrestrial",3.27030571003927
"mean.Latitude.span",29.132254619454
"mean.Centroid.Latitude",26.2304752212992
"mean.Centroid.Longitude",35.6060396762723
