"","dn","ds","dnds","ran","PC1.dn","PC2.dn","PC3.dn","PC4.dn","PC5.dn","PC6.dn","PC7.dn","PC8.dn","PC1.ds","PC2.ds","PC3.ds","PC4.ds","PC5.ds","PC6.ds","PC7.ds","PC8.ds","PC9.ds","PC10.ds","PC1.dnds","PC2.dnds","PC3.dnds","PC4.dnds","PC5.dnds","PC6.dnds","PC7.dnds","PC1.ran","PC2.ran","PC3.ran","PC4.ran","PC5.ran","PC6.ran","PC7.ran","PC8.ran","PC9.ran","PC10.ran","PC11.ran","PC12.ran","PC13.ran","PC14.ran","PC15.ran","PC16.ran","mean.Beak.Length_Culmen","var.Beak.Length_Culmen","mean.Beak.Length_Nares","var.Beak.Length_Nares","mean.Beak.Width","var.Beak.Width","mean.Beak.Depth","var.Beak.Depth","mean.Tarsus.Length","var.Tarsus.Length","mean.Wing.Length","var.Wing.Length","mean.Kipps.Distance","var.Kipps.Distance","mean.Secondary1","var.Secondary1","mean.Hand.Wing.Index","var.Hand.Wing.Index","mean.Tail.Length","var.Tail.Length","mean.Mass","var.Mass","mean.Habitat.Density","var.Habitat.Density","mean.Migration","var.Migration","mode.Habitat","mode.Trophic.Level","mode.Trophic.Niche","mode.Primary.Lifestyle","mean.Brain.Mass..g.","var.Brain.Mass..g.","mean.clutch.size","var.clutch.size","mean.Maximum.longevity","var.Maximum.longevity","mean.GenLength","var.GenLength","mean.Min.Latitude","var.Min.Latitude","mean.Max.Latitude","var.Max.Latitude","mean.Centroid.Latitude","var.Centroid.Latitude","mean.Centroid.Longitude","var.Centroid.Longitude","mean.Range.Size","var.Range.Size","mean.Annualtemp","var.Annualtemp","mean.AnnualPrecipitation","var.AnnualPrecipitation","mean.Abundance.estimate.1.1.matched","var.Abundance.estimate.1.1.matched"
"Struthionidae",8.63686716817469e-05,0.00108150253129436,0.00110585461718659,0.000949526030655713,-0.0488942615708379,0.075387919689363,-0.00543894319507564,0.0437493609028821,-0.0438673240461641,0.0665086473766217,-0.0818956964636565,0.00255257224434667,0.039341685204774,-0.0438313093999057,0.0250541701243903,0.00551795979099819,-0.0337889455377671,0.0178471992380404,-0.0379741441666461,0.00928274053985299,-0.00733909076827968,0.0194613393276511,-0.0494065580952271,-0.0753881062690376,0.00385559652575178,-0.0103758067224475,0.0947265076131577,-0.00166530084241598,0.0010838443460248,-0.0582758880318146,-0.0165260342863024,0.0384396776160204,-0.0620027561056672,-0.0012468223219692,0.0185011445480989,-0.0221645462749026,0.0280263016307817,-0.0800171010616823,0.0146351979344862,-0.000831350859672193,0.0239101507016865,-0.0156166129336434,0.00514334135888923,-0.0392761487491737,0.00352125020580004,89.85,0.845,51.6,0.32,47,0.18,23.5,0.02,473.95,105.125,544.75,2346.125,0.3,0,544.45,2346.125,0.1,0,300.45,153.125,111000,0,3,0,1,0,"Shrubland","Herbivore","Omnivore","Terrestrial",41.91909091,0,9.2,2.88,50,0,14.52863666,0.006225671,-17.26,372.645,17.045,58.86125,4.04,4.4402,31.26,286.5618,4837167.88,2.82e+13,24.91945337,0.874247941,375.7528805,1727.001744,937151,5.75e+11
"Casuariidae",7.14088065542692e-05,0.000759607300337604,0.00127352417804119,0.000669216178214904,-0.0516497869145741,0.0676295170385992,0.0308758607005101,0.0217297069079407,0.00616480668733035,0.0658538117132755,-0.0170664928081773,0.0239480557498868,0.0319969670633826,-0.0428652702968926,0.0296903053109968,-0.030296981368825,-0.00525283950973529,0.0177481711284938,-0.0139492813002414,-0.0014262761243237,-0.00646702696039114,0.00701651213706583,-0.0545119562418973,-0.0657414326289647,0.0116170783458774,0.0356262105428127,0.0520085843586619,-0.013515814117133,0.0224039848507781,-0.052241221551871,-0.0118004835506292,0.0665939528204346,0.0270898336446612,0.0450398415085303,0.0120150224635096,0.0187987664679294,0.0127179883410182,-0.107896906067557,0.0276149804192323,0.00118330544097393,0.0240310944024397,-0.0496623462858797,0.0177731148124784,-0.0407125525909474,0.000961106608790624,87.05,174.1766667,24.35,11.39,17.9,93.60666667,19.4,9.886666667,308.35,2784.116667,226.65,5820.83,0.175,0.0025,226.475,5814.0225,0.1,0,356.2,5276.06,39791.8,37535992.38,1.5,1,1,0,"Forest","Herbivore","Frugivore","Terrestrial",30.69276,43.735428,5.6,8.17,30.64751425,1.606527972,11.01294999,5.309915603,-18.5925,217.6684917,-3.135,28.37343333,-10.815,134.7816333,139.525,5.4281,1298205.188,3.83e+12,23.67518898,7.172687717,2369.795179,1629637.975,543600,1.12e+12
"Apterygidae",6.63390036856441e-05,0.000640663186484174,0.00139896300747719,0.000512982952052359,-0.0513761653308553,0.0666495804090059,0.0347158762933541,0.0257463794735004,0.00249540054820685,0.0638128658321982,-0.0124758973658726,0.0390116482056906,0.0380837530972424,-0.0323092388354751,0.0329905919444552,-0.0228430413994003,-0.0100446011419434,0.0146415108011319,-0.0285166199396025,-0.0052249116849221,-0.00949301539847952,0.0194561701693071,-0.0512874260172612,-0.0665055073693577,0.00632342170567599,0.0395577931352405,0.0379251913412669,-0.0129605325199335,0.0330456342398658,-0.0223716315955315,-0.00375394006561447,0.0233488406057084,0.00153500858521777,0.00700513171275138,0.00862398526096333,-0.00101633490366454,0.005171465012133,-0.0385193889009999,0.0119635407469915,-0.000912524244985841,0.0156798131610907,-0.0188609678615048,0.000923697048386333,-0.0158017642598291,0.00124244354720822,129.68,733.677,3.4,3.535,4.38,0.412,4.96,0.823,69.9,93.28,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,1965.2,196465.87,1.2,0.2,1,0,"Forest","Carnivore","Invertivore","Terrestrial",10.05426667,4.655554613,1.531,0.21308,26.75133887,23.1986383,9.249305917,0.373195952,-43.128,6.45822,-39.638,17.21167,-41.538,9.18367,172.034,11.21248,11507.518,238253581.4,10.76309572,7.079768501,2537.752937,1286922.084,589.4,574136.8
"Rheidae",0.000112958176376052,0.00151828263936633,0.0010018445135016,0.00111047430870603,-0.0479277635105236,0.0542506850430893,-0.0221445890114771,0.0763723206025967,-0.0147799446074008,0.063495579916966,-0.0246639256862927,0.0433324206310881,0.0617916963359441,-0.0247597526620145,0.0483357396609772,0.0448741889437082,-0.0172658977368746,0.0395599416374609,-0.0352561828958525,0.0111154542110662,0.00352230361821581,0.020736295904612,-0.0513130699407372,-0.0576173888326622,-0.02854960076622,0.0468164322104481,0.0441990386565464,0.01050925375498,0.0397890358096792,-0.0435908265566918,-0.0122988450645858,0.0340392142524552,-0.0282570139887572,0.00689744248397951,0.0165378969953584,-0.00282312546738797,0.0263957905325286,-0.0652480964806366,0.0107822847306355,0.003231770881643,0.0246184095507029,-0.0114037815558298,-0.00792530996711864,-0.0263665554073579,0.00329659943409736,78.15,139.445,34.55,2.205,26,2.88,16.6,0.72,300.6,109.52,614.75,210.125,0.35,0.005,616.65,310.005,0.1,0,60.2,6.48,23450,405000,3,0,1,0,"Grassland","Omnivore","Omnivore","Terrestrial",19.37984,0.064684851,19.95,14.045,39.75399184,209.9613664,10.30614799,2.208877905,-47.355,76.50845,-10.43,66.8168,-29.42,129.605,-61.045,115.36805,3811435.23,1.49e+13,15.44591792,79.6420678,710.3695534,413257.6977,1066382.5,49016744305
"Tinamidae",0.00019052524677914,0.00279832946249363,0.000889943514290883,0.00219136216751842,-0.0433376653943137,0.0505059808995034,-0.021643077010379,0.0780071103039301,-0.0232707133818639,0.0672231283276274,-0.026138758500243,0.036324871023249,0.0331926740578474,-0.0379382490667534,0.0399742971500632,-0.028803578638658,-0.000743997365763693,0.0412178657029857,-0.0111417082694654,-0.0132196278484901,0.0112803470927317,-0.000783845057647031,-0.05105858166332,-0.0494947822320444,-0.0160928445771962,0.0505309174645923,0.0618581128233224,0.0335005831709515,0.0566831101104111,-0.0192500024944257,-0.00792468991055328,0.0275770374513212,0.0146342823493196,0.0148339029036837,0.0130711045441141,0.015153766030363,0.00888065151366224,-0.0268438319237017,0.0151560684365739,0.00755396923750401,0.00568510182195515,-0.015092877369875,0.00415057878169392,-0.0123970504725427,-0.000768533380138503,30.27021277,51.67431082,12.62765957,21.53682701,5.772340426,1.773783534,5.755319149,1.854699352,46.63829787,163.0185014,170.6659574,1824.679685,39.86595745,186.9883811,130.5808511,1279.030712,23.56595745,32.74055504,58.40851064,467.5729695,532.5638298,103377.7532,1.553191489,0.426456984,1,0,"Forest","Herbivore","Omnivore","Terrestrial",2.452826667,0.73600719,4.846875,4.996118952,14.71942773,10.79802964,4.894812974,1.30970653,-20.56808511,238.2152941,-1.617446809,177.355602,-11.47489362,184.405956,-64.87148936,117.0183564,1911452.057,7.02e+12,20.80115528,31.42925511,1650.184399,1009004.656,571478.2667,5.63e+11
"Anhimidae",0.000103979902234577,0.0013363188037755,0.00145133212083671,0.00108172356090284,-0.0555606584640253,0.0854674766660628,0.00881946795723284,-0.00493518916181371,-0.0202188723439939,0.0290191664709358,0.0336914010047655,0.0837367855078407,0.0395600747426656,-0.0437446054602239,0.0251367953100091,-0.00632540937470409,-0.0180298981668201,0.0154881982593863,-0.0232726838729215,-0.00402107539572948,-0.00516926848634675,0.00882859317393084,-0.0648974235448994,-0.0927050974629732,0.0282919252182162,0.0157125287163894,-0.0635528260826105,-0.0511444099280382,0.0771092496887055,-0.0700016786556447,-0.0228844783336122,0.0570231158881977,-0.069452017874056,0.0138379867560061,0.0134697167702184,-0.0254095526892992,0.0385989083611636,-0.0881385014730861,0.0166705097996289,-0.00129664116560749,-0.0240369312393434,-0.0197523863688439,-0.00207055740314026,-0.038411732789718,0.0292438864674697,46.56666667,1.843333333,21.76666667,0.103333333,12.83333333,1.163333333,15.03333333,1.053333333,119.7333333,101.8433333,520.9666667,920.8233333,178.9666667,40.62333333,343.1,633.63,34.33333333,1.603333333,217.7666667,972.1033333,3369.2,884645.92,3,0,1,0,"Wetland","Herbivore","Herbivore aquatic","Terrestrial",8.77212,0.063967883,3.966666667,0.003333333,24.25352611,4.653732644,7.562174155,0.567766224,-19.98666667,476.6210333,4.023333333,156.6937333,-7.636666667,290.6884333,-63.79666667,90.47053333,4966689.663,3.06e+13,24.60861967,11.27556041,1608.651824,129472.8711,1417474.333,1.18e+12
"Anseranatidae",9.62349557428957e-05,0.0013192026152414,0.00147466043061048,0.000939619457894152,-0.0600354443029231,0.0776100910308643,0.000314715499524424,0.0220832271179655,-0.000354106685092573,0.0801078222979946,-0.0151214245719067,0.0409368884176757,0.0464903485736937,-0.0386598426654141,0.0310889856031251,0.00381803944133274,-0.0166918681092268,0.0213247691357458,-0.015531340708967,0.0171221611319129,0.00270202044100246,0.0115992628654042,-0.0573521188192313,-0.0687110258773326,0.0131780941435492,0.0424401714516641,0.0313573085453835,-0.0375629403026114,0.0404247096940288,-0.0674600693878474,-0.0228631797429228,0.0617645728559666,-0.045207284717222,0.0153333610767992,0.0154225454313544,-0.00645459057841546,0.0541101084023846,-0.0919265538864098,0.020295321066255,0.000989514799689742,-0.0156421262635955,-0.0137123042911115,0.00780593357952841,-0.0367154034729582,0.0140698572439931,85.6,NA,42.4,NA,22.8,NA,20.4,NA,87,NA,405.6,NA,144,NA,269,NA,34.9,NA,148.1,NA,2393.4,NA,3,NA,2,NA,"Wetland","Herbivore","Omnivore","Terrestrial",9.1168,NA,8.4,NA,24.8,NA,8.144257987,NA,-38.9,NA,-10.62,NA,-20.53,NA,137.43,NA,223353.42,NA,24.76873692,NA,1067.300913,NA,14328914,NA
"Anatidae",0.000156962043350817,0.00234572446424667,0.0013431780956828,0.00197440532568104,-0.0585286958785514,0.0794069413053229,0.00257393341515809,0.0418979595658674,-0.0133616627449468,0.0814465853860016,-0.0133810785864885,0.0464174551587539,0.0402592250706969,-0.0522282123183521,0.0418536849202274,-0.0328436058251005,-0.0153132017257839,0.0129268698817157,-0.0314581160531413,-0.00846589745889503,-0.000253514690994938,0.00341629069405233,-0.0625246767834362,-0.0721316672203573,0.0223518728561913,0.053597870236884,0.0538346138760554,-0.0126418203996425,0.0617374605968069,-0.0282248957441556,-0.0100243360525057,0.0338964816920078,-0.00922393596295873,0.00877187257266523,0.00770517037394182,0.0114449358940258,0.0176592066458606,-0.0348324854983092,0.0101808381240084,0.00441086461865678,-0.00794844048266538,-0.0133165689849772,0.00428050179223734,-0.0166767857076101,0.00156389816974244,48.93806452,206.3661391,30.45677419,67.26805446,18.03612903,22.49401089,14.60516129,12.09854462,46.03806452,346.0265287,263.9025806,9526.891292,119.6690323,2061.507996,143.7367742,3326.879483,45.5316129,39.57529284,91.64967742,928.0401785,1462.914839,2725081.905,3,0,2.103225806,0.547716799,"Wetland","Herbivore","Herbivore aquatic","Aquatic",6.344224862,12.94966685,7.680536913,5.203334845,19.85986113,35.84103295,5.247827368,5.216975688,-2.627189542,1677.660935,29.21666667,1641.361668,14.52444444,1695.077189,12.17607843,7748.709795,6347033.8,5.62e+13,11.10719062,107.8722606,867.0336418,280762.7111,15180460.18,5.37e+14
"Megapodiidae",0.000132059166146468,0.00179984923223423,0.0010423406822466,0.0012925058031423,-0.0483118381394408,0.0585172076903567,-0.0225881696351636,0.0360927921829539,-0.0204928225296179,0.033163797122879,-0.028224680663613,0.0430776017153461,0.0282845207242341,-0.0351178478494413,0.0282083027007268,0.011926435182932,-0.0147517752704143,0.0111392788743346,-0.00841042637684203,-0.00440549920064903,-0.00167163323382469,0.00315891840507532,-0.0607684938895228,-0.0671103273862656,-0.00145455328952859,0.0149215636808765,0.0405639872618804,0.00652160304596355,0.0162082635152541,-0.0724554266501106,-0.0269038150034099,0.0821744035341453,-0.00761345971194218,-0.00998106630034656,0.0227563284800738,0.0553584939976619,0.0292099190784303,-0.0496679153745158,0.0240160470337668,0.0172302044310857,-0.0185752416878662,-0.0358046598077091,0.0130180614833371,-0.0541345171507906,-0.0039409304358001,29.21818182,37.01965368,15.84545455,24.47974026,8.227272727,7.525887446,11.28181818,24.73489177,69.64090909,155.8511039,236.9136364,1680.916472,56.25454545,196.6102165,181.0409091,1184.348247,23.85,23.07119048,100.7409091,2346.583485,984.6545455,315705.3159,1.409090909,0.253246753,1,0,"Forest","Herbivore","Omnivore","Terrestrial",4.34084,0.969400947,8.88,61.547,14.18166329,44.66105005,5.744166496,3.276742521,-9.9445,135.3675945,-1.3985,109.5043924,-5.642,103.5806905,119.677,5041.152959,193750.396,61382458226,24.57891602,6.3173847,2394.292497,508940.008,256172.7368,1.64e+11
"Cracidae",0.000130812488199199,0.00169250107234719,0.00115507676675584,0.00131737246126058,-0.0575079513321569,0.0643161816404582,-0.034048080243246,0.0629396696476093,0.0126070263988678,0.0796339871982755,-0.00567896621749653,0.0645806388696154,0.0390523210870964,-0.037700681072189,0.0408240011574045,-0.0164379124947782,-0.0079418783235189,0.0169159255467678,-0.00405085897363282,-0.00320093726052434,-0.00458906614034835,-0.00134351245700455,-0.0630266375949381,-0.057828409602207,-0.0239768520630301,0.0667890819212986,0.0508752022859216,-0.00580423025124607,0.044944192818537,-0.0624566130011161,-0.0177664847911882,0.0848534685145192,0.0166427602427097,0.0339570088696836,0.0243487261951469,0.0712986667598355,0.0273221824841219,-0.0888156666391672,0.0609032114887696,0.0167830329785309,-0.0251628696335956,-0.0491815867100597,0.0216759871385885,-0.0702481545924331,0.00242439917929312,38.8490566,93.09447025,18.52075472,36.53667634,10.15849057,7.21170537,14.53773585,56.65816401,76.91132075,366.6617925,296.9943396,5136.061313,33.87924528,125.1497533,262.6849057,4717.534768,11.77169811,13.38706821,288.0113208,2185.478716,1501.362264,1014371.352,1,0,1,0,"Forest","Herbivore","Frugivore","Insessorial",5.758748571,5.266202337,2.384615385,0.335020243,19.03566595,25.33197247,6.499882035,3.102989283,-7.665283019,202.8282177,4.625283019,148.1354677,-1.290566038,158.6768208,-68.89471698,231.7177331,929808.4649,2.06e+12,23.15843966,9.228355588,1856.230667,472120.3058,430017.7692,2.8e+11
"Numididae",9.62364459504527e-05,0.00152742561050063,0.00144407917443271,0.0011178318589504,-0.0707068216347355,0.0668665836985443,-0.00356315690133777,0.0957797306810327,0.0536572000093299,0.114270832662797,0.0367711741110173,0.0860967170958401,0.0442754678841889,-0.0499736976617906,0.0289677463495156,0.00179768944039029,0.0200524613339375,0.00875434655439227,-0.00256660030250935,-0.00352752357840369,-0.0238448038517219,0.0205058215614924,-0.0688579481688706,-0.0527261902660491,0.00749428153945355,0.135774983442749,0.0354540193073818,-0.000849487045188002,0.0961224359160599,-0.0593555680461583,-0.0181173114153661,0.0477775696506148,-0.0333597705218955,-0.0110223251338881,0.0287282141056205,0.0437118316324653,0.0429474224978021,-0.0478212718069085,0.0123554392233725,0.0133006605825224,-0.0140333617036025,-0.0285741447614438,-0.00420915600607896,-0.0333767503509799,-0.0036796996675652,31.23333333,28.79066667,20.36666667,22.83866667,12.45,3.975,13.03333333,5.810666667,76.25,90.067,248.2,1153.652,46.33333333,72.05866667,199.2,746.256,18.83333333,2.962666667,153.9333333,3634.442667,1026.5,71693.9,1.333333333,0.266666667,1,0,"Forest","Herbivore","Omnivore","Terrestrial",4.58266,0.097120119,9.68,13.137,12.90860031,7.699955419,3.798903269,3.071211939,-12.54,241.80188,10.525,20.54151,0.681666667,17.36897667,19.55166667,250.7001367,3242020.31,2.33e+13,24.5238568,1.153252329,1371.514921,340641.7588,5041706,9.9e+13
