"","dn","ds","dnds","ran"
"Struthionidae",-9.35688554418427,-6.82940397203358,-6.80713683372058,-6.95954761296849
"Casuariidae",-9.54708935512842,-7.18270896830666,-6.66596727821953,-7.3094034136882
"Apterygidae",-9.62073254286318,-7.35300668924358,-6.5720240257662,-7.57526794521244
"Rheidae",-9.08849292832937,-6.49017542539934,-6.90591246450664,-6.80296804978617
"Tinamidae",-8.56572584315436,-5.87873266038782,-7.0243525643411,-6.12323193421136
"Anhimidae",-9.1713129252421,-6.61783660675378,-6.53527344027459,-6.82919962019995
"Anseranatidae",-9.24871790098303,-6.63072780427589,-6.51932753222952,-6.97003559669433
"Anatidae",-8.75950654394184,-6.05516098481876,-6.61271675989585,-6.22748802689003
"Megapodiidae",-8.93226050741991,-6.32005237745794,-6.86628643875495,-6.65117246173312
"Cracidae",-8.94174564796963,-6.38154791959034,-6.76358847249339,-6.63211608583181
"Numididae",-9.24870241600663,-6.48417156826767,-6.54028341007506,-6.79636431005836
"Odontophoridae",-8.78675679904037,-6.00923197056469,-6.48145561605732,-6.18082140972985
"Phasianidae",-9.01016437415911,-6.23347227733979,-6.47958719556517,-6.46152167789368
"Phoenicopteridae",-9.63063379484838,-7.13945860888991,-6.54441352893246,-7.40800354872089
"Podicipedidae",-9.16358317579833,-6.63014529518154,-6.55560029709542,-6.69679629006064
"Mesitornithidae",-8.75815196866391,-6.34433579820411,-6.63860433523216,-6.55282420470077
"Pteroclidae",-8.73859437385558,-6.48387137122016,-6.48564630826312,-6.64756501366523
"Columbidae",-8.78377629390629,-6.29350006968616,-6.76407616529828,-6.44720548618342
"Musophagidae",-9.16460853860876,-6.60553597390755,-6.79883697457858,-6.76319004086985
"Otididae",-9.08728108330954,-6.56828454686832,-6.76222551095635,-6.75097167811001
"Cuculidae",-8.67332056856097,-6.17374990738947,-6.72271212314492,-6.27897882500007
"Opisthocomidae",-8.95282305787816,-6.5996077552975,-6.56764902867024,-6.67004934068141
"Heliornithidae",-8.64015045121116,-5.97885523673805,-6.43600269834985,-6.20454075106412
"Rallidae",-8.80562783048889,-6.03102832735395,-6.5148210561592,-6.42467649881121
"Psophiidae",-9.29340488306154,-6.5906546267447,-6.69562840400724,-6.73447698074742
"Aramidae",-9.21639504350609,-6.6006862508824,-6.06567140372059,-6.81739621234772
"Gruidae",-9.36960198088406,-6.77262253255238,-6.05110022549288,-7.09578542183753
"Burhinidae",-9.44565575309761,-6.81264444448157,-6.5214281021941,-7.09433506294323
"Chionidae",-9.17430914447979,-6.48196022196167,-6.55778216715537,-6.68977688690127
