"","taxa","code","order","family","longname"
"Acanthisitta_chloris","Acanthisitta_chloris","ACACHL","Passeriformes","Acanthisittidae","Acanthisittidae_Acanthisitta_chloris"
"Acrocephalus_arundinaceus","Acrocephalus_arundinaceus","ACRARU","Passeriformes","Acrocephalidae","Acrocephalidae_Acrocephalus_arundinaceus"
"Aegithalos_caudatus","Aegithalos_caudatus","AEGCAU","Passeriformes","Aegithalidae","Aegithalidae_Aegithalos_caudatus"
"Aegotheles_bennettii","Aegotheles_bennettii","AEGBEN","Caprimulgiformes","Aegothelidae","Aegothelidae_Aegotheles_bennettii"
"Agapornis_roseicollis","Agapornis_roseicollis","AGAROS","Psittaciformes","Psittaculidae","Psittaculidae_Agapornis_roseicollis"
"Agelaius_phoeniceus","Agelaius_phoeniceus","AGEPHO","Passeriformes","Icteridae","Icteridae_Agelaius_phoeniceus"
"Alaudala_cheleensis","Alaudala_cheleensis","ALACHE","Passeriformes","Alaudidae","Alaudidae_Alaudala_cheleensis"
"Alca_torda","Alca_torda","ALCTOR","Charadriiformes","Alcidae","Alcidae_Alca_torda"
"Aleadryas_rufinucha","Aleadryas_rufinucha","ALERUF","Passeriformes","Oreoicidae","Oreoicidae_Aleadryas_rufinucha"
"Alectura_lathami","Alectura_lathami","ALELAT","Galliformes","Megapodiidae","Megapodiidae_Alectura_lathami"
"Alopecoenas_beccarii","Alopecoenas_beccarii","ALOBEC","Columbiformes","Columbidae","Columbidae_Alopecoenas_beccarii"
"Amazona_guildingii","Amazona_guildingii","AMAGUI","Psittaciformes","Psittacidae","Psittacidae_Amazona_guildingii"
"Anas_platyrhynchos","Anas_platyrhynchos","ANAPLA","Anseriformes","Anatidae","Anatidae_Anas_platyrhynchos"
"Anas_zonorhyncha","Anas_zonorhyncha","ANAZON","Anseriformes","Anatidae","Anatidae_Anas_zonorhyncha"
"Anhinga_anhinga","Anhinga_anhinga","ANHANH","Pelecaniformes","Anhingidae","Anhingidae_Anhinga_anhinga"
"Anhinga_rufa","Anhinga_rufa","ANHRUF","Pelecaniformes","Anhingidae","Anhingidae_Anhinga_rufa"
"Anser_cygnoid","Anser_cygnoid","ANSCYG","Anseriformes","Anatidae","Anatidae_Anser_cygnoid"
"Anseranas_semipalmata","Anseranas_semipalmata","ANSSEM","Anseriformes","Anseranatidae","Anseranatidae_Anseranas_semipalmata"
"Anthoscopus_minutus","Anthoscopus_minutus","ANTMIN","Passeriformes","Remizidae","Remizidae_Anthoscopus_minutus"
"Antrostomus_carolinensis","Antrostomus_carolinensis","ANTCAR","Caprimulgiformes","Caprimulgidae","Caprimulgidae_Antrostomus_carolinensis"
"Apaloderma_vittatum","Apaloderma_vittatum","APAVIT","Trogoniformes","Trogonidae","Trogonidae_Apaloderma_vittatum"
"Aphelocoma_coerulescens","Aphelocoma_coerulescens","APHCOE","Passeriformes","Corvidae","Corvidae_Aphelocoma_coerulescens"
"Aptenodytes_forsteri","Aptenodytes_forsteri","APTFOR","Sphenisciformes","Spheniscidae","Spheniscidae_Aptenodytes_forsteri"
"Apteryx_australis","Apteryx_australis","APTAUS","Apterygiformes","Apterygidae","Apterygidae_Apteryx_australis"
"Apteryx_haastii","Apteryx_haastii","APTHAA","Apterygiformes","Apterygidae","Apterygidae_Apteryx_haastii"
"Apteryx_owenii","Apteryx_owenii","APTOWE","Apterygiformes","Apterygidae","Apterygidae_Apteryx_owenii"
"Apteryx_rowi","Apteryx_rowi","APTROW","Apterygiformes","Apterygidae","Apterygidae_Apteryx_rowi"
"Aquila_chrysaetos","Aquila_chrysaetos","AQUCHR","Accipitriformes","Accipitridae","Accipitridae_Aquila_chrysaetos"
"Aramus_guarauna","Aramus_guarauna","ARAGUA","Gruiformes","Aramidae","Aramidae_Aramus_guarauna"
"Ardeotis_kori","Ardeotis_kori","ARDKOR","Otidiformes","Otididae","Otididae_Ardeotis_kori"
"Arenaria_interpres","Arenaria_interpres","AREINT","Charadriiformes","Scolopacidae","Scolopacidae_Arenaria_interpres"
"Asarcornis_scutulata","Asarcornis_scutulata","ASASCU","Anseriformes","Anatidae","Anatidae_Asarcornis_scutulata"
"Atlantisia_rogersi","Atlantisia_rogersi","ATLROG","Gruiformes","Rallidae","Rallidae_Atlantisia_rogersi"
"Atrichornis_clamosus","Atrichornis_clamosus","ATRCLA","Passeriformes","Atrichornithidae","Atrichornithidae_Atrichornis_clamosus"
"Balaeniceps_rex","Balaeniceps_rex","BALREX","Pelecaniformes","Balaenicipitidae","Balaenicipitidae_Balaeniceps_rex"
"Balearica_regulorum","Balearica_regulorum","BALREG","Gruiformes","Gruidae","Gruidae_Balearica_regulorum"
"Baryphthengus_martii","Baryphthengus_martii","BARMAR","Coraciiformes","Momotidae","Momotidae_Baryphthengus_martii"
"Bombycilla_garrulus","Bombycilla_garrulus","BOMGAR","Passeriformes","Bombycillidae","Bombycillidae_Bombycilla_garrulus"
"Brachypodius_atriceps","Brachypodius_atriceps","BRAATR","Passeriformes","Pycnonotidae","Pycnonotidae_Brachypodius_atriceps"
"Brachypteracias_leptosomus","Brachypteracias_leptosomus","BRALEP","Coraciiformes","Brachypteraciidae","Brachypteraciidae_Brachypteracias_leptosomus"
"Bucco_capensis","Bucco_capensis","BUCCAP","Piciformes","Bucconidae","Bucconidae_Bucco_capensis"
"Buceros_rhinoceros","Buceros_rhinoceros","BUCRHI","Bucerotiformes","Bucerotidae","Bucerotidae_Buceros_rhinoceros"
"Bucorvus_abyssinicus","Bucorvus_abyssinicus","BUCABY","Bucerotiformes","Bucerotidae","Bucerotidae_Bucorvus_abyssinicus"
"Buphagus_erythrorhynchus","Buphagus_erythrorhynchus","BUPERY","Passeriformes","Buphagidae","Buphagidae_Buphagus_erythrorhynchus"
"Burhinus_bistriatus","Burhinus_bistriatus","BURBIS","Charadriiformes","Burhinidae","Burhinidae_Burhinus_bistriatus"
